the_geom,elevation,status,sub_code
"{'type': 'Point', 'coordinates': [-73.89955264912054, 40.61951941880788]}",7.6177865,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92249840358407, 40.69501866950908]}",48.0831,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91248478520171, 40.61960429321623]}",20.39,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.94208716728467, 40.61961140717168]}",42.78,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91650524779905, 40.61959427199392]}",10.58995013,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.86436124805854, 40.69496483541223]}",83.8643,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.94319216580936, 40.638491521404816]}",24.87097869,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.94321771343274, 40.67729563845298]}",64.0646808679,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.89567325977629, 40.69499747989868]}",83.34189999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.93154644535659, 40.61962438871886]}",44.46,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.9189418381584, 40.61964879992099]}",34.91,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91978945311331, 40.6196173629335]}",41.32,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.89492080509432, 40.694996795345396]}",88.31739999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.90610864289484, 40.69500646547733]}",68.76829999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.90504511928103, 40.61958749248681]}",35.89,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.90348531085077, 40.6195891787306]}",6.43429999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.85313114135936, 40.657272098605446]}",8.6727,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.94321904568446, 40.675730876482014]}",70.7212796624,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92615207151073, 40.61962195500114]}",42.1,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91957439945543, 40.61962369012736]}",41.73,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.9157762504205, 40.61963977843552]}",9.11329999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.93918940445613, 40.61959111786054]}",31.87199986,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.89709864410793, 40.69499876226962]}",78.67329999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.93022016129721, 40.619602744252724]}",34.83888506,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.92449996575287, 40.619620003821026]}",29.89,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.9194629981999, 40.61964293551263]}",41.18,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.8530816589087, 40.67974040357465]}",55.0872107,Unchanged,300020
"{'type': 'Point', 'coordinates': [-73.91143656894309, 40.619606674690324]}",34.29,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.94316248079284, 40.63826049933036]}",19.5955784,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.90221396482195, 40.695003222228294]}",73.9894,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.9236681503541, 40.695019451281425]}",52.42399999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92988047572756, 40.61962931184375]}",16.03426978,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.89425516356589, 40.69499618476981]}",95.2056441677,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.9197637785459, 40.695016795501644]}",35.88839999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.94322048181746, 40.67404541011274]}",79.2754893105,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.93203224487385, 40.619640514428944]}",47.0,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91691576467409, 40.61956852095572]}",11.244,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91075707842836, 40.619639465775776]}",35.12583556,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.85309965218073, 40.6715714894591]}",27.1176,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.89911528096917, 40.69500054858891]}",76.44999999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91571690005611, 40.61958607109531]}",8.91815638,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91736580149656, 40.61954086885116]}",11.0019,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.89842725459621, 40.69499994341978]}",76.52619999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.85312733025275, 40.6590031332758]}",8.407,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.94236040884613, 40.61958607327178]}",33.62,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91709011146267, 40.619558503363294]}",11.29695938,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.94014086494708, 40.61962276173792]}",32.23,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.94321356158169, 40.652619660484724]}",60.09,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91864636223491, 40.61964436415227]}",36.54,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.9415053798575, 40.61963103482839]}",21.797,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.9227753205422, 40.61961185935091]}",44.92,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.94310515474594, 40.61965846701753]}",49.69,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.9243062799225, 40.61961957477749]}",39.71,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.94321837926371, 40.6765150022521]}",66.390152759,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92849467839778, 40.61964501068289]}",27.25,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.93352206189539, 40.6195578848306]}",15.4311,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91907580210079, 40.61961807037375]}",35.06,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.93899625235201, 40.61962998285614]}",49.56,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91071354941012, 40.619605923590676]}",35.12583556,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.92572804646291, 40.61960735454239]}",42.96,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.94102447223575, 40.61961860957689]}",21.2709249,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.94195178017627, 40.61963431297097]}",28.36,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91989609392922, 40.61960209331661]}",39.59,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.92911499571387, 40.61961366500585]}",44.45,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.85311210098385, 40.66591948712251]}",9.61444018578,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91547296795102, 40.69501372409423]}",28.2234,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92822211448981, 40.61960430027564]}",47.25,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.90302686444463, 40.69500391004497]}",74.06769999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.85309793550374, 40.67235089328899]}",19.4298,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.93034929636504, 40.61964628620095]}",32.51,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.9291207565242, 40.61964968038402]}",44.45,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91475058562233, 40.61961277852526]}",9.83323102,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.8530944236615, 40.67394527912735]}",18.1265,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.853103924075, 40.669631889254084]}",10.92999999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.92383614925868, 40.61960565018521]}",32.72,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.93353705570979, 40.61957169578185]}",15.4756,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.94154568460016, 40.61958952871876]}",21.66881803,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.90844918860081, 40.695008351137524]}",63.53059999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.90375724804305, 40.69500452404599]}",73.5592,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.85308114118078, 40.67997540597335]}",24.6728,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.91572204592289, 40.69501390676047]}",27.83379999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.9213891944342, 40.619640618117906]}",23.59,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.93994073340934, 40.61966188043354]}",49.65,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.91609509574008, 40.61962287468276]}",9.96839999,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.93256376531772, 40.61957643391949]}",40.6,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.9029896873518, 40.61960949064634]}",35.17,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.90183585600117, 40.6195878433026]}",31.39,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.92475032606474, 40.619607459826284]}",45.43,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.85312484641838, 40.66013126188181]}",9.797,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.94322015891456, 40.67442469343135]}",77.8437162438,Unchanged,300000
"{'type': 'Point', 'coordinates': [-73.9313561405887, 40.61959408168025]}",28.7,Unchanged,302000
"{'type': 'Point', 'coordinates': [-73.93060464919516, 40.61957760122098]}",46.61,Unchanged,302000
