the_geom,source_id,feat_code
"{'type': 'Point', 'coordinates': [-73.93135715686715, 40.61962172287149]}",20302000267.0,3020
"{'type': 'Point', 'coordinates': [-73.90183585600117, 40.6195878433026]}",20302000249.0,3020
"{'type': 'Point', 'coordinates': [-73.92520359801635, 40.619655706570725]}",20302000319.0,3020
"{'type': 'Point', 'coordinates': [-73.93899625235201, 40.61962998285614]}",20302000278.0,3020
"{'type': 'Point', 'coordinates': [-73.8530816589087, 40.67974040357465]}",5300003538.0,3000
"{'type': 'Point', 'coordinates': [-73.90727521845773, 40.69500741127859]}",19300087715.0,3000
"{'type': 'Point', 'coordinates': [-73.91921685285261, 40.619590495672696]}",20300000236.0,3000
"{'type': 'Point', 'coordinates': [-73.85312194885795, 40.66144671458487]}",4300006969.0,3000
"{'type': 'Point', 'coordinates': [-73.85311588022536, 40.66420328352638]}",4300008539.0,3000
"{'type': 'Point', 'coordinates': [-73.85311675359017, 40.66380666438947]}",4300023317.0,3000
"{'type': 'Point', 'coordinates': [-73.90692161692199, 40.6196283321978]}",20302000300.0,3020
"{'type': 'Point', 'coordinates': [-73.93256376531772, 40.61957643391949]}",20302000215.0,3020
"{'type': 'Point', 'coordinates': [-73.92769291108245, 40.61962109563543]}",20302000269.0,3020
"{'type': 'Point', 'coordinates': [-73.94244032731595, 40.61958766040959]}",20302000226.0,3020
"{'type': 'Point', 'coordinates': [-73.89911528096917, 40.69500054858891]}",5300017161.0,3000
"{'type': 'Point', 'coordinates': [-73.853121237949, 40.661770118358625]}",20300000055.0,3000
"{'type': 'Point', 'coordinates': [-73.92839435852474, 40.61957877076688]}",20302000225.0,3020
"{'type': 'Point', 'coordinates': [-73.91097800852549, 40.6195288342739]}",2300028231.0,3000
"{'type': 'Point', 'coordinates': [-73.9178127190981, 40.6950154187453]}",19300087705.0,3000
"{'type': 'Point', 'coordinates': [-73.85312447150596, 40.660301539400365]}",4300006311.0,3000
"{'type': 'Point', 'coordinates': [-73.93994073340934, 40.61966188043354]}",20302000318.0,3020
"{'type': 'Point', 'coordinates': [-73.9236681503541, 40.695019451281425]}",19300087700.0,3000
"{'type': 'Point', 'coordinates': [-73.92015318289704, 40.619561966659084]}",20300000212.0,3000
"{'type': 'Point', 'coordinates': [-73.94304787800547, 40.619662583752536]}",20302000316.0,3020
