bctcb2010,shape_leng,ct2010
50114021002,1362.62238764,11402
50059001003,1129.58160328,5900
50018001003,1764.93985834,1800
50114021004,1278.93296175,11402
50319011001,697.24494576,31901
50169011003,1648.48064437,16901
50189011000,1436.41017105,18901
50146081003,1560.8338028,14608
50009001001,2205.55875231,900
50223001002,1175.70786349,22300
50156011003,1255.09324807,15601
50201001003,1525.03847366,20100
50138001001,1553.39762943,13800
50170051003,2143.74832283,17005
50112021003,1403.04426921,11202
50208011002,586.29545973,20801
50146051001,1667.76952354,14605
50176001001,2570.62855265,17600
50170121003,1793.00815846,17012
50169011001,2721.32950311,16901
50181001002,526.230819828,18100
50096021004,1297.88524611,9602
50128041003,2237.77457689,12804
50146051002,1402.13736891,14605
50081001004,2312.69658783,8100
50009001000,2508.94793591,900
50132011003,1565.03410863,13201
50114021000,1942.55675934,11402
50096011001,753.251017632,9601
50074001001,1586.3961903,7400
50213001000,2020.98193698,21300
50133021001,2026.93237015,13302
50067001003,2343.73144146,6700
50273021002,1441.72919297,27302
50244011000,2330.58656521,24401
50121001002,3415.26608945,12100
50170051002,2614.52945498,17005
50003001003,1374.53089231,300
50277041001,2322.71285364,27704
50020011001,1214.39167244,2001
50251001002,1286.15303751,25100
50036001003,1059.21100519,3600
50213001001,1981.59732601,21300
50138001002,1450.16148747,13800
50197001003,1188.86168209,19700
50170091001,1378.78485249,17009
50059001004,1044.69695507,5900
50187011002,2173.919538,18701
50121001004,1751.45391818,12100
50096021003,1729.95360222,9602
50081001003,2325.67100214,8100
50170071002,1180.08032245,17007
50122001001,1395.15099388,12200
50114011002,1707.38479876,11401
50125001001,3377.83271664,12500
50170111000,1705.53276841,17011
50040001003,1289.86450866,4000
50021001001,1422.68478476,2100
50156021002,1500.32648319,15602
50303011001,2013.00717703,30301
