shape_leng,the_geom
776.171945294,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.13108083871545, 40.64102656060566], [-74.13115709155898, 40.640925228918455], [-74.1318282995863, 40.641018609811795], [-74.13134468095365, 40.641605437431], [-74.13125581180257, 40.64159683076387], [-74.13146199830796, 40.64131010407433], [-74.13108083871545, 40.64102656060566]]]]}"
317.241155708,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.13021673215789, 40.61253745133574], [-74.13071879213072, 40.61255784573449], [-74.13072501021394, 40.612643676726954], [-74.13021673215789, 40.61253745133574]]]]}"
1590.2713094,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.0838574006304, 40.63036205992472], [-74.08318101085541, 40.629916037027535], [-74.08388169748018, 40.62928578639193], [-74.08456151513298, 40.62973335013744], [-74.08516068125888, 40.63014206827781], [-74.08482234731845, 40.630575198115054], [-74.08461212291994, 40.63083934036205], [-74.08439245114087, 40.630700417317136], [-74.0838574006304, 40.63036205992472]]]]}"
1974.33694828,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.16102399229128, 40.539897759360734], [-74.16179313372875, 40.53948932430812], [-74.16332130783718, 40.54115526381041], [-74.16252750272834, 40.541502706961296], [-74.16102399229128, 40.539897759360734]]]]}"
1929.77712276,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.13404301047247, 40.632794556205695], [-74.13450679360933, 40.63218619038372], [-74.13654090436322, 40.63334295992999], [-74.13611540053355, 40.63396006859903], [-74.13404301047247, 40.632794556205695]]]]}"
1813.33519939,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.20166930328729, 40.541264505066515], [-74.20389321346867, 40.540644039593715], [-74.20415430023331, 40.54128350940516], [-74.2019992850358, 40.5419474991979], [-74.20166930328729, 40.541264505066515]]]]}"
1392.50655249,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.11706965339282, 40.6082062497543], [-74.11826495644561, 40.608075792735626], [-74.11830372676869, 40.608597042573145], [-74.1183246007342, 40.60887767227448], [-74.11833037832632, 40.60895534138039], [-74.11834442054457, 40.60914412673409], [-74.1174246645393, 40.60928900941382], [-74.11706965339282, 40.6082062497543]]]]}"
954.651705718,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.21330270671072, 40.55520521512668], [-74.21404562630767, 40.554837858220345], [-74.21437139011594, 40.555588065557096], [-74.21350175561112, 40.55566761810394], [-74.21330270671072, 40.55520521512668]]]]}"
1005.19642785,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.09680190068684, 40.58809614926493], [-74.09656099518293, 40.587970675743776], [-74.09747775949029, 40.58729726426365], [-74.09793067672183, 40.587516057068505], [-74.09701144600515, 40.58818981682981], [-74.09680190068684, 40.58809614926493]]]]}"
2256.10176447,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.06914818030472, 40.61818706904022], [-74.07085531338211, 40.617429565508296], [-74.07179433108683, 40.617008997637946], [-74.07186782196045, 40.61717138690425], [-74.07191915023672, 40.61734062567071], [-74.07194688287036, 40.61751393220842], [-74.07194689504959, 40.61751401345232], [-74.07194689514601, 40.61751410291269], [-74.07195036903612, 40.61768854991849], [-74.07195036916215, 40.617688666853574], [-74.07195035696782, 40.617688775587474], [-74.07192973226307, 40.61786157042409], [-74.0719297206986, 40.61786165168284], [-74.07192969704244, 40.617861732949166], [-74.07188589355098, 40.618030148495684], [-74.0697395004477, 40.618989823478906], [-74.06914818030472, 40.61818706904022]]]]}"
