bctcb2010,shape_area,boroname
50207001000,19784.3873397,Staten Island
50187011003,2173.04811911,Staten Island
50033001004,148433.51514,Staten Island
50156021003,187430.289811,Staten Island
50213001002,179431.084464,Staten Island
50208041003,165818.338797,Staten Island
50173001000,118085.889664,Staten Island
50208011000,55427.0608369,Staten Island
50114011001,51315.9803927,Staten Island
50008001004,264822.03395,Staten Island
50197001000,64399.6187314,Staten Island
50134001000,43232.1911419,Staten Island
50170051000,121457.401697,Staten Island
50132031003,130422.274796,Staten Island
50040001001,102152.458422,Staten Island
50251001003,111075.100974,Staten Island
50027001002,107222.467556,Staten Island
50132011002,95287.8854269,Staten Island
50067001004,231733.795825,Staten Island
50114021003,106572.771592,Staten Island
50154001002,75383.72072,Staten Island
50244011001,224021.46533,Staten Island
50059001002,379580.555545,Staten Island
50064001004,139065.090067,Staten Island
50128041002,324449.571265,Staten Island
50112021000,92737.7479014,Staten Island
50074001000,139084.021423,Staten Island
50112011001,222164.713056,Staten Island
50273011002,268308.104361,Staten Island
50170051001,107577.574883,Staten Island
50121001000,170250.765,Staten Island
50132041003,180499.290599,Staten Island
50128061003,88275.8353443,Staten Island
50075001002,174853.562565,Staten Island
50170071003,44646.6114362,Staten Island
50176001003,83977.5379528,Staten Island
50273021003,87166.9040277,Staten Island
50064001000,200784.982138,Staten Island
50112021002,280349.089641,Staten Island
50020011000,111006.257729,Staten Island
50277021003,21220.9924063,Staten Island
50006001004,93319.7971403,Staten Island
50011001001,158261.542262,Staten Island
50011001003,184551.235928,Staten Island
50009001004,150467.347989,Staten Island
50177001001,137191.111018,Staten Island
50112021004,93793.4111971,Staten Island
50277051000,310745.368373,Staten Island
50239001001,65630.8933912,Staten Island
50040001004,95706.5475383,Staten Island
50009001002,54874.9021721,Staten Island
50134001002,104352.669086,Staten Island
50128041001,407806.181353,Staten Island
50213001003,102807.22403,Staten Island
50125001000,215177.927522,Staten Island
50169011000,203357.905513,Staten Island
50244021002,120653.211235,Staten Island
50277051003,227560.56452,Staten Island
50134001001,103595.683625,Staten Island
50121001003,145568.417897,Staten Island
50146081002,146697.810388,Staten Island
50112021001,311389.510031,Staten Island
50170111003,428607.224506,Staten Island
50189011002,101042.836806,Staten Island
50020011002,612875.287568,Staten Island
50133021003,81631.7014371,Staten Island
50027001003,123760.280834,Staten Island
50006001002,34417.2101977,Staten Island
50138001003,180343.183712,Staten Island
50279001001,188445.513963,Staten Island
50141001001,93007.9508479,Staten Island
50170071001,81140.7223725,Staten Island
50197001001,72346.3208258,Staten Island
50173001003,171030.740972,Staten Island
50181001001,9148.42503636,Staten Island
50064001003,101135.935617,Staten Island
50075001000,123560.550054,Staten Island
50128061001,101361.151691,Staten Island
50134001003,105768.427688,Staten Island
50303011002,239070.905426,Staten Island
50006001001,34583.7913231,Staten Island
50122001004,163453.412921,Staten Island
50114011000,66684.0963788,Staten Island
50170111002,193220.708983,Staten Island
50027001000,150406.766022,Staten Island
50146051003,133777.06883,Staten Island
50074001004,148440.977522,Staten Island
50077001000,205770.940883,Staten Island
50132041002,111326.378264,Staten Island
50040001000,141296.561149,Staten Island
50279001002,198803.579506,Staten Island
50197001002,78186.2725051,Staten Island
50114011003,278572.737569,Staten Island
50291031002,203393.790563,Staten Island
50189011001,23823.1201731,Staten Island
50112011004,307853.179778,Staten Island
50011001002,159701.403496,Staten Island
50303021002,99810.3217483,Staten Island
50146071000,305282.202124,Staten Island
50146081000,400307.63139,Staten Island
50187021003,125034.69893,Staten Island
50138001000,110567.361232,Staten Island
50074001003,133112.60929,Staten Island
50122001002,148817.039165,Staten Island
50114021001,191269.136703,Staten Island
50319011003,25426.9405662,Staten Island
50112011003,198995.186229,Staten Island
50226001000,581749.013137,Staten Island
50277021000,20894.9123168,Staten Island
50170121001,82325.4277334,Staten Island
50064001002,135649.780899,Staten Island
50146081001,150054.663555,Staten Island
50198001003,383819.330979,Staten Island
50096021002,165419.479435,Staten Island
50125001002,279704.555183,Staten Island
50122001000,139819.216872,Staten Island
50128061002,100335.412167,Staten Island
50151001003,167884.050792,Staten Island
50273021001,189063.155456,Staten Island
50077001003,105157.157527,Staten Island
50036001004,93902.0489833,Staten Island
50170111001,175787.846929,Staten Island
50114011004,203238.066449,Staten Island
50244011003,6454.95626426,Staten Island
50077001002,103812.300819,Staten Island
50244011002,206721.14429,Staten Island
50156031000,164263.475943,Staten Island
50029001003,60939.8005774,Staten Island
50156031002,104379.714494,Staten Island
50074001002,74445.5789174,Staten Island
50040001002,93162.6522247,Staten Island
50128051001,109154.937476,Staten Island
50201001002,281603.71817,Staten Island
50125001003,296990.228692,Staten Island
50027001004,204803.92093,Staten Island
50112011002,197337.241666,Staten Island
50122001003,152585.89843,Staten Island
50170091002,140593.931111,Staten Island
50009001003,504712.960913,Staten Island
50146051000,159883.050974,Staten Island
50114021002,104903.989419,Staten Island
50059001003,58943.9991866,Staten Island
50018001003,169559.269587,Staten Island
50114021004,98712.5539732,Staten Island
50319011001,27925.7347417,Staten Island
50169011003,149575.999736,Staten Island
50189011000,109506.972671,Staten Island
50146081003,135974.165871,Staten Island
50009001001,252525.70016,Staten Island
50223001002,82351.7246071,Staten Island
50156011003,93432.430447,Staten Island
50201001003,142547.334738,Staten Island
50138001001,138383.352412,Staten Island
50170051003,215702.475221,Staten Island
50112021003,120145.422003,Staten Island
