income_group,total_eitc_dollars_in_millions,number_of_eitc_recipients
3rd Decile,27.4,216446
1st Decile ,1.5,58511
2nd Decile,11.7,198405
4th Decile ,27.0,147528
8th-10th Decile,0.0,0
5th Decile ,18.9,135940
6th Decile ,7.6,105057
7th Decile ,0.8,22975
