pjct_name,the_geom,y
Grant St & Van Duzer St - RC,"{'type': 'MultiPoint', 'coordinates': [[-74.07653707258065, 40.63346171167104]]}",170072.840350389
Westchester Ave (Noble Ave and Pugsley Ave),"{'type': 'MultiPoint', 'coordinates': [[-73.87000669921852, 40.8308203406505], [-73.85773226226277, 40.83355730633994]]}",242495.440747686
Amsterdam Ave and E 110 St,"{'type': 'MultiPoint', 'coordinates': [[-73.9638612634734, 40.8029720381161]]}",231823.446507722
Broadway at Bedford and Driggs,"{'type': 'MultiPoint', 'coordinates': [[-73.96387475156506, 40.71029748297224]]}",198059.08588697
Pennsylvania Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.8916491995515, 40.65993257608722]]}",179726.21310398
"116th St, Riverside Dr to Broadway","{'type': 'MultiPoint', 'coordinates': [[-73.96576080621512, 40.808810620142424], [-73.9639972760796, 40.80804636242188]]}",233811.311462432
77th Ave and 81st St,"{'type': 'MultiPoint', 'coordinates': [[-73.8690130763539, 40.70676220644185], [-73.86881173155804, 40.70680119355823], [-73.86863742320429, 40.70661332800242], [-73.86776718684537, 40.70544449307107]]}",196666.325467125
E 48 St & Ave D - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.93129287259, 40.642015032000764]]}",173187.243570387
EL Grant Highway at Washington Bridge,"{'type': 'MultiPoint', 'coordinates': [[-73.92305144059202, 40.84404975865386], [-73.92297716768348, 40.84430206322263], [-73.9227269940721, 40.844227957328414]]}",246849.156285639
Bronxwood Ave & E 225 St - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.8547164730686, 40.885976522833516]]}",262096.357418478
100 St & McIntosh St,"{'type': 'MultiPoint', 'coordinates': [[-73.86978915984028, 40.764542084979226]]}",217846.850773305
Rockaway Blvd and Guy Brewer Blvd,"{'type': 'MultiPoint', 'coordinates': [[-73.76790662676355, 40.656363114897914], [-73.76780548748066, 40.65580728088967], [-73.76770653518176, 40.65573088808405], [-73.7674486670484, 40.65613866281302], [-73.7673964279579, 40.65611456732856], [-73.76736259589075, 40.65624410175302], [-73.76735274336549, 40.6561601263401], [-73.7673283006701, 40.65608260515692], [-73.76730534011332, 40.656214106679684], [-73.76721845654711, 40.65617274108808], [-73.76687597706156, 40.65582998490356]]}",178388.962139732
N. 12th and Union Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.95247736399277, 40.71921904886431]]}",201310.992112815
40th Street and Queens Blvd,"{'type': 'MultiPoint', 'coordinates': [[-73.92429188089311, 40.743643660425484], [-73.9242586247588, 40.74380835031544], [-73.92422639914811, 40.74397146318164]]}",210274.952203229
Webster Ittner 2021 Concrete Follow Up,"{'type': 'MultiPoint', 'coordinates': [[-73.90246674506506, 40.84497270191837]]}",247138.776113227
19th St & 10th Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.98122229630299, 40.655827080986775]]}",178212.433323145
Fulton St and Bedford Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.9533701751511, 40.680640508444704]]}",187255.551391721
142 St and Van Wyck Expwy SR,"{'type': 'MultiPoint', 'coordinates': [[-73.8098808766567, 40.69137384413551]]}",191219.790182397
Atlantic Ave at Boerum Pl,"{'type': 'MultiPoint', 'coordinates': [[-73.99070669561539, 40.689136744078056]]}",190347.671191722
Frost Street at Meeker Ave,"{'type': 'MultiPoint', 'coordinates': [[-73.9485576591582, 40.717719877203415]]}",200765.411839142
Gunther Ave & Pitman Ave - RC,"{'type': 'MultiPoint', 'coordinates': [[-73.85039937574012, 40.895523871933825]]}",265576.849145144
Eastern Pkwy Phase IV,"{'type': 'MultiPoint', 'coordinates': [[-73.92836987528982, 40.668434819796154], [-73.92835995042729, 40.66851520266988], [-73.92834967207139, 40.668647193886784], [-73.92832954874987, 40.668861036759665], [-73.9256357823385, 40.6682872716076], [-73.92562952884502, 40.6683696593698], [-73.92560682554318, 40.668505251582175], [-73.92557349297753, 40.668711331097235]]}",182852.52915284
