pjct_name,long,end_date
Eastern Pkwy Phase IV,-73.9269818345302,2023-03-23T00:00:00.000
Sedgwick Ave & Fordham Rd,-73.9090225277402,2009-06-03T00:00:00.000
St Marks Ave & Classon Ave,-73.9594326273184,2016-12-05T00:00:00.000
Rockway Beach Blvd 2020 SIP,-73.8246018482523,2020-09-22T00:00:00.000
"Grand Concourse, 156 St - 158 St",-73.9239661337786,2018-08-20T00:00:00.000
Francis Lewis Blvd and 26th Ave,-73.7956647181549,2018-11-21T00:00:00.000
Fulton Ave and E 174 St,-73.8974911158132,2019-08-06T00:00:00.000
Flatbush Ave and 5th Ave,-73.9763162846235,2016-07-23T00:00:00.000
Beach 17 & Plainview Ave (EC),-73.7508756272379,2019-11-25T00:00:00.000
Grant St & Humboldt St - RC,-73.9422277654419,2023-06-02T00:00:00.000
43 Ave and 108 St - RC,-73.8577162457301,2022-12-08T00:00:00.000
Park Lane South and Myrtle Ave,-73.8415637807925,2021-08-20T00:00:00.000
"Forest Ave, South Ave to Willowbrook Rd",-74.1585899932666,2016-12-08T00:00:00.000
"Flushing Ave, Humboldt St to Bushwick Ave",-73.9388191494663,2021-08-03T00:00:00.000
Linden Blvd (Schenck Ave and Ashford St),-73.882477068801,2020-11-18T00:00:00.000
Queens Bl & 84 Dr,-73.8187050605756,2021-10-01T00:00:00.000
E 169th St and Rev James A Polite/Lyman Pl,-73.8963957300004,2024-10-28T00:00:00.000
New Utrecht Ave & 54 St - RC,-73.9951636666802,2024-09-19T00:00:00.000
Amsterdam and Columbus Ave Green Wave Concrete Islands,-73.9777959414384,2023-12-06T00:00:00.000
Atlantic Ave and Washington Ave,-73.9643162163455,2015-08-07T00:00:00.000
Elm Ave & Coney Island Ave - RC,-73.9636224557881,2022-06-06T00:00:00.000
Ralph Ave and E.98th St,-73.922099025984,2016-04-26T00:00:00.000
E Fordham Rd and E 188th St to Morris Ave,-73.8996803673552,2024-09-24T00:00:00.000
Jewel Avenue & 69 Road,-73.833840722891,2012-12-11T00:00:00.000
43rd Ave and Hunter St,-73.9416787254607,2019-08-05T00:00:00.000
36th Ave & Vernon Blvd,-73.9424718049475,2011-07-01T00:00:00.000
Astoria Boulevard and Boody St,-73.8924655491605,2013-12-31T00:00:00.000
Richmond Rd and Amboy Rd,-74.121786516871,2018-10-30T00:00:00.000
Lafayette Ave and Morrison Ave,-73.8724683415083,2018-11-19T00:00:00.000
34th Avenue at 114th Street (H),-73.8542533280775,2013-12-12T00:00:00.000
Queens Boulevard at 71st Avenue,-73.8439027450168,2014-10-31T00:00:00.000
Dyckman St Green Wave Concrete Islands,-73.9259963363522,2024-09-09T00:00:00.000
Rockaway Point Blvd at B 169 St,-73.8827652926159,2014-08-15T00:00:00.000
Myrtle Ave & Fresh Pond Rd,-73.8945744898758,2017-06-01T00:00:00.000
35th Ave & 73rd St - RC,-73.8930475271643,2024-06-03T00:00:00.000
46th Street and Queens Blvd.,-73.9187021852688,2014-07-28T00:00:00.000
Wythe Ave & Rutledge St - RC,-73.9598701024193,2024-08-29T00:00:00.000
Briggs Ave & E Kingsbridge Rd - RC,-73.8941940842461,2021-10-13T00:00:00.000
Fulton St and Bedford Ave,-73.9533701751511,2016-07-14T00:00:00.000
"Irving Ave, Myrtle Ave, Green Ave, and Knickerbocker Ave (PS 116 and IS 383 Capital Project)",-73.9174445360267,2018-07-01T00:00:00.000
Beach Front Rd and Beach 67th St,-73.7956315777905,2021-08-12T00:00:00.000
Church Ave at Ocean Ave,-73.9610079711361,2009-09-04T00:00:00.000
Ave P & Stillwell Ave,-73.9869289583221,2010-04-20T00:00:00.000
Lexington Ave and 59th St,-73.9679569682859,2019-03-31T00:00:00.000
"Broadway, Flushing Ave and Graham Ave",-73.9420656876173,2022-08-30T00:00:00.000
Plaza St Curb Extensions,-73.9701463614073,2023-08-16T00:00:00.000
PPW and 19th St - 2022,-73.9834386401539,2022-11-11T00:00:00.000
"Broadway, Jefferson Av, and Saratoga Av",-73.9178400228778,2015-08-18T00:00:00.000
90 St & 31 Ave - RC,-73.8785962844416,2022-09-28T00:00:00.000
Fox St and Longwood Ave - RC,-73.8970446666542,2018-11-28T00:00:00.000
Pelham Parkway Ramp Crossings,-73.8313596029004,2013-11-19T00:00:00.000
"S Conduit Ave, 149th Ave & 88th St",-73.8478259279872,2018-09-17T00:00:00.000
Eastern Pkwy Ped Ramps,-73.951091744243,2022-12-07T00:00:00.000
Corson Ave and Victory Blvd,-74.0792481962925,2024-10-18T00:00:00.000
Atlantic Ave and Court Street,-73.9923636703446,2016-12-09T00:00:00.000
Hill St & Warren St - RC,-74.0818913654333,2022-01-25T00:00:00.000
W 70th Street and West End Ave,-73.9854481053094,2013-08-21T00:00:00.000
