the_geom,x
"{'type': 'MultiPoint', 'coordinates': [[-73.92454444938325, 40.806471023404384]]}",1005138.96083473
"{'type': 'MultiPoint', 'coordinates': [[-73.89996177597766, 40.86235028035307], [-73.89964261728582, 40.8622104361978], [-73.89943670880204, 40.86211691118666]]}",1011999.01623094
"{'type': 'MultiPoint', 'coordinates': [[-73.94136449433935, 40.848183508245526], [-73.94108509649958, 40.848996465232986]]}",1000510.91201998
"{'type': 'MultiPoint', 'coordinates': [[-73.94220058694071, 40.70089066728331], [-73.9419307882946, 40.70072523256361]]}",1000313.87829331
"{'type': 'MultiPoint', 'coordinates': [[-74.0012405462426, 40.635977572696675]]}",983905.689981133
"{'type': 'MultiPoint', 'coordinates': [[-73.94775110280851, 40.66949526507643], [-73.94774398825511, 40.669568690790776], [-73.94772996298511, 40.669713442306374], [-73.94771178307634, 40.669912267891455], [-73.94498198086127, 40.669344637099655], [-73.94497397930624, 40.66941581543461], [-73.94496468500272, 40.669555873592635], [-73.94494172968446, 40.66976451478489], [-73.9422157183175, 40.669195070442484], [-73.94220854027213, 40.66927198978905], [-73.94219628397714, 40.6694033040344], [-73.94217611580889, 40.66961205234407], [-73.9366771738935, 40.66888841034617], [-73.9366695893393, 40.66896825580581], [-73.93665702084654, 40.66910057067312], [-73.93663763938487, 40.66930835310872], [-73.93390843394734, 40.668735691555376], [-73.93390024377322, 40.66882066042276], [-73.93388773736939, 40.66895044457924], [-73.93386776689994, 40.66916034333082], [-73.92836987528982, 40.668434819796154], [-73.92835995042729, 40.66851520266988], [-73.92834967207139, 40.668647193886784], [-73.92832954874987, 40.668861036759665], [-73.9256357823385, 40.6682872716076], [-73.92562952884502, 40.6683696593698], [-73.92560682554318, 40.668505251582175], [-73.92557349297753, 40.668711331097235], [-73.92265530101152, 40.668127114549996], [-73.92263210758783, 40.668373210868616], [-73.92261354310787, 40.668564106861794]]}",1002097.68448989
"{'type': 'MultiPoint', 'coordinates': [[-73.98896434191965, 40.74237837001786], [-73.9881936103838, 40.743450736052324]]}",987414.79155872
"{'type': 'MultiPoint', 'coordinates': [[-73.7549691942904, 40.724159646572225], [-73.75409142369938, 40.7246919053387]]}",1052289.01220372
"{'type': 'MultiPoint', 'coordinates': [[-73.88162046716809, 40.639093422819066], [-73.88157395228154, 40.63905219507073]]}",1017110.81746838
"{'type': 'MultiPoint', 'coordinates': [[-73.81768170738466, 40.76062665340939]]}",1034757.35796264
"{'type': 'MultiPoint', 'coordinates': [[-73.90020036112372, 40.70050050115104]]}",1011922.31275356
"{'type': 'MultiPoint', 'coordinates': [[-73.90557924484605, 40.74539135783827]]}",1010413.23440689
"{'type': 'MultiPoint', 'coordinates': [[-73.83722679492868, 40.726655669443886], [-73.83502691023142, 40.72730784812433], [-73.83170465878274, 40.72804033228318], [-73.83140452762103, 40.727597621934336]]}",1030303.81372014
"{'type': 'MultiPoint', 'coordinates': [[-73.97798584061835, 40.694256304437666], [-73.97754496679094, 40.691896388264034], [-73.97354018566924, 40.69170760909841], [-73.96753122823033, 40.69164378215338], [-73.96468309701977, 40.69198111303763], [-73.964267894114, 40.68988925480743], [-73.96189910438608, 40.692300671684556]]}",992670.374363995
"{'type': 'MultiPoint', 'coordinates': [[-73.87036197662621, 40.73326694117578], [-73.86826138415185, 40.73248646419446], [-73.86813074204362, 40.73255688666863], [-73.86805003681971, 40.73258374556007], [-73.86796001883694, 40.732614665819575], [-73.86780898287338, 40.73267195402867], [-73.84386132468744, 40.72162591393027], [-73.84276935161334, 40.721136351823], [-73.84247306717626, 40.72099918621361], [-73.84177920904123, 40.72071055840961]]}",1023567.22499518
"{'type': 'MultiPoint', 'coordinates': [[-73.79577868630643, 40.773017414837845], [-73.79566719419977, 40.772941943933354], [-73.79565702053854, 40.7730360863355], [-73.79564710554811, 40.77308838541167], [-73.79557358417905, 40.773049244203754]]}",1040846.14204489
"{'type': 'MultiPoint', 'coordinates': [[-73.89457448987582, 40.70079805781451]]}",1013482.11573631
"{'type': 'MultiPoint', 'coordinates': [[-73.90217518773228, 40.643782027764935]]}",1011397.81249022
"{'type': 'MultiPoint', 'coordinates': [[-73.84458129273776, 40.83853550721104]]}",1027255.05374156
"{'type': 'MultiPoint', 'coordinates': [[-73.98343864015386, 40.65715035278613]]}",988845.099065557
"{'type': 'MultiPoint', 'coordinates': [[-73.89554341858889, 40.67062578731827]]}",1013226.56211355
"{'type': 'MultiPoint', 'coordinates': [[-73.85771624573013, 40.748690163012334]]}",1023673.72593047
"{'type': 'MultiPoint', 'coordinates': [[-73.91497029127217, 40.83358783934284], [-73.91407880660508, 40.83328617928594], [-73.9136808866487, 40.83226358555321]]}",1007981.22374161
"{'type': 'MultiPoint', 'coordinates': [[-73.93801474265945, 40.73431476133858]]}",1001428.47547355
"{'type': 'MultiPoint', 'coordinates': [[-73.91161655875406, 40.85013293685737], [-73.91077673350564, 40.85193875832509], [-73.91069463623538, 40.85001909801071], [-73.9105816993273, 40.85018159437976]]}",1008895.10342085
"{'type': 'MultiPoint', 'coordinates': [[-73.7581145203971, 40.76205389711495], [-73.75588010921783, 40.76249844743571], [-73.75432416891454, 40.7628361352207], [-73.74428214781567, 40.7653584432455], [-73.74214304227236, 40.76553058928069], [-73.74125873442318, 40.76570653804219], [-73.73549288135617, 40.77067439595512]]}",1054234.76224922
