naics_industry_description,naics_codes,size_standards_in_millions_of_dollars,size_standards_in_number_of_employees,footnotes
Tile and Terrazzo Contractors,238340.0,15.0,,
Logging,113310.0,,500.0,
"Potash, Soda, and Borate Mineral Mining",212391.0,,500.0,
Dairy Cattle and Milk Production,112120.0,0.75,,
New Single-family Housing Construction (Except For-Sale Builders),236115.0,36.5,,
Support Activities for Nonmetallic Minerals (except Fuels),213115.0,7.5,,
Finfish Farming and Fish Hatcheries,112511.0,0.75,,
Masonry Contractors,238140.0,15.0,,
Other Electric Power Generation,221118.0,,250.0,
Support Activities for Oil and Gas Operations,213112.0,38.5,,
Mushroom Production,111411.0,0.75,,
Wind Electric Power Generation,221115.0,,250.0,
Sheep Farming,112410.0,0.75,,
,,,,
Timber Tract Operations,113110.0,11.0,,
Support Activities for Forestry  ,115310.0,7.5,,
Wet Corn Milling,311221.0,,750.0,
Nonchocolate Confectionery Manufacturing,311340.0,,500.0,
Water and Sewer Line and Related Structures Construction,237110.0,36.5,,
Other Building Finishing Contractors,238390.0,15.0,,
"Dry, Condensed, and Evaporated Dairy Product Manufacturing",311514.0,,500.0,
Shellfish Farming,112512.0,0.75,,
Goat Farming,112420.0,0.75,,
,,,,
Sector 22 – Utilities,,,,
Flour Milling,311211.0,,500.0,
Turkey Production,112330.0,0.75,,
Land Subdivision,237210.0,27.5,,
Geothermal Electric Power Generation,221116.0,,250.0,
Chocolate and Confectionery Manufacturing from Cacao Beans,311351.0,,500.0,
Bituminous Coal Underground Mining,212112.0,,500.0,
Peanut Farming  ,111992.0,0.75,,
Hay Farming,111940.0,0.75,,
Rice Milling,311212.0,,500.0,
Site Preparation Contractors,238910.0,15.0,,
Hydroelectric Power Generation,221111.0,,500.0,
Other Snack Food Manufacturing,311919.0,,500.0,
"Soil Preparation, Planting, and Cultivating",115112.0,7.5,,
All Other Miscellaneous Crop Farming,111998.0,0.75,,
Siding Contractors,238170.0,15.0,,
Finfish Fishing,114111.0,20.5,,
Kaolin and Ball Clay Mining,212324.0,,500.0,
Other Marine Fishing,114119.0,7.5,,
