school_name,parent_percent_positive,total_parent_response_rate,total_teacher_response_rate,element_percent_positive_4,element_percent_positive,total_student_response_rate,student_percent_positive
Bard High School Early College,92.0,52,81,86,82,95.0,83.0
Manhattan Early College School For Advertising,90.0,40,87,89,83,90.0,77.0
Pn/Asn/A 188 The Island School,98.0,97,66,98,100,80.0,100.0
Pn/Asn/A 140 Nathan Straus,90.0,72,82,89,79,95.0,71.0
Professional Performing Arts High School,88.0,37,89,86,79,81.0,73.0
Nn/Ayn/Acn/A Museum School,81.0,16,100,75,63,95.0,74.0
Tag Young Scholars,89.0,49,83,93,88,89.0,82.0
Harvey Milk High School,96.0,36,100,92,99,58.0,90.0
Jn/Ahn/Asn/A 104 Simon Baruch,88.0,71,99,84,85,94.0,75.0
Mn/Asn/A 243 Center School,93.0,96,100,92,94,98.0,90.0
Stephen Tn/A Mather Building Arts & Craftsmanship High School,91.0,29,100,87,88,93.0,72.0
"Urban Assembly Academy Of Government And Law, The",82.0,45,100,79,94,87.0,67.0
Pn/Asn/A 007 Samuel Stern,88.0,36,76,86,83,71.0,72.0
Battery Park City School,90.0,40,88,93,87,92.0,66.0
Art And Design High School,89.0,27,88,84,73,57.0,75.0
Mott Hall Ii,94.0,93,100,92,88,100.0,78.0
Pn/Asn/A 083 Luis Munoz Rivera,93.0,53,100,93,91,,
The Global Learning Collaborative,96.0,33,80,92,82,66.0,73.0
Frank Mccourt High School,86.0,23,85,87,90,90.0,71.0
Edward An/A Reynolds West Side High School,88.0,8,95,80,85,32.0,80.0
Pn/Asn/A 184M Shuang Wen,84.0,74,66,88,78,100.0,77.0
Academy For Software Engineering,93.0,47,94,90,92,86.0,77.0
Mn/Asn/A 255 Salk School Of Science,97.0,70,92,96,95,97.0,85.0
Sixth Avenue Elementary School,95.0,65,87,97,98,,
Mn/Asn/A M245 The Computer School,92.0,55,73,92,86,94.0,85.0
Nn/Ayn/Acn/A Lab School For Collaborative Studies,93.0,36,80,91,93,95.0,80.0
Pn/Asn/A 185 - The Early Childhood Discovery And Design Magnet School,95.0,95,100,95,84,,
High School Of Arts And Technology,85.0,41,74,81,63,61.0,61.0
Pn/Asn/A 051 Elias Howe,96.0,68,94,97,93,,
Pn/Asn/A 110 Florence Nightingale,92.0,72,83,92,85,,
Pn/Asn/A 452,88.0,66,79,96,95,,
Quest To Learn,90.0,24,98,91,86,78.0,69.0
Chelsea Career And Technical Education High School,86.0,33,91,79,77,84.0,72.0
Hudson High School Of Learning Technologies,87.0,14,91,78,83,69.0,70.0
Fiorello Hn/A Laguardia High School Of Music & Art And Performing Arts,81.0,21,62,80,67,87.0,71.0
The Urban Assembly School For Emergency Management,92.0,34,88,84,73,78.0,71.0
Pn/Asn/A 290 Manhattan New School,94.0,71,97,96,96,,
The Star Academy - Pn/Asn/A63,94.0,72,100,92,88,,
The High School Of Fashion Industries,93.0,30,94,89,90,94.0,71.0
The East Village Community School,98.0,65,96,98,81,,
Pn/Asn/A 003 Charrette School,94.0,50,73,97,94,,
In/Asn/A 289,93.0,65,90,91,92,98.0,79.0
Mn/Asn/A M247 Dual Language Middle School,96.0,76,100,92,83,97.0,84.0
Pn/Asn/A 076 An/A Philip Randolph,95.0,50,89,94,88,93.0,90.0
University Neighborhood Middle School,87.0,66,88,82,85,89.0,69.0
Gramercy Arts High School,85.0,13,85,80,68,89.0,59.0
"New Explorations Into Science, Technology And Math High School",89.0,65,96,91,75,89.0,74.0
High School M560 - City As School,90.0,2,78,85,93,15.0,88.0
Harvest Collegiate High School,89.0,42,82,84,90,53.0,74.0
Pn/Asn/A 019 Asher Levy,93.0,100,100,93,91,,
Pace High School,88.0,45,97,80,75,79.0,73.0
New York City Lab Middle School For Collaborative Studies,93.0,48,78,91,82,98.0,76.0
Pn/Asn/A 163 Alfred En/A Smith,91.0,68,95,95,85,,
Manhattan Academy For Arts & Language,88.0,50,83,85,93,81.0,76.0
Independence High School,94.0,12,79,89,94,31.0,83.0
High School Of Hospitality Management,,1,96,87,83,66.0,70.0
"High School For Law, Advocacy And Community Justice",92.0,34,97,86,88,61.0,71.0
Pn/Asn/A 527 - East Side School For Social Action,98.0,67,100,98,96,,
Landmark High School,92.0,21,100,86,81,47.0,71.0
Manhattan Business Academy,88.0,35,97,82,83,85.0,72.0
Pn/Asn/A 020 Anna Silver,91.0,60,91,91,77,,
Tompkins Square Middle School,95.0,49,84,92,89,94.0,78.0
"James Baldwin School, The: A School For Expeditionary Learning",90.0,35,95,85,93,57.0,80.0
Orchard Collegiate Academy,88.0,63,90,82,92,92.0,80.0
West Prep Academy,95.0,39,95,91,83,92.0,72.0
Pn/Asn/A 166 The Richard Rodgers School Of The Arts And Technology,90.0,63,95,95,84,,
