dbn,school_name,element_percent_positive_1,element_percent_positive_3
02M416,Eleanor Roosevelt High School,94,86
01M064,Pn/Asn/A 064 Robert Simon,92,89
03M180,Pn/Asn/A 180 Hugo Newman,83,72
01M301,"Technology, Arts, And Sciences Studio",79,65
03M149,Pn/Asn/A 149 Sojourner Truth,69,66
02M167,Jn/Ahn/Asn/A 167 Robert Fn/A Wagner,88,72
01M134,Pn/Asn/A 134 Henrietta Szold,86,75
02M198,Pn/Asn/A 198 Isador En/A Ida Straus,89,79
02M933,City Knoll Middle School,89,66
02M308,Lower Manhattan Arts Academy,85,67
02M580,Richard Rn/A Green High School Of Teaching,88,69
02M473,Washington Irving Yabc,82,83
02M151,Yorkville Community School,96,87
03M242,Pn/Asn/A 242 - The Young Diplomats Magnet Academy,88,65
01M364,Earth School,91,90
02M281,The River School,99,100
02M425,Leadership And Public Service High School,84,70
02M041,Pn/Asn/A 041 Greenwich Village,97,97
02M124,Pn/Asn/A 124 Yung Wing,73,84
01M378,School For Global Leaders,93,72
04M038,Pn/Asn/A 38 Roberto Clemente,74,62
03M165,Pn/Asn/A 165 Robert En/A Simon,75,78
01M448,University Neighborhood High School,89,76
02M519,Talent Unlimited High School,83,65
02M449,Vanguard High School,92,80
03M333,Pn/Asn/A 333 Manhattan School For Children,65,71
02M475,Stuyvesant High School,91,84
02M489,High School Of Economics And Finance,76,65
02M550,Liberty High School Academy For Newcomers,94,79
02M399,The High School For Language And Diplomacy,54,55
02M500,Unity Center For Urban Technologies,80,80
02M459,Manhattan International High School,97,85
02M316,"Urban Assembly School Of Business For Young Women, The",87,61
04M037,River East Elementary,96,86
02M394,Emma Lazarus High School,90,87
02M001,Pn/Asn/A 001 Alfred En/A Smith,80,83
02M529,Jacqueline Kennedy Onassis High School,75,61
02M533,Union Square Academy For Health Sciences,93,72
01M650,Cascades High School,98,81
03M145,"Pn/Asn/A 145, The Bloomingdale School",81,71
04M057,James Weldon Johnson,86,76
03M404,Innovation Diploma Plus,88,75
03M087,Pn/Asn/A 087 William Sherman,86,94
03M415,Wadleigh Secondary School For The Performing & Visual Arts,75,68
02M011,Pn/Asn/A 011 William Tn/A Harris,96,92
02M343,The Peck Slip School,97,96
03M256,Mn/Asn/A 256 Academic & Athletic Excellence,99,83
02M303,"Facing History School, The",95,78
03M541,Manhattan / Hunter Science High School,87,81
02M116,Pn/Asn/A 116 Mary Lindley Murray,88,89
02M002,Pn/Asn/A 002 Meyer London,90,88
03M208,Pn/Asn/A 208 Alain Ln/A Locke,85,63
01M509,Marta Valle High School,65,65
02M376,Nyc Ischool,93,84
03M479,Beacon High School,71,83
02M234,Pn/Asn/A 234 Independence School,82,89
03M241,Stem Institute Of Manhattan,85,87
02M260,Mn/Asn/A 260 Clinton School Writers & Artists,86,77
03M299,The Maxine Greene Hs For Imaginative Inquiry,71,67
02M183,Pn/Asn/A 183 Robert Ln/A Stevenson,80,89
02M393,Business Of Sports School,81,72
03M860,Frederick Douglass Academy Ii Secondary School,74,64
01M450,East Side Community School,95,84
01M458,Forsyth Satellite Academy,99,87
02M542,Manhattan Bridges High School,91,83
02M217,Pn/Asn/A/In/Asn/A 217 Roosevelt Island,94,84
02M126,Pn/Asn/A 126 Jacob August Riis,89,82
