pet_s_placed_with_family,pet_s_placed_with_non_profit,client_borough_of_entry_1,date_year,pet_s_placed_with_friend
1,0,0,2025,1
25,0,0,2023,8
2,0,0,2024,1
2,0,0,2025,0
0,0,0,2024,2
2,0,0,2024,1
1,0,0,2024,1
1,0,1,2023,0
30,0,1,2022,19
2,0,0,2025,6
10,0,0,2026,4
4,0,1,2023,1
8,0,0,2025,1
