number_of_small_mammals,number_of_reptiles_small,pet_s_surrendered_to_animal,client_borough_of_entry
0,0,0,0
1,1,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,4,2,29
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,0
