title,committee,status,passed_date
"A Local Law to amend the administrative code of the city of New York, in relation to information on safe passage routes for students in New York city public schools, and to repeal section two of such local law upon the expiration thereof",Committee on Education,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the commissioner of transportation to create an online capital project tracker",Committee on Transportation and Infrastructure,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the cleaning of medians at least once per quarter",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the New York city charter, in relation to the ability of supreme court justices in the twelfth and thirteenth judicial districts to order summary inquiries into official misconduct","Committee on Governmental Operations, State & Federal Legislation",Committee,
A Local Law in relation to requiring the New York City Department of Education to report on outreach to parents and guardians of eligible students about the New York City Scholarship Account program.,Committee on Education,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to complaints to 311 about overhead wires",Committee on Technology,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to establishing a pilot program to convert existing basement or cellar apartments to habitable dwelling units",Committee on Housing and Buildings,Enacted,2024-12-18T00:00:00.000
"A Local Law to amend the administrative code of the city of New York, in relation to expanding reporting on domestic violence shelter exits",Committee on General Welfare,Enacted,2024-12-21T00:00:00.000
"A Local Law to amend the administrative code of the city of New York, in relation to requiring third-party food delivery services and food service establishments to display sanitary inspection letter grades online",Committee on Consumer and Worker Protection,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to automatic enrollment of eligible individuals in city-created benefit programs",Committee on General Welfare,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to eliminating the fees for firearm licenses and permits",Committee on Finance,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to culturally competent training on recognizing the signs of female genital mutilation",Committee on Women and Gender Equity,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring sodium and added sugar warnings in all restaurants",Committee on Health,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to community land trust regulatory agreements for the provision of services in addition to housing that benefit the local community",Committee on Housing and Buildings,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to access to gender-affirming care facilities and a cause of action related to interference with gender-affirming care",Committee on Women and Gender Equity,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to reporting on domestic violence emergency and tier II shelters",Committee on General Welfare,Enacted,2024-12-21T00:00:00.000
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of health and mental hygiene to create and implement a public awareness strategy to offer overdose prevention and reversal training to public health sanitarians of the department and to teaching staff of child care programs",Committee on Health,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to protecting the vested health insurance coverage and contributions of retired employees of the city of New York",Committee on Civil Service and Labor,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the third party transfer program, and to repeal sections 11-425, 11-426, and 11-427 of such code, relating to agreements for payment of delinquent taxes and charges in installments",Committee on Housing and Buildings,Laid Over in Committee,
A Local Law in relation to a study and report on the feasibility of creating older adult information points,Committee on Aging,Enacted,2024-12-21T00:00:00.000
"A Local Law to amend the administrative code of the city of New York, in relation to the safe collection and disposal of needles and syringes","Committee on Mental Health, Disabilities and Addiction",Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to regulating the police department’s response to first amendment events",Committee on Public Safety,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to reporting on the number of alternate compliance options to street tree planting requirements approved by the department of parks and recreation",Committee on Parks and Recreation,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to setting maximum amounts for certain member usage fees charged by a bike share operator",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to geographically targeted regulatory compliance services for small businesses",Committee on Small Business,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting discrimination on the basis of family and relationship structure in employment, housing, and public accommodations",Committee on Civil and Human Rights,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to a public information and outreach campaign regarding legal rights and resources available to TGNCNBI individuals",Committee on Women and Gender Equity,Laid Over in Committee,
A Local Law in relation to a pilot program to establish a pet food pantry,Committee on Health,Committee,
"A Local Law in relation to requiring the chair of the commission on gender equity to develop a plan to support newly arrived migrants 24 years old and younger and transgender, gender non-conforming, non-binary, and intersex newly arrived migrants",Committee on Women and Gender Equity,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring all schools to stock airway clearance devices, and to repeal section two of such local law upon the expiration thereof",Committee on Education,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to language accessibility at ferry terminals",Committee on Transportation and Infrastructure,Committee,
A Local Law in relation to requiring the commissioner of information technology and telecommunication to report on complaints received regarding residential space used as a business,Committee on Technology,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring certain retail stores to accept flexible benefit cards",Committee on Consumer and Worker Protection,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring agencies that issue vacate orders to provide documentation of vacate orders to affected occupants upon request",Committee on Fire and Emergency Management,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to allowing sick time to be used for the care for certain animals",Committee on Consumer and Worker Protection,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to capping renewable energy credits to 10% of a building’s electricity emissions in excess of its limit",Committee on Housing and Buildings,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to stationary on-street containers for the storage and collection of waste from buildings owned by the city",Committee on Sanitation and Solid Waste Management,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to reporting on training for child care inspectors",Committee on Health,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the department of correction report on sexual abuse",Committee on Criminal Justice,Enacted (Mayor's Desk for Signature),
"A Local Law to amend the administrative code of the city of New York, in relation to the suspension of alternate side parking regulations on Patriot Day",Committee on Transportation and Infrastructure,Laid Over in Committee,
A Local Law in relation to determining the feasibility of creating of a junior lifeguard corps,Committee on Parks and Recreation,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of correction to provide reports regarding people in custody who have been ordered to undergo a mental health examination",Committee on Criminal Justice,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the sale of disposable electronic cigarettes",Committee on Health,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring borough presidents to provide trainings on legislative processes and rules of parliamentary procedure to local entities","Committee on Governmental Operations, State & Federal Legislation",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to training for medical personnel in public schools and reporting on participation in such training",Committee on Health,Committee,
"A Local Law to amend the New York city charter, in relation to the ability of supreme court justices in the twelfth and thirteenth judicial districts to hear objections to charter amendment petitions","Committee on Governmental Operations, State & Federal Legislation",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the sale of certain gift cards that lack chip-and-PIN technology",Committee on Consumer and Worker Protection,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to LGBTQIA+ foster youth experience surveys",Committee on Children and Youth,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to an education and outreach campaign to enroll students in 3-K and pre-K",Committee on Education,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to installing pavement markings",Committee on Transportation and Infrastructure,Enacted (Mayor's Desk for Signature),
"A Local Law to amend the administrative code of the city of New York, in relation to expanding the availability of the newborn home visiting program",Committee on Health,Committee,
A Local Law in relation to a study and report on the feasibility of direct ferry service to Coney Island,Committee on Transportation and Infrastructure,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting the sale of flavored cigarettes",Committee on Health,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to quarterly reporting regarding the visitation of incarcerated individuals and requiring the department of correction to record interactions in which an individual is informed about a visitor and refuses to attend the visit",Committee on Criminal Justice,Laid Over in Committee,
"A Local Law in relation to a pilot program to install surveillance cameras in parks to deter illegal motor vehicle use, and to repeal this local law upon the expiration thereof",Committee on Parks and Recreation,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the police department to timely retrieve stored sexual offense evidence collection kits",Committee on Public Safety,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring sellers of petroleum products for use in motor vehicles or motor boats to disclose preauthorization holds",Committee on Consumer and Worker Protection,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to minimum payments to grocery delivery workers",Committee on Consumer and Worker Protection,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to tracking progress made towards the requirements of the streets master plan",Committee on Transportation and Infrastructure,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the suspension of alternate side of the street parking rules near street work that reduces the number of available parking spaces",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of housing preservation and development to provide a resource guide regarding shared driveways",Committee on Housing and Buildings,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to the creation of a watch list of commercial landlords determined to have knowingly leased premises to, or otherwise allowed the use of premises by, unlicensed sellers of cigarettes, electronic cigarettes, tobacco products, or illicit cannabis",Committee on Public Safety,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring covered stores to collect and recirculate reusable bags",Committee on Sanitation and Solid Waste Management,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to reducing the maximum time commercial vehicles may park",Committee on Transportation and Infrastructure,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to establishing procedures for blood alcohol level testing of a uniformed member of the police department whose discharge of a firearm results in physical injury to or death of an individual",Committee on Public Safety,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring child protective specialists to provide certain information to parents and other persons legally responsible for the care of children who are the subject of reports of child abuse or maltreatment",Committee on Children and Youth,Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring home improvement contractors to provide information on required permits to owners and requiring public outreach and education on the watch list of contractors performing work without a permit",Committee on Consumer and Worker Protection,Committee,
A Local Law in relation to the establishment of a task force to study options for making street design and infrastructure safer in consideration of increased use of electric bicycles and related collisions,Committee on Transportation and Infrastructure,Laid Over in Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring notification of community boards and elected officials before renewing an emergency shelter contract","Committee on Governmental Operations, State & Federal Legislation",Committee,
"A Local Law to amend the administrative code of the city of New York, in relation to requiring transparency concerning promotional opportunities",Committee on Civil and Human Rights,Laid Over in Committee,
