modified_date,enacted_date
2025-02-11T18:25:59.000,
2025-02-11T18:27:18.000,
2025-01-23T18:38:50.000,
2025-02-03T14:27:48.000,
2025-01-27T18:44:08.000,
2025-02-11T18:30:30.000,
2025-01-21T14:42:57.000,2024-12-18T00:00:00.000
2025-01-13T21:06:00.000,2024-12-21T00:00:00.000
2025-02-28T15:24:15.000,
2025-03-03T19:12:39.000,
2025-02-21T14:59:29.000,
2024-10-30T17:51:07.000,
2025-01-31T14:52:59.000,
2025-02-21T14:59:21.000,
2025-03-05T22:26:47.000,
2025-01-13T21:50:17.000,2024-12-21T00:00:00.000
2025-02-25T15:29:12.000,
2025-02-21T20:05:24.000,
2025-02-19T16:45:55.000,
2025-01-13T21:06:20.000,2024-12-21T00:00:00.000
2025-03-05T19:19:39.000,
2025-03-06T17:19:11.000,
2025-01-23T09:56:33.000,
2025-02-25T15:28:40.000,
2025-02-18T16:30:04.000,
2024-10-15T18:34:40.000,
2025-03-05T22:26:26.000,
2025-01-31T14:52:56.000,
2025-03-05T22:27:04.000,
2025-02-21T14:58:04.000,
2025-01-07T10:52:50.000,
2025-02-21T15:00:07.000,
2025-02-18T17:32:08.000,
2025-02-25T15:27:13.000,
2025-02-28T15:50:44.000,
2025-03-06T14:03:06.000,
2024-12-03T17:40:16.000,
2025-02-25T15:29:03.000,
2025-02-28T20:05:41.000,
2025-02-25T15:24:40.000,
2024-10-15T18:34:40.000,
2025-02-28T16:15:57.000,
2024-12-02T14:08:47.000,
2024-10-15T15:38:03.000,
2024-10-30T17:04:26.000,
2025-02-03T14:28:46.000,
2024-10-15T15:38:04.000,
2025-03-05T16:54:14.000,
2025-02-25T15:27:32.000,
2025-02-26T16:53:24.000,
2025-01-06T15:39:20.000,
2025-02-25T15:20:53.000,
2025-01-24T14:26:38.000,
2025-02-25T15:26:15.000,
2025-02-21T14:59:59.000,
2024-10-15T15:38:04.000,
2025-02-18T17:31:55.000,
2025-01-06T18:09:08.000,
2025-02-11T18:23:02.000,
2025-03-04T12:54:37.000,
2024-12-26T15:34:32.000,
2024-10-29T14:48:01.000,
2024-11-18T15:43:55.000,
2025-01-30T14:44:59.000,
2024-12-26T15:34:33.000,
2025-03-06T16:10:53.000,
2025-03-06T14:11:51.000,
2025-02-11T23:04:50.000,
2025-01-31T14:52:54.000,
2025-02-11T18:13:04.000,
2025-02-28T18:25:11.000,2025-02-22T00:00:00.000
2025-01-13T15:59:22.000,
2025-02-20T22:20:57.000,2025-01-18T00:00:00.000
2025-01-31T14:52:55.000,
2025-01-31T14:52:54.000,
2024-11-18T15:43:13.000,
2024-10-15T15:38:05.000,
2024-12-26T15:34:28.000,
2025-02-25T19:13:00.000,
2025-02-28T18:19:03.000,
2025-02-28T15:23:09.000,
2025-02-20T20:23:57.000,
2025-02-13T01:22:46.000,
2024-12-06T18:26:14.000,
2025-02-28T15:14:37.000,
2024-11-12T15:26:30.000,
2024-11-12T19:46:28.000,
2025-03-06T14:00:19.000,
2025-01-07T11:05:09.000,
2025-02-27T20:10:50.000,
2025-03-06T14:37:03.000,
2025-02-28T14:31:26.000,
2025-02-28T20:59:20.000,
2025-02-18T14:39:27.000,
2025-02-05T23:56:40.000,
2025-01-28T17:19:12.000,2025-01-04T00:00:00.000
2024-10-15T15:38:05.000,
2024-10-18T19:55:37.000,
2025-02-25T15:26:25.000,
2025-01-02T17:28:22.000,
2025-02-25T15:28:23.000,
2025-02-28T16:17:34.000,
2024-12-02T14:08:42.000,
2025-02-25T18:24:07.000,
2025-02-25T15:26:00.000,2024-12-21T00:00:00.000
2025-02-05T23:58:01.000,
2025-02-25T18:24:01.000,
2025-02-11T18:16:23.000,
2024-11-15T17:08:14.000,
2025-02-28T15:33:11.000,
2025-02-20T21:34:19.000,2025-01-18T00:00:00.000
2025-01-13T17:03:02.000,2024-12-13T00:00:00.000
2025-02-25T15:24:46.000,2025-01-04T00:00:00.000
2025-02-11T18:15:09.000,
2025-01-30T18:52:21.000,
2024-12-07T00:19:47.000,
2025-02-03T14:51:38.000,
2025-02-28T15:28:15.000,
2025-03-05T15:03:24.000,
2025-02-25T15:28:48.000,
2025-03-03T02:36:03.000,
2025-01-31T15:08:03.000,
2025-02-25T15:29:43.000,
2025-01-03T13:13:43.000,
2025-03-05T16:52:59.000,
2025-02-25T15:26:55.000,
2025-01-31T14:52:56.000,
2025-02-21T15:01:40.000,
2025-02-20T22:20:30.000,2025-01-18T00:00:00.000
2024-12-30T18:41:39.000,
2025-02-25T15:28:56.000,
2025-02-25T15:21:39.000,
2025-01-22T23:32:17.000,
2024-11-18T15:43:15.000,
2025-03-06T14:07:33.000,
2025-03-06T14:10:04.000,
2025-02-25T15:27:40.000,
2025-02-25T15:27:59.000,
2025-03-06T14:23:41.000,
2025-03-05T20:35:27.000,
2024-12-06T18:27:41.000,
2024-11-18T15:43:15.000,
2024-10-30T17:51:07.000,
2025-01-13T16:58:03.000,2024-12-18T00:00:00.000
2025-01-28T18:45:49.000,
2024-12-16T18:10:53.000,
2025-02-03T14:26:00.000,
2025-02-21T14:56:33.000,
2025-03-03T16:09:42.000,
2025-02-25T15:29:27.000,
2025-02-13T14:49:23.000,
2025-02-28T15:29:36.000,
2025-03-06T14:25:29.000,
2025-03-06T12:27:01.000,
2025-02-24T13:21:17.000,
2025-01-31T14:52:56.000,
2025-01-31T14:52:57.000,
2025-02-26T17:37:56.000,
2024-10-25T12:13:04.000,
2025-02-25T15:24:24.000,
2025-02-03T21:20:16.000,
2025-01-06T15:37:16.000,
2025-01-31T14:52:53.000,
2025-03-03T19:21:12.000,
2024-10-15T18:34:40.000,
2025-02-25T15:23:54.000,
2025-01-27T18:40:25.000,
2025-02-28T19:00:02.000,
2025-02-11T18:10:15.000,
2025-02-28T15:25:24.000,
2025-02-25T15:21:27.000,2024-12-21T00:00:00.000
2025-03-06T14:05:07.000,
2025-02-25T15:23:34.000,
2025-02-25T15:27:23.000,
2025-01-31T14:52:59.000,
2025-01-27T18:41:52.000,
2025-02-11T18:19:21.000,
2025-03-05T18:40:51.000,
2025-02-28T15:37:20.000,
2025-02-13T18:48:30.000,
2025-02-25T15:27:04.000,
2024-10-15T18:34:42.000,
2025-02-25T15:25:40.000,
2025-03-06T14:27:56.000,
2025-01-28T19:38:18.000,
2025-02-11T18:17:36.000,
2024-10-15T15:38:03.000,
2025-01-06T18:04:16.000,
2025-02-25T15:28:32.000,
2025-03-05T22:27:18.000,
2025-02-21T14:59:36.000,
2025-03-06T14:47:59.000,
2025-02-07T13:11:27.000,
2025-02-28T15:16:35.000,
2025-02-21T14:59:09.000,
2025-03-06T14:39:16.000,
2025-02-24T17:24:27.000,2025-01-18T00:00:00.000
2025-01-02T23:17:52.000,
2025-02-25T18:24:02.000,
2025-02-28T15:40:56.000,
