name,modified_date-law_number
Provision of services to people living with HIV and AIDS.,2025-02-28T15:37:20.000-nan
"Requiring the DOC to establish, operate and maintain an online scheduling system to facilitate visits to incarcerated individuals.",2025-02-28T16:17:34.000-nan
Requiring sellers of petroleum products for use in motor vehicles or motor boats to disclose preauthorization holds.,2025-02-18T17:31:55.000-nan
Creation of a mobile application on exercise and nutrition programs.,2025-02-25T15:29:27.000-nan
Requiring the installation of security cameras in parks.,2024-12-26T15:34:28.000-nan
Review of the potential use of lower-strength oleoresin capsicum sprays in facilities operated by the department of correction.,2025-02-25T15:27:59.000-nan
Establishing a prevailing wage requirement for covered workers in financially assisted facilities.,2025-02-03T14:51:38.000-nan
Requiring bicyclists to wear protective headgear.,2025-01-31T14:52:56.000-nan
Eliminating the fees for firearm licenses and permits.,2025-02-21T14:59:29.000-nan
Requiring an annual report on the state of waterfront infrastructure.,2024-12-06T18:26:14.000-nan
Creation of a comprehensive stormwater plan and a stormwater dashboard.,2025-03-05T16:52:59.000-nan
Authorizing an increase in the amount to be expended annually in 9 business improvement districts.,2025-02-20T21:34:19.000-2025/007
Reporting on training for child care inspectors.,2025-02-25T15:29:03.000-nan
Creation and publicization of an online portal for vulnerable and homebound individuals to voluntarily facilitate their inclusion in outreach and recovery efforts during emergencies.,2025-01-31T14:52:57.000-nan
Tip Theft Prevention Act.,2025-03-06T14:39:16.000-nan
"Consumer warnings regarding rifles, shotguns, and firearms.",2025-02-25T15:23:54.000-nan
Requiring a study and plan regarding naturally occurring retirement communities and aging in place.,2025-02-25T15:24:46.000-2025/001
Complaints to 311 about overhead wires.,2025-02-11T18:30:30.000-nan
Determining the feasibility of creating of a junior lifeguard corps.,2024-10-15T18:34:40.000-nan
Creating expedited processing of FOIL requests to professional journalists,2025-02-25T15:28:48.000-nan
Requiring the department of health and mental hygiene to create and implement a public awareness strategy to offer overdose prevention and reversal training to public health sanitarians of the department and to teaching staff of child care programs.,2025-02-25T15:29:12.000-nan
Requiring sodium and added sugar warnings in all restaurants.,2025-01-31T14:52:59.000-nan
Street cleanliness requirements for city concessionaires and franchisees.,2025-01-28T18:45:49.000-nan
A pilot program to convert existing basement or cellar apartments to habitable dwelling units.,2025-01-21T14:42:57.000-2024/126
Requiring transparency concerning promotional opportunities.,2025-02-11T18:13:04.000-nan
Requiring the civilian complaint review board to conduct an investigation of any injury or death caused by police action.,2024-10-30T17:51:07.000-nan
Reporting on the number of alternate compliance options to street tree planting requirements approved by the department of parks and recreation.,2025-01-23T09:56:33.000-nan
Budgets of the equal employment practices commission and the commission on civil and human rights.,2025-01-22T23:32:17.000-nan
Establishing a public outreach and education campaign regarding the availability and use of fentanyl test strips.,2025-02-28T15:16:35.000-nan
Student journalism programming in New York city public high schools.,2025-02-25T19:13:00.000-nan
Requiring covered stores to collect and recirculate reusable bags.,2024-11-18T15:43:55.000-nan
"Prohibiting discrimination on the basis of family and relationship structure in employment, housing, and public accommodations.",2024-10-15T18:34:40.000-nan
Community outreach regarding the availability of mental health resources in response to violent and traumatic incidents.,2025-02-28T18:25:11.000-2025/018
Safe collection and disposal of needles and syringes.,2025-03-05T19:19:39.000-nan
A study and report on the feasibility of creating older adult information points.,2025-01-13T21:06:20.000-2024/134
Requiring the department of transportation to install e-bicycle battery stations.,2024-10-15T15:38:05.000-nan
Establishing a program that transfers liability for certain engine idling violations to lessees of vehicles.,2025-01-02T17:28:22.000-nan
Installation of vape detectors in public middle and high schools.,2025-02-21T14:56:33.000-nan
Reporting and publication of mental health emergency response data.,2025-02-25T15:21:39.000-nan
Requiring a centralized list of artificial intelligence tools approved to be used by agencies,2025-02-25T15:25:40.000-nan
Providing contracted ferry service at reduced cost to middle school students.,2024-12-06T18:27:41.000-nan
Reducing the maximum time commercial vehicles may park,2025-01-30T14:44:59.000-nan
Charter revision commission to draft a new or revised city charter.,2025-01-13T17:03:02.000-2024/121
Establishing a high visibility pavement marking pilot program and the repeal of this local law upon the expiration thereof.,2025-01-07T11:05:09.000-nan
Annual study to identify non-operational schools and the subsequent removal of speed cameras from eliminated school speed zones.,2024-11-18T15:43:13.000-nan
Plan for expanding home access to broadband internet.,2025-03-06T14:25:29.000-nan
"Requiring the department of transportation to mail notices to, and receive comments from, residents, businesses, and organizations along the route of a proposed bicycle lane project.",2025-02-25T15:27:04.000-nan
"Notices in connection with rent increase exemptions, real property tax abatements, and exemptions from payments in lieu of taxes for certain properties occupied by senior citizens or persons with disabilities.",2025-02-25T15:27:40.000-nan
Capping renewable energy credits to 10% of a building’s electricity emissions in excess of its limit.,2025-03-06T14:03:06.000-nan
Informational resource for newly married individuals.,2025-02-28T15:25:24.000-nan
Requiring certain retail stores to accept flexible benefit cards.,2025-02-18T17:32:08.000-nan
Stationary on-street containers for the storage and collection of residential waste.,2025-01-28T19:38:18.000-nan
Establishing timelines for cooperative corporations to approve or deny the sale of cooperative apartments.,2025-02-28T14:31:26.000-nan
"Requiring the department of investigation to investigate the fire department’s compliance with laws and policies relating to discrimination, harassment, and equal employment opportunity.",2025-03-06T14:05:07.000-nan
Prohibiting the sale of disposable electronic cigarettes.,2024-12-02T14:08:47.000-nan
Ability of supreme court justices in the twelfth and thirteenth judicial districts to hear objections to charter amendment petitions.,2025-02-03T14:28:46.000-nan
Requiring child protective specialists to provide certain information to parents and other persons legally responsible for the care of children who are the subject of reports of child abuse or maltreatment.,2025-03-06T16:10:53.000-nan
Adjustment of contribution and expenditure limits to account for two-year council terms.,2025-02-20T22:20:57.000-2025/009
Requiring the commissioner of information technology and telecommunication to report on complaints received regarding residential space used as a business.,2025-02-21T15:00:07.000-nan
Requiring agencies that issue vacate orders to provide documentation of vacate orders to affected occupants upon request.,2025-02-25T15:27:13.000-nan
Establishing ferry service to LaGuardia and John F. Kennedy International airports.,2025-01-31T14:52:56.000-nan
Civil legal services for domestic violence survivors in divorce proceedings.,2025-02-03T21:20:16.000-nan
Automatic enrollment of eligible individuals in city-created benefit programs,2025-03-03T19:12:39.000-nan
