matter_id,file_num,name,primary_sponsor
74112,Int 1159-2025,Reporting on the number of alternate compliance options to street tree planting requirements approved by the department of parks and recreation.,Avilés
74985,Int 1170-2025,Establishing ferry service to LaGuardia and John F. Kennedy International airports.,Holden
73638,Int 1173-2025,Requiring bicyclists to wear protective headgear.,Holden
74581,Int 1097-2024,Requiring certain retail stores to accept flexible benefit cards.,Riley
74799,Int 1050-2024,Limiting the amount of liability coverage that the taxi and limousine commission may require for vehicles it licenses.,De La Rosa
74698,Int 1021-2024,Suspension of alternate side parking regulations on Patriot Day.,Farías
75224,Int 1160-2025,Installing pavement markings.,Brannan
74602,Int 1077-2024,Provision of luggage to foster care youth.,Joseph
74781,Int 1048-2024,Conducting a complaint based siren sound study in the city.,Brewer
75260,Int 1175-2025,Civil legal services for domestic violence survivors in divorce proceedings.,Menin
75282,Int 1165-2025,Creation of a public awareness campaign for the disability rent increase exemption program.,Bottcher
75391,Int 1194-2025,Provision of services to people living with HIV and AIDS.,Schulman
72985,Int 1093-2024,Increasing the percentage of disability set aside units in affordable housing projects.,Lee
74466,Int 1015-2024,"Prohibiting the wearing of ski masks in public places, on school premises, and on child care program premises",Ariola
74821,Int 1085-2024,"Watch list of commercial landlords determined to have knowingly leased premises to, or otherwise allowed the use of premises by, unlicensed sellers of cigarettes, electronic cigarettes, tobacco products, or illicit cannabis.",Schulman
74733,Int 1017-2024,Study and report on the feasibility of direct ferry service to Coney Island.,Brannan
71983,Int 1065-2024,Terms of employment for district managers.,Williams
72098,Int 1076-2024,Requiring the inclusion of businesses owned by persons of Middle Eastern and North African descent in future disparity studies.,Hanif
75121,Int 1146-2024,Expanding the availability of the newborn home visiting program.,Brooks-Powers
74702,Int 1124-2024,Prohibiting the sale of disposable electronic cigarettes.,Menin
74888,Int 1092-2024,"Educating older adults about elder fraud, end of life preparation, and financial literacy.",Hudson
74605,Int 1067-2024,"Assistance program for homeowners experiencing groundwater flooding in the city of New York and a southeast Queens flooding adaptation assistance task force, and to repeal certain such amendments upon the expiration thereof.",Williams
74421,Int 1010-2024,"Pilot program to install surveillance cameras in parks to deter illegal motor vehicle use, and to repeal this local law upon the expiration thereof.",Ung
75138,Int 1149-2024,Language accessibility at ferry terminals.,Farías
74889,Int 1082-2024,Study and report on fees and costs required to start and maintain a small business.,Narcisse
74590,Int 1044-2024,Creation of a mobile application on exercise and nutrition programs.,Schulman
69108,Int 1103-2024,Community outreach regarding the availability of mental health resources in response to violent and traumatic incidents.,Ayala
74856,Int 1087-2024,Study on a program to make bridge loans available to awardees of capital funding from the city.,Williams
74451,Int 1001-2024,Creating an automated text messaging system to provide participants with important reminders regarding children’s health and development.,Gutiérrez
74701,Int 1111-2024,Adjustment of contribution and expenditure limits to account for two-year council terms.,Schulman
74924,Int 1136-2024,Suspension of alternate side of the street parking rules near street work that reduces the number of available parking spaces.,Vernikov
75172,Int 1155-2024,Requiring the department of housing preservation and development to provide a resource guide regarding shared driveways.,Narcisse
74955,Int 1107-2024,Common households for short-term rentals in one- and two-family dwellings.,Louis
74596,Int 1011-2024,Requiring the commissioner of information technology and telecommunication to report on complaints received regarding residential space used as a business.,Ung
