school_city,park_borough,ferry_direction,created_date,cross_street_1
Unspecified,BROOKLYN,,2009-01-02T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
Unspecified,BRONX,,2009-01-03T00:00:00.000,
Unspecified,QUEENS,,2009-01-03T00:00:00.000,
Unspecified,QUEENS,,2009-01-02T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-01T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-01T00:00:00.000,
BROOKLYN,BROOKLYN,,2009-01-04T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-02T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-03T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-03T00:00:00.000,
Unspecified,Unspecified,,2009-01-02T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-01T00:00:00.000,
Unspecified,QUEENS,,2009-01-02T00:00:00.000,NORTHERN BLVD
Unspecified,BRONX,,2009-01-01T00:00:00.000,WESTCHESTER AVE
Unspecified,MANHATTAN,,2009-01-01T00:00:00.000,
Unspecified,BRONX,,2009-01-02T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,WESTSIDE EXPY HWY
Unspecified,MANHATTAN,,2009-01-01T00:00:00.000,
Unspecified,Unspecified,,2009-01-02T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
Unspecified,QUEENS,,2009-01-02T00:00:00.000,
Unspecified,QUEENS,,2009-01-03T00:00:00.000,
Unspecified,Unspecified,,2009-01-02T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-02T00:00:00.000,
Unspecified,BRONX,,2009-01-01T00:00:00.000,MICKLE AVE
Unspecified,BRONX,,2009-01-02T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-03T00:00:00.000,KENT AVENUE
Unspecified,BRONX,,2009-01-01T00:00:00.000,
Unspecified,QUEENS,,2009-01-06T00:00:00.000,
NEW YORK,MANHATTAN,,2009-01-02T00:00:00.000,
Unspecified,BRONX,,2009-01-01T00:00:00.000,PARK
Unspecified,BROOKLYN,,2009-01-04T00:00:00.000,
Unspecified,BRONX,,2009-01-04T00:00:00.000,
Unspecified,Unspecified,,2009-01-01T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-08T00:00:00.000,
Unspecified,BRONX,,2009-01-13T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
Unspecified,BRONX,,2009-01-01T00:00:00.000,CLINTON AVE
Unspecified,BROOKLYN,,2009-01-01T00:00:00.000,
Unspecified,QUEENS,,2009-01-02T00:00:00.000,
Unspecified,QUEENS,,2009-01-02T00:00:00.000,
Unspecified,QUEENS,,2009-01-02T00:00:00.000,35 AVE
Unspecified,Unspecified,,2009-01-02T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-03T00:00:00.000,
NEW YORK,MANHATTAN,,2009-01-01T00:00:00.000,
Unspecified,BRONX,,2009-01-03T00:00:00.000,
Unspecified,Unspecified,,2009-01-02T00:00:00.000,
NEW YORK,MANHATTAN,,2009-01-02T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-04T00:00:00.000,
Unspecified,QUEENS,,2009-01-03T00:00:00.000,86 DR
Unspecified,QUEENS,,2009-01-03T00:00:00.000,
Unspecified,QUEENS,,2009-01-02T00:00:00.000,
Unspecified,BRONX,,2009-01-01T00:00:00.000,
Unspecified,BRONX,,2009-01-03T00:00:00.000,
Unspecified,BRONX,,2009-01-05T00:00:00.000,
Unspecified,QUEENS,,2009-01-02T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-03T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-03T00:00:00.000,
NEW YORK,MANHATTAN,,2009-01-01T00:00:00.000,
Unspecified,BRONX,,2009-01-01T00:00:00.000,
Unspecified,STATEN ISLAND,,2009-01-03T00:00:00.000,
Unspecified,BRONX,,2009-01-02T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
Unspecified,QUEENS,,2009-01-01T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-04T00:00:00.000,
Unspecified,QUEENS,,2009-01-02T00:00:00.000,
Unspecified,Unspecified,,2009-01-01T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-03T00:00:00.000,
Unspecified,QUEENS,,2009-01-15T00:00:00.000,
Unspecified,QUEENS,,2009-01-02T00:00:00.000,
Unspecified,QUEENS,,2009-01-04T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-01T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-09T00:00:00.000,
Unspecified,QUEENS,,2009-01-02T00:00:00.000,
Unspecified,BROOKLYN,,2009-01-02T00:00:00.000,
Unspecified,MANHATTAN,,2009-01-03T00:00:00.000,
