intersection_street_2,bridge_highway_name,school_zip,cross_street_2,location,park_facility_name,school_state,school_address,closed_date,address_type,borough,school_not_found,latitude,community_board,ferry_terminal_name
97 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
39 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
8 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
W 183 ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-10T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,ADDRESS,Unspecified,,,0 Unspecified,
MANHATTAN AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
LIBERTY AVENUE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,INTERSECTION,BROOKLYN,,,05 BROOKLYN,
174 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
,,Unspecified,ST NICHOLAS AVE,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,ADDRESS,MANHATTAN,,,Unspecified MANHATTAN,
43 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
155 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
LENOX AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
231 ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2008-12-26T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-19T00:00:00.000,ADDRESS,Unspecified,,,0 Unspecified,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2008-12-30T00:00:00.000,,QUEENS,,,Unspecified QUEENS,
36 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
3 AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-09-03T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
7 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
,,11220,,,Recreation Center - Sunset Park,NY,7th Avenue at 42nd Street,2009-01-08T00:00:00.000,,BROOKLYN,,,07 BROOKLYN,
213 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
161 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
139 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-04T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-20T00:00:00.000,ADDRESS,Unspecified,,,0 Unspecified,
167 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
139 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-03T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
144 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
,,Unspecified,PROSPECT ST,,Unspecified,Unspecified,Unspecified,2009-01-07T00:00:00.000,BLOCKFACE,BROOKLYN,,,Unspecified BROOKLYN,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-19T00:00:00.000,ADDRESS,Unspecified,,,0 Unspecified,
SURF AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
CLAY AVE,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-08T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
VAN WYCK EXPY,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-06T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2008-12-30T00:00:00.000,,QUEENS,,,Unspecified QUEENS,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,,BROOKLYN,,,18 BROOKLYN,
,,10033,,,Fort Tryon Park,NY,"Riverside Drive to Broadway, West 192nd to Dyckman Streets",2009-01-08T00:00:00.000,,MANHATTAN,,,12 MANHATTAN,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-11-10T00:00:00.000,,Unspecified,,,0 Unspecified,
,,Unspecified,AMSTERDAM AVE,,Unspecified,Unspecified,Unspecified,2009-01-23T00:00:00.000,BLOCKFACE,MANHATTAN,,,Unspecified MANHATTAN,
,,Unspecified,31 STREET,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,,QUEENS,,,Unspecified QUEENS,
174 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-05T00:00:00.000,INTERSECTION,BRONX,,,Unspecified BRONX,
HANCOCK ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-04T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
3 ST W,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
BATTERY PL,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-07T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
37 ST E,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-01T00:00:00.000,INTERSECTION,MANHATTAN,,,Unspecified MANHATTAN,
148 ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-08T00:00:00.000,INTERSECTION,QUEENS,,,Unspecified QUEENS,
,,10033,,,Fort Tryon Park,NY,"Riverside Drive to Broadway, West 192nd to Dyckman Streets",2009-01-08T00:00:00.000,,MANHATTAN,,,12 MANHATTAN,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-06T00:00:00.000,,BROOKLYN,,,17 BROOKLYN,
,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-14T00:00:00.000,,QUEENS,,,13 QUEENS,
GRAND ST,,Unspecified,,,Unspecified,Unspecified,Unspecified,2009-01-02T00:00:00.000,INTERSECTION,BROOKLYN,,,Unspecified BROOKLYN,
