agency,incident_zip,agency_name,due_date,school_name,intersection_street_1,longitude,taxi_pick_up_location,status,bridge_highway_segment,school_or_citywide_complaint,school_phone_number
DOT,,Department of Transportation,,Unspecified,1 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,WEST ST,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,4 AVE,,,Closed,,,Unspecified
DEP,,Department of Environmental Protection,,Unspecified,TIEBOUT ST,,,Closed,,,Unspecified
HPD,,Department of Housing Preservation and Development,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,117 ST W,,,Closed,,,Unspecified
DSNY,,BCC - Brooklyn North,,Unspecified,LINCOLN AVENUE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,ROSEDALE AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,LENOX RD,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,MACOMBS PL,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,125 ST W,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,FRANCIS LEWIS BLVD,,,Pending,,,Unspecified
HPD,,Department of Housing Preservation and Development,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Pending,,,Unspecified
DOT,,Department of Transportation,,Unspecified,2 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,54 ST E,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,3 AVE,,,Closed,,,Unspecified
DPR,11220.0,Department of Parks and Recreation,2009-01-17T00:00:00.000,Recreation Center - Sunset Park,,,,Closed,,,7189656533
DOT,,Department of Transportation,,Unspecified,JEROME AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,GRANT AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,7 AVE,,,Closed,,,Unspecified
HPD,,Department of Housing Preservation and Development,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BOSTON RD,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,7 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BROADWAY,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Closed,,,Unspecified
HPD,,Department of Housing Preservation and Development,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,29 ST W,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,170 ST E,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,133 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Pending,,,Unspecified
DSNY,,BCC - Brooklyn South,,Unspecified,,,,Closed,,,Unspecified
DPR,10033.0,Department of Parks and Recreation,2009-01-15T00:00:00.000,Fort Tryon Park,,,,Closed,,,2124080100
TLC,,Correspondence - Taxi and Limousine Commission,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Closed,,,Unspecified
DPR,,Department of Parks and Recreation,2009-01-16T00:00:00.000,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BRYANT AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BROADWAY,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,AVE OF THE AMERICAS,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,WASHINGTON ST,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,5 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,LIE S S/R,,,Closed,,,Unspecified
DPR,10033.0,Department of Parks and Recreation,2009-01-15T00:00:00.000,Fort Tryon Park,,,,Closed,,,2124080100
DSNY,,A - Brooklyn,,Unspecified,,,,Closed,,,Unspecified
DSNY,,BCC - Queens East,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,GRAND AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,MADISON AVE,,,Closed,,,Unspecified
DEP,,Department of Environmental Protection,,Unspecified,WESTCHESTER AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,23 ST,,,Closed,,,Unspecified
DEP,,Department of Environmental Protection,,Unspecified,39 ST,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,AVE OF THE AMERICAS,,,Closed,,,Unspecified
DSNY,,A - Canine Task Force Citywide,,Unspecified,RIVERSIDE BOULEVARD,,,Closed,,,Unspecified
DPR,11209.0,Department of Parks and Recreation,2009-01-14T00:00:00.000,Fort Hamilton Athletic Field,,,,Closed,,,7189658900
DOT,,Department of Transportation,,Unspecified,17 ST E,,,Closed,,,Unspecified
DEP,,Department of Environmental Protection,,Unspecified,SOMERS ST,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,KINGS HWY,,,Closed,,,Unspecified
DCA,,Department of Consumer Affairs,2009-01-09T00:00:00.000,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,10 ST W,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Pending,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,5 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,180 ST E,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,MADISON AVE,,,Closed,,,Unspecified
DCA,7927.0,Department of Consumer Affairs,2009-01-17T00:00:00.000,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,12 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,5 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,UNION TPKE,,,Closed,,,Unspecified
DSNY,,BCC - Queens West,,Unspecified,,,,Closed,,,Unspecified
DCA,,Department of Consumer Affairs,2009-01-09T00:00:00.000,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BEDFORD AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,KEPLER AVE,,,Closed,,,Unspecified
DSNY,,A - Brooklyn,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BROOK AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,90 AVE,,,Closed,,,Unspecified
DPR,10002.0,Department of Parks and Recreation,2009-01-16T00:00:00.000,East River Park,,,,Closed,,,2124080100
DSNY,,BCC - Bronx,,Unspecified,,,,Closed,,,Unspecified
DSNY,,Brooklyn South 10,,Unspecified,89 STREET,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,JESUP AVE,,,Closed,,,Unspecified
TLC,,Correspondence - Taxi and Limousine Commission,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,4 ST W,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,HUGHES AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,3 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,CATON AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,VERNON BLVD,,,Pending,,,Unspecified
DOT,,Department of Transportation,,Unspecified,CONDUIT AVE N,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Pending,,,Unspecified
DCA,,Department of Consumer Affairs,2009-01-16T00:00:00.000,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BEDFORD AVE,,,Closed,,,Unspecified
DPR,10010.0,Department of Parks and Recreation,2009-01-04T00:00:00.000,Recreation Center - Asser Levy,,,,Closed,,,2124472020
DEP,,Department of Environmental Protection,,Unspecified,SOUNDVIEW AVE,,,Closed,,,Unspecified
HPD,,Department of Housing Preservation and Development,,Unspecified,,,,Closed,,,Unspecified
DPR,10027.0,Department of Parks and Recreation,2009-01-05T00:00:00.000,Marcus Garvey Park,,,,Closed,,,2124080100
TLC,,Taxi and Limousine Commission,2009-03-01T00:00:00.000,Unspecified,82 STREET,,Other,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Closed,,,Unspecified
DSNY,,Queens East 12,,Unspecified,VAN WYCK EXPRESSWAY,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,LINDEN PL,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,HUGHES AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,WILLIS AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BRYANT AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,CONDUIT AVE N,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BROADWAY,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,5 AVE,,,Closed,,,Unspecified
DEP,,Department of Environmental Protection,,Unspecified,ELDERT LA,,,Closed,,,Unspecified
DPR,10023.0,Department of Parks and Recreation,2009-01-04T00:00:00.000,Riverside Park,,,,Closed,,,2124080250
DOT,,Department of Transportation,,Unspecified,BOSTON RD,,,Closed,,,Unspecified
DSNY,,BCC - Staten Island,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BRYANT AVE,,,Closed,,,Unspecified
DEP,,Department of Environmental Protection,,Unspecified,W 49 ST,,,Closed,,,Unspecified
DEP,,Department of Environmental Protection,,Unspecified,W 79 ST,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,CYPRESS HILLS ST,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,LINDEN BLVD,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,164 ST,,,Closed,,,Unspecified
HPD,,Department of Housing Preservation and Development,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BAY PKWY,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,ASTORIA BLVD,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,QUEENS BLVD,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,CROSS BAY BLVD,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,3 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,3 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,41 AVENUE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,AVE T,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,PARK AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BROADWAY,,,Closed,,,Unspecified
DSNY,,A - Canine Task Force Citywide,,Unspecified,89 STREET,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,AVE T,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,154 ST E,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,BROADWAY,,,Closed,,,Unspecified
DPR,10010.0,Department of Parks and Recreation,2009-01-06T00:00:00.000,Madison Square Park,,,,Closed,,,2124080100
DOT,,Department of Transportation,,Unspecified,4 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,RIDGE BLVD,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,121 ST W,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,3 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,VAN WYCK EXPY S/R,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,ELLIS AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,NEW YORK AVE E,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,CROSS BX EXPY,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,12 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,SUMMIT AVE,,,Closed,,,Unspecified
DSNY,,BCC - Staten Island,,Unspecified,VERRAZANO BRIDGE,,,Closed,,,Unspecified
DSNY,,Bronx 08,,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,2009-01-31T00:00:00.000,Unspecified,,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,229 ST E,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,4 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,3 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,SOUTHERN BLVD,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,2 AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,SPRINGFIELD BLVD,,,Closed,,,Unspecified
DPR,10033.0,Department of Parks and Recreation,2009-01-15T00:00:00.000,Fort Tryon Park,,,,Closed,,,2124080100
DOT,,Department of Transportation,,Unspecified,,,,Pending,,,Unspecified
TLC,,Taxi and Limousine Commission,,Unspecified,DITMAS AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,SENECA AVE,,,Closed,,,Unspecified
DOT,,Department of Transportation,,Unspecified,5 AVE,,,Closed,,,Unspecified
DPR,11375.0,Department of Parks and Recreation,2009-01-10T00:00:00.000,Yellowstone Municipal Park,,,,Closed,,,7185205900
DOT,,Department of Transportation,2009-01-31T00:00:00.000,Unspecified,,,,Closed,,,Unspecified
