vehicle_type,road_ramp,school_region,facility_type,resolution_action_updated_date,school_code,:@computed_region_92fq_4b7q,:@computed_region_f5dn_yrer,street_name,x_coordinate_state_plane_,descriptor
,,Unspecified,,2009-01-01T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-09T00:00:00.000,Unspecified,,,,,Flashing Hazard
,,Unspecified,,2009-01-05T00:00:00.000,Unspecified,,,,,Pothole
,,Unspecified,,2009-01-02T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-06T00:00:00.000,Unspecified,,,,,Street Light Out
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-15T00:00:00.000,Unspecified,,,,,E8 Canine Violation
,,Unspecified,,2009-01-02T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-07T00:00:00.000,Unspecified,,,,,Multiple Street Lights Out
,,Unspecified,,2009-01-05T00:00:00.000,Unspecified,,,,,Controller
,,,,2009-01-06T00:00:00.000,,,,,,Garbage or Litter
,,Unspecified,,2009-01-01T00:00:00.000,Unspecified,,,,,Veh Signal Lamp
,,Unspecified,,2009-01-05T00:00:00.000,Unspecified,,,,,Multiple Street Lights Out
,,Unspecified,,2009-01-15T00:00:00.000,Unspecified,,,,,Street Light Out
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-05T00:00:00.000,Unspecified,,,BKLYN QUEENS EXPY,,Street Light Cycling
,,Unspecified,,2009-01-01T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-04-17T00:00:00.000,Unspecified,,,,,Lamppost Base Door/Cover Open
,,Unspecified,,2009-01-05T00:00:00.000,Unspecified,,,,,Post
,,Unspecified,,2009-01-01T00:00:00.000,Unspecified,,,,,Veh Signal Head
,,Unspecified,,2009-01-06T00:00:00.000,Unspecified,,,,,Street Light Dayburning
,,Unspecified,DSNY Garage,2009-01-03T00:00:00.000,Unspecified,,,,,12 Dead Animals
,,Unspecified,,2009-01-05T00:00:00.000,Unspecified,,,,,1RB Missed Recycling - M/G/Pl
,,Unspecified,,2009-01-08T00:00:00.000,Unspecified,,,,,Lost and Found
,,Unspecified,,2009-01-22T00:00:00.000,Unspecified,,,,,Street Light Out
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-01T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-02-22T00:00:00.000,Unspecified,,,,,Temporary
,,Unspecified,,2009-01-01T00:00:00.000,Unspecified,,,,,Ped Flasher
,,Unspecified,,2009-01-14T00:00:00.000,Unspecified,,,,,Street Light Out
,,,,2009-01-08T00:00:00.000,,,,,,Structure - Outdoors
,,Unspecified,,2008-12-30T00:00:00.000,Unspecified,,,CLEARVIEW EXPY,,Street Light Out
,,Unspecified,,2009-01-06T00:00:00.000,Unspecified,,,,,Insurance Information Requested
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Controller
,,,,2009-03-03T00:00:00.000,,,,,,Dead Animal
,,Unspecified,,2009-01-02T00:00:00.000,Unspecified,,,,,Lost and Found
,,Unspecified,,2009-01-04T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-02T00:00:00.000,Unspecified,,,,,Multiple Street Lights Out
,,Unspecified,,2009-01-08T00:00:00.000,Unspecified,,,,,Street Light Out
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-01T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-06T00:00:00.000,Unspecified,,,,,E3 Dirty Sidewalk
,,Unspecified,,2009-01-04T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-13T00:00:00.000,Unspecified,,,,,Hydrant Running Full (WA4)
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,DSNY Garage,2009-01-03T00:00:00.000,Unspecified,,,205 E 7 ST,,15 Street Cond/Dump-Out/Drop-Off
,,Unspecified,,2009-01-12T00:00:00.000,Unspecified,,,,,Lost and Found
,,Unspecified,,2009-01-02T00:00:00.000,Unspecified,,,,,Hydrant Leaking (WC1)
,,Unspecified,,2009-01-06T00:00:00.000,Unspecified,,,,,Pothole
,,Unspecified,DSNY Garage,2009-01-05T00:00:00.000,Unspecified,,,,,15S Re-Plow/Spread/Ice-Snow Cond.
,,Unspecified,,2009-01-02T00:00:00.000,Unspecified,,,,,15S Re-Plow/Spread/Ice-Snow Cond.
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Post
,,Unspecified,,2009-01-03T00:00:00.000,Unspecified,,,,,Veh Signal Head
,,Unspecified,,2009-01-05T00:00:00.000,Unspecified,,,,,Cable
,,Unspecified,,2009-01-02T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-05T00:00:00.000,Unspecified,,,,,Controller
,,Unspecified,,2009-01-02T00:00:00.000,Unspecified,,,,,Street Light Cycling
,,Unspecified,,2009-01-05T00:00:00.000,Unspecified,,,141 ST E,,Street Light Out
