smm_rate,trimester,education
280.3,All,High school graduate/equivalent
247.5,All,All
234.9,All,All
240.7,All,All
321.4,All,All
514.7,All,All
207.9,All,All
337.1,All,All
254.7,All,All
253.2,All,All
323.1,Third trimester,All
306.7,All,Less than high school
632.5,All,All
288.3,All,All
