dbn,students_residing_in_shelter,students_in_temporary_housing_1,residing_in_non_dhs_shelter
02M475,s,0.02,s
01M515,14,0.15,s
03M084,14,0.08,s
02M151,13,0.10,7
02M527,s,0.04,s
02M533,11,0.08,s
02M444,15,0.06,s
03M250,10,0.15,s
01M184,s,0.11,s
02M040,s,0.01,s
01M364,12,0.14,s
03M075,39,0.15,9
02M104,30,0.06,7
02M425,25,0.09,11
02M529,31,0.13,14
02M077,s,s,s
02M131,14,0.24,s
02M580,17,0.07,7
01M292,9,0.15,s
03M859,s,0.03,s
02M442,s,s,s
02M281,s,0.03,s
02M551,8,0.04,s
03M258,13,0.14,s
01M332,10,0.14,s
02M001,15,0.07,s
02M234,s,s,s
02M544,29,0.14,8
02M438,11,0.40,s
02M542,13,0.24,s
01M448,12,0.16,s
02M392,14,0.08,s
02M412,s,0.02,s
02M059,s,s,s
03M076,80,0.27,21
02M288,14,0.09,s
02M290,s,s,s
03M087,15,0.02,s
02M313,12,0.10,s
01M140,23,0.18,6
01M020,41,0.19,15
01M509,11,0.14,s
02M135,21,0.16,8
02M407,s,0.03,s
01M034,46,0.24,12
03M149,26,0.19,6
03M494,38,0.15,14
01M019,19,0.12,s
02M282,11,0.07,s
03M333,s,0.02,s
01M378,22,0.18,s
02M289,s,0.05,s
01M361,13,0.09,s
02M393,23,0.11,9
01M700,24,0.14,s
03M505,22,0.14,7
02M267,s,s,s
02M124,s,0.05,s
02M167,7,0.03,s
02M615,14,0.08,6
03M256,13,0.21,s
03M403,13,0.12,s
02M700,26,0.09,s
02M300,30,0.18,16
03M492,24,0.12,8
02M217,6,0.02,s
02M489,17,0.07,6
