school_name,total_students
Lower Manhattan Community Middle School,391
High School for Environmental Studies,1200
P.S. 051 Elias Howe,517
Manhattan Comprehensive Night and Day High School,880
The Urban Assembly School for Green Careers,312
Murray Hill Academy,307
Millennium High School,665
High School for Health Professions and Human Servi,1812
East Side Community School,685
The Maxine Greene HS for Imaginative Inquiry,420
P.S. 166 The Richard Rodgers School of The Arts an,665
Pace High School,551
P.S. 245,330
Fiorello H. LaGuardia High School of Music & Art a,2815
Essex Street Academy,339
P.S. 180 Hugo Newman,561
Lower Manhattan Arts Academy,320
P.S. 242 - The Young Diplomats Magnet Academy,182
P.S. 163 Alfred E. Smith,585
The High School For Language And Diplomacy,336
P.S. 002 Meyer London,574
Quest to Learn,577
Unity Center for Urban Technologies,261
P.S. 003 Charrette School,769
N.Y.C. Museum School,446
"Urban Assembly School of Business for Young Women,",228
Academy for Software Engineering,457
Humanities Preparatory Academy,232
P.S. 183 Robert L. Stevenson,600
Harvest Collegiate High School,495
The East Village Community School,332
Ella Baker School,326
Home Schooling,49
P.S. 041 Greenwich Village,703
P.S. 015 Roberto Clemente,187
P.S. 185 - The Early Childhood Discovery and Desig,265
Eleanor Roosevelt High School,542
P.S. 142 Amalia Castro,357
"Facing History School, The",382
Murry Bergtraum High School for Business Careers,258
Bard High School Early College,587
Professional Performing Arts High School,567
The Alain L. Locke Magnet School for Environmental,127
School of the Future High School,759
I.S. 077,1035
Cascades High School,263
New York City Lab Middle School for Collaborative,556
East Side Middle School,453
P.S. 011 William T. Harris,950
City Knoll Middle School,241
P.S. 134 Henrietta Szold,318
M.S. 297,218
Manhattan / Hunter Science High School,444
P.S. 165 Robert E. Simon,629
"Technology, Arts, and Sciences Studio",99
Innovation Diploma Plus,232
District 2 Pre-K Center,390
P.S. 198 Isador E. Ida Straus,486
P.S. 199 Jessie Isador Straus,866
Tompkins Square Middle School,375
P.S. 033 Chelsea Prep,679
Battery Park City School,866
Frank Mccourt High School,409
P.S. 126 Jacob August Riis,795
P.S. 116 Mary Lindley Murray,575
Urban Assembly Gateway School for Technology,460
