site_name,date_sla_established_or,sla,comments
Dreier-Offerman Park-Calvert Vaux Park Zone 1,2024-04-12T00:00:00.000,1,
Prospect Park-Grand Army Plaza,2024-04-12T00:00:00.000,3,
Tucker Place,2024-04-12T00:00:00.000,3,
City Line Park,2024-08-27T00:00:00.000,3,
Lincoln Terrace Park / Arthur S. Somers-Lincoln Terr Pk/Arthur S Somers Zone 3,2024-04-12T00:00:00.000,3,
Prospect Park-Litchfield Villa,2024-04-12T00:00:00.000,3,
Prospect Park-Ocean Ave,2024-04-12T00:00:00.000,3,
Kelly Park Playground,2024-04-12T00:00:00.000,3,
Bath Beach Park,2024-08-27T00:00:00.000,3,
West Playground,2024-04-12T00:00:00.000,3,
McKinley Park,2024-04-12T00:00:00.000,3,
McCarren Park Zone 6,2024-04-12T00:00:00.000,3,
Canarsie Park,2024-04-12T00:00:00.000,3,
Canarsie Park Zone 1,2024-04-12T00:00:00.000,1,
John Paul Jones Park,2024-04-12T00:00:00.000,3,
Six Diamonds Zone 1,2024-07-01T00:00:00.000,N,Removed from site list for the season
Prospect Park-The Nethermead,2024-04-12T00:00:00.000,3,
Red Hook Recreation Area-Red Hook Park Zone 7,2024-04-12T00:00:00.000,1,
Six Diamonds Zone 1,2024-04-12T00:00:00.000,3,
Seth Low Playground/ Bealin Square,2024-04-12T00:00:00.000,3,
Shore Park And Parkway-Shore Road Park Zone 3,2024-04-12T00:00:00.000,3,
Prospect Park-The Zoo Lefferts Homestead Carousel,2024-04-12T00:00:00.000,3,
Canarsie Park Zone 2,2024-08-27T00:00:00.000,3,
Manhattan Beach Park-Manhattan Beach Zone 2,2024-08-27T00:00:00.000,3,
Eastern Parkway Mall Zone 3,2024-04-12T00:00:00.000,3,
Ocean Parkway (5.5 Miles)-Ocean Parkway Malls Zone 1,2024-04-12T00:00:00.000,3,
Betsy Head Park,2024-04-12T00:00:00.000,3,
Dyker Beach Park Zone 2,2024-08-27T00:00:00.000,3,
Grace Playground,2024-04-12T00:00:00.000,1,
Herbert Von King Park,2024-04-12T00:00:00.000,3,
Canarsie Park Zone 2,2024-04-12T00:00:00.000,1,
Avenue R Mall,2024-04-12T00:00:00.000,3,
Owl's Head Park,2024-04-12T00:00:00.000,3,
Jacob Joffe Fields,2024-04-12T00:00:00.000,1,
Leif Ericson Park,2024-04-12T00:00:00.000,3,
Shore Park And Parkway-Shore Road Park Zone 5,2024-04-12T00:00:00.000,1,
Prospect Park Southwest Upper,2024-04-12T00:00:00.000,3,
Prospect Park-Lakeside Center & Concert Grove,2024-04-12T00:00:00.000,3,
Prospect Park-The Bandshell,2024-04-12T00:00:00.000,3,
Detective Joseph Mayrose Park,2024-04-12T00:00:00.000,3,
Lincoln Terrace Park / Arthur S. Somers Playground,2024-04-12T00:00:00.000,3,
Prospect Park Southwest Lower,2024-04-12T00:00:00.000,3,
Albert J. Parham Playground,2024-04-12T00:00:00.000,3,
Ocean Parkway (5.5 Miles)-Ocean Parkway Malls Zone 3,2024-04-12T00:00:00.000,3,
Amersfort Park,2024-04-12T00:00:00.000,3,
Shore Park And Parkway-Shore Road Park Zone 6,2024-04-12T00:00:00.000,3,
Ocean Parkway (5.5 Miles)-Ocean Parkway Malls Zone 7,2024-04-12T00:00:00.000,3,
Prospect Park-Park Side Ave,2024-04-12T00:00:00.000,3,
Dreier-Offerman Park-Calvert Vaux Park Zone 2,2024-08-27T00:00:00.000,3,
Msgr. McGolrick Park,2024-04-12T00:00:00.000,3,
Shore Park And Parkway-Shore Road Park Zone 1,2024-04-12T00:00:00.000,3,
Six Diamonds Zone 2,2024-08-27T00:00:00.000,3,
Cobble Hill Park,2024-04-12T00:00:00.000,3,
Marine Park Zone 6,2024-04-12T00:00:00.000,3,
Fort Greene Park Zone 3,2024-04-12T00:00:00.000,3,
Jacob Joffe Fields,2024-08-27T00:00:00.000,3,
Ocean Parkway (5.5 Miles)-Ocean Parkway Malls Zone 4,2024-04-12T00:00:00.000,3,
Prospect Park-Main Entrance,2024-04-12T00:00:00.000,3,
Eastern Parkway Mall Zone 4,2024-04-12T00:00:00.000,3,
Marine Park Zone 7 Gerritsen Ballfields,2024-08-27T00:00:00.000,3,
DiMattina Playground,2024-04-12T00:00:00.000,3,
Dreier-Offerman Park-Calvert Vaux Park Zone 2,2024-04-12T00:00:00.000,1,
Homecrest Playground,2024-04-12T00:00:00.000,3,
Mount Prospect Park,2024-04-12T00:00:00.000,3,
Prospect Park-Prospect Lake Near Duck Island,2024-04-12T00:00:00.000,3,
Leon S Kaiser Park-Kaiser Park Zone 2,2024-08-27T00:00:00.000,3,
