dbn,location_name
07X223,The Laboratory School of Finance and Technology: X223
19K065,P.S. 065
09X303,I.S. X303 Leadership & Community Service
14K449,"Brooklyn Latin School, The"
15K058,P.S. 058 The Carroll
02M896,Lower Manhattan Community Middle School
15K321,P.S. 321 William Penn
01M188,P.S. 188 The Island School
19K158,P.S. 158 Warwick
02M289,I.S. 289
02M059,P.S. 059 Beekman Hill International
20K748,P.S. 748 Brooklyn School for Global Scholars
10X374,Knowledge and Power Preparatory Academy International High School (Kappa)
03M247,M.S. M247 Dual Language Middle School
21K728,Liberation Diploma Plus
10X244,The New School for Leadership and Journalism
17K122,Pathways in Technology Early College High School (P-Tech)
19K639,Brooklyn Lab School
04M037,River East Elementary
12X458,Samara Community School
19K618,Academy of Innovative Technology
12X248,"Metropolitan High School, The"
06M324,M.S. 324 - Patria Mirabal
22K236,P.S. 236 Mill Basin
09X250,Eximius College Preparatory Academy: A College Board School
02M290,P.S. 290 Manhattan New School
07X029,P.S./M.S. 029 Melrose School
04M072,The Lexington Academy
02M531,Repertory Company High School for Theatre Arts
15K447,The Math & Science Exploratory School
21K468,Kingsborough Early College School
14K577,Conselyea Preparatory School
20K506,P.S. 506: The School of Journalism & Technology
02M303,"Facing History School, The"
21K096,I.S. 096 Seth Low
20K682,The Academy of Talented Scholars
08X448,Soundview Academy for Culture and Scholarship
05M514,New Design Middle School
21K098,I.S. 98 Bay Academy
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions"
17K241,P.S. 241 Emma L. Johnston
15K029,P.S. 029 John M. Harrigan
02M126,P.S. 126 Jacob August Riis
14K319,P.S. 319
02M131,M.S. 131
12X388,Pan American International High School at Monroe
14K558,Williamsburg High School for Architecture and Design
20K112,P.S. 112 Lefferts Park
08X100,P.S. 100 Isaac Clason
22K134,P.S. K134
20K686,Brooklyn School of Inquiry
17K249,P.S. 249 The Caton
15K118,The Maurice Sendak Community School
05M692,"High School for Mathematics, Science and Engineering at City College"
02M527,P.S. 527 - East Side School for Social Action
03M452,P.S. 452
10X315,P.S. 315 Lab School
14K586,Lyons Community School
17K537,High School for Youth and Community Development at Erasmus
07X343,Academy of Applied Mathematics and Technology
09X593,South Bronx International Middle School
13K483,The Urban Assembly School for Law and Justice
17K354,The School of Integrated Learning
16K035,M.S. 035 Stephen Decatur
06M462,The College Academy
21K199,P.S. 199 Frederick Wachtel
02M412,N.Y.C. Lab School for Collaborative Studies
08X337,The School for Inquiry and Social Justice
09X170,P.S. 170
18K211,I.S. 211 John Wilson
10X007,Milton Fein School
15K230,P.S. 230 Doris L. Cohen
02M114,East Side Middle School
13K595,Bedford Academy High School
16K898,The Brooklyn Green School
02M507,Urban Assembly Gateway School for Technology
02M006,P.S. 006 Lillie D. Blake
04M112,P.S. 112 Jose Celso Barbosa
14K488,Brooklyn Preparatory High School
06M178,Professor Juan Bosch Public School
19K557,Brooklyn Gardens Elementary School
02M392,Manhattan Business Academy
15K172,P.S. 172 Beacon School of Excellence
15K039,P.S. 039 Henry Bristow
01M378,School for Global Leaders
19K108,P.S. 108 Sal Abbracciamento
18K576,Victory Collegiate High School
02M047,47 The American Sign Language and English Secondary School
17K138,P.S. 138 Brooklyn
13K439,Brooklyn International High School
06M319,M.S. 319 - Maria Teresa
10X081,P.S. 081 Robert J. Christen
11X041,P.S. 041 Gun Hill Road
02M542,Manhattan Bridges High School
20K247,P.S. 247 Brooklyn
03M334,The Anderson School
07X359,Concourse Village Elementary School
01M134,P.S. 134 Henrietta Szold
22K195,P.S. 195 Manhattan Beach
02M655,Life Sciences Secondary School
15K462,John Jay School for Law
16K005,P.S. 005 Dr. Ronald McNair
21K253,P.S. 253
02M575,Manhattan Comprehensive Night and Day High School
02M042,P.S. 042 Benjamin Altman
02M011,P.S. 011 William T. Harris
02M427,Manhattan Academy For Arts & Language
11X529,One World Middle School at Edenwald
02M130,P.S. 130 Hernando De Soto
10X056,P.S. 056 Norwood Heights
18K578,Brooklyn Bridge Academy
16K627,Brighter Choice Community School
05M286,Urban Assembly Academy for Future Leaders
20K160,P.S. 160 William T. Sampson
07X427,Community School for Social Justice
06M463,High School for Media and Communications
21K095,P.S. 095 The Gravesend
15K146,"The Brooklyn New School, P.S. 146"
10X209,P.S. 209
02M933,City Knoll Middle School
11X287,North Bronx School of Empowerment
02M570,Satellite Academy High School
20K259,J.H.S. 259 William McKinley
02M051,P.S. 051 Elias Howe
15K592,Khalil Gibran International Academy
10X696,High School of American Studies at Lehman College
09X260,Bronx Center for Science and Mathematics
02M255,M.S. 255 Salk School of Science
18K633,High School for Medical Professions
13K351,The Urban Assembly Unison School
20K170,Ralph A. Fabrizio School
02M343,The Peck Slip School
15K896,The School of Creativity and Innovation
15K448,Brooklyn Collaborative Studies
02M294,Essex Street Academy
17K543,"Science, Technology and Research Early College High School at Erasmus"
09X594,M.S. 594
14K147,P.S. 147 Isaac Remsen
03M421,West Prep Academy
08X432,Bronx Bridges High School
02M212,P.S. 212 Midtown West
20K187,The Christa McAuliffe School\I.S. 187
02M407,Institute for Collaborative Education
15K698,South Brooklyn Community High School
03M084,P.S. 084 Lillian Weber
10X447,Creston Academy
10X477,Marble Hill High School for International Studies
02M439,Manhattan Village Academy
04M555,Central Park East High School
07X221,South Bronx Preparatory: A College Board School
20K185,P.S. 185 Walter Kassenbrock
20K127,P.S. 127 Mckinley Park
19K654,Van Siclen Community Middle School
17K568,Brownsville Academy High School
10X086,P.S. 086 Kingsbridge Heights
15K295,P.S. 295
20K204,P.S. 204 Vince Lombardi
09X204,P.S. 204 Morris Heights
16K308,P.S. 308 Clara Cardwell
02M312,New York City Lab Middle School for Collaborative Studies
10X032,P.S. 032 Belmont
06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership
18K563,It Takes a Village Academy
03M009,P.S. 009 Sarah Anderson
17K006,Norma Adams Clemons Academy
07X495,University Heights Secondary School
15K131,P.S. 131 Brooklyn
02M116,P.S. 116 Mary Lindley Murray
09X215,Kappa
08X071,P.S. 071 Rose E. Scala
08X069,P.S. 069 Journey Prep School
14K196,P.S. 196 Ten Eyck
19K907,Legacy School of the Arts
02M151,Yorkville Community School
