nta,vacatecode,bldg_id,borough,vacateagency
Washington Heights (South),BDV,6208,Manhattan,DOB
Parkchester,BDV,104814,Bronx,DOB
Richmond Hill,BDV,523695,Queens,DOB
Mott Haven-Port Morris,BDV,63262,Bronx,DOB
East Flatbush-Remsen Village,CEV,283361,Brooklyn,HPD
Canarsie,CEV,279270,Brooklyn,HPD
Mott Haven-Port Morris,FDV,62468,Bronx,FDNY
Williamsbridge-Olinville,CEV,69262,Bronx,HPD
Westchester Square,CEV,80789,Bronx,HPD
Bay Ridge,BDV,171001,Brooklyn,DOB
South Jamaica,CEV,689012,Queens,HPD
Mount Eden-Claremont (West),BDV,57841,Bronx,DOB
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,CEV,634213,Queens,HPD
Crotona Park East,CEV,53671,Bronx,HPD
Cypress Hills,BDV,385420,Brooklyn,DOB
Hunts Point,BDV,77378,Bronx,DOB
Marine Park-Mill Basin-Bergen Beach,BDV,207925,Brooklyn,DOB
St. Albans,BDV,532894,Queens,DOB
Concourse-Concourse Village,BDV,112773,Bronx,DOB
University Heights (South)-Morris Heights,BDV,81497,Bronx,DOB
Richmond Hill,BDV,667233,Queens,DOB
East Flatbush-Erasmus,BDV,363638,Brooklyn,DOB
Soundview-Bruckner-Bronx River,CEV,80518,Bronx,HPD
Castle Hill-Unionport,BDV,80640,Bronx,DOB
Allerton,CEV,119581,Bronx,HPD
Concourse-Concourse Village,BDV,81668,Bronx,DOB
Flatlands,BDV,257050,Brooklyn,DOB
Hunts Point,CEV,110415,Bronx,HPD
East New York-City Line,CEV,326015,Brooklyn,HPD
University Heights (South)-Morris Heights,BDV,55880,Bronx,DOB
Belmont,BDV,46211,Bronx,DOB
Throgs Neck-Schuylerville,BDV,83569,Bronx,DOB
East New York-New Lots,BDV,869773,Brooklyn,DOB
Harlem (South),CEV,805867,Manhattan,HPD
Marine Park-Mill Basin-Bergen Beach,CEV,274012,Brooklyn,HPD
Flatbush (West)-Ditmas Park-Parkville,CEV,247803,Brooklyn,HPD
Rosedale,BDV,703388,Queens,DOB
Woodside,BDV,424853,Queens,DOB
Park Slope,BDV,232683,Brooklyn,DOB
Soundview-Bruckner-Bronx River,CEV,79544,Bronx,HPD
Mount Hope,BDV,65814,Bronx,DOB
Soundview-Clason Point,BDV,110890,Bronx,DOB
Hell's Kitchen,CEV,33955,Manhattan,HPD
University Heights (North)-Fordham,BDV,51234,Bronx,DOB
Baisley Park,BDV,698301,Queens,DOB
Astoria (East)-Woodside (North),BDV,450828,Queens,DOB
Mapleton-Midwood (West),CEV,144511,Brooklyn,HPD
Crotona Park East,CEV,53663,Bronx,HPD
Mount Eden-Claremont (West),BDV,819302,Bronx,DOB
Crotona Park East,CEV,53671,Bronx,HPD
East New York-New Lots,BDV,338032,Brooklyn,DOB
Highbridge,BDV,103521,Bronx,DOB
Bedford-Stuyvesant (East),BDV,299548,Brooklyn,DOB
Bushwick (East),CEV,215900,Brooklyn,HPD
Queensboro Hill,CEV,995706,Queens,HPD
Bedford Park,BDV,46670,Bronx,DOB
Concourse-Concourse Village,BDV,112773,Bronx,DOB
Queens Village,BDV,599490,Queens,DOB
Crown Heights (North),CEV,351605,Brooklyn,HPD
Morrisania,BDV,88692,Bronx,DOB
Throgs Neck-Schuylerville,CEV,875513,Bronx,HPD
South Jamaica,CEV,572792,Queens,HPD
Springfield Gardens (South)-Brookville,BDV,578324,Queens,DOB
Baisley Park,BDV,698301,Queens,DOB
Soundview-Bruckner-Bronx River,CEV,79544,Bronx,HPD
Mount Eden-Claremont (West),BDV,57841,Bronx,DOB
Mount Hope,BDV,107754,Bronx,DOB
Coney Island-Sea Gate,BDV,394439,Brooklyn,DOB
South Jamaica,CEV,515053,Queens,HPD
Far Rockaway-Bayswater,BDV,651264,Queens,DOB
Soundview-Bruckner-Bronx River,CEV,79544,Bronx,HPD
Bedford Park,CEV,51257,Bronx,HPD
Belmont,BDV,46211,Bronx,DOB
Throgs Neck-Schuylerville,CEV,999420,Bronx,HPD
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,CEV,634213,Queens,HPD
Morrisania,BDV,64261,Bronx,DOB
East Flatbush-Erasmus,CEV,387271,Brooklyn,HPD
Mount Hope,CEV,806561,Bronx,HPD
Tremont,BDV,66108,Bronx,DOB
Springfield Gardens (North)-Rochdale Village,CEV,575829,Queens,HPD
Jamaica Hills-Briarwood,CEV,485333,Queens,HPD
Highbridge,BDV,103521,Bronx,DOB
Soundview-Bruckner-Bronx River,CEV,76051,Bronx,HPD
Kingsbridge Heights-Van Cortlandt Village,BDV,116696,Bronx,DOB
Richmond Hill,BDV,530574,Queens,DOB
East New York-City Line,CEV,290539,Brooklyn,HPD
Kingsbridge Heights-Van Cortlandt Village,BDV,116696,Bronx,DOB
Marine Park-Mill Basin-Bergen Beach,BDV,207925,Brooklyn,DOB
Rosedale,CEV,551335,Queens,HPD
Maspeth,BDV,448303,Queens,DOB
Williamsbridge-Olinville,CEV,69262,Bronx,HPD
Harlem (South),CEV,805867,Manhattan,HPD
Rosedale,BDV,619115,Queens,DOB
Crotona Park East,BDV,53651,Bronx,DOB
Crotona Park East,BDV,53655,Bronx,DOB
Baisley Park,CEV,674425,Queens,HPD
Harlem (South),CEV,805867,Manhattan,HPD
Woodside,BDV,424853,Queens,DOB
Concourse-Concourse Village,BDV,832364,Bronx,DOB
Coney Island-Sea Gate,BDV,342119,Brooklyn,DOB
Belmont,BDV,46211,Bronx,DOB
Rosedale,CEV,549307,Queens,HPD
Castle Hill-Unionport,CEV,118342,Bronx,HPD
South Jamaica,BDV,571877,Queens,DOB
Elmhurst,BDV,481184,Queens,DOB
Kingsbridge Heights-Van Cortlandt Village,BDV,89802,Bronx,DOB
Woodhaven,BDV,655641,Queens,DOB
Soundview-Bruckner-Bronx River,BDV,79504,Bronx,DOB
Wakefield-Woodlawn,CEV,94700,Bronx,HPD
Midwood,BDV,347221,Brooklyn,DOB
Castle Hill-Unionport,CEV,118342,Bronx,HPD
Middle Village,BDV,481709,Queens,DOB
Melrose,BDV,64426,Bronx,DOB
Bedford Park,CEV,51257,Bronx,HPD
Far Rockaway-Bayswater,BDV,680756,Queens,DOB
Brownsville,CEV,837769,Brooklyn,HPD
Soundview-Clason Point,BDV,83265,Bronx,DOB
Throgs Neck-Schuylerville,CEV,96470,Bronx,HPD
South Jamaica,BDV,986873,Queens,DOB
Mott Haven-Port Morris,FDV,62468,Bronx,FDNY
Castle Hill-Unionport,CEV,122885,Bronx,HPD
Crotona Park East,CEV,53671,Bronx,HPD
East New York-New Lots,CEV,310604,Brooklyn,HPD
Queens Village,CEV,597987,Queens,HPD
Soundview-Bruckner-Bronx River,CEV,76051,Bronx,HPD
Bedford-Stuyvesant (West),CEV,381511,Brooklyn,HPD
East Flatbush-Rugby,CEV,371478,Brooklyn,HPD
Madison,CEV,251601,Brooklyn,HPD
Ridgewood,CEV,465247,Queens,HPD
Williamsbridge-Olinville,BDV,52437,Bronx,DOB
Concourse-Concourse Village,CEV,112773,Bronx,HPD
Bensonhurst,CEV,170113,Brooklyn,HPD
Kingsbridge Heights-Van Cortlandt Village,BDV,116696,Bronx,DOB
Rosedale,BDV,703388,Queens,DOB
Crotona Park East,CEV,53671,Bronx,HPD
Pelham Gardens,BDV,84659,Bronx,DOB
St. Albans,BDV,532894,Queens,DOB
Bushwick (West),BDV,321173,Brooklyn,DOB
Bedford Park,BDV,46670,Bronx,DOB
Concourse-Concourse Village,BDV,112778,Bronx,DOB
Soundview-Clason Point,CEV,108944,Bronx,HPD
Melrose,CEV,55765,Bronx,HPD
Brownsville,CEV,837769,Brooklyn,HPD
Ridgewood,CEV,465247,Queens,HPD
Crotona Park East,BDV,53655,Bronx,DOB
Tompkinsville-Stapleton-Clifton-Fox Hills,BDV,713751,Staten Island,DOB
Baisley Park,BDV,676156,Queens,DOB
Ridgewood,CEV,686155,Queens,HPD
Co-op City,BDV,993889,Bronx,DOB
Queens Village,CEV,607659,Queens,HPD
Williamsbridge-Olinville,BDV,69075,Bronx,DOB
Flushing-Willets Point,BDV,657069,Queens,DOB
South Jamaica,BDV,571877,Queens,DOB
Midwood,BDV,347221,Brooklyn,DOB
Marine Park-Mill Basin-Bergen Beach,BDV,207925,Brooklyn,DOB
Springfield Gardens (South)-Brookville,CEV,579374,Queens,HPD
Pelham Gardens,CEV,86984,Bronx,HPD
Concourse-Concourse Village,BDV,112773,Bronx,DOB
Morris Park,BDV,103789,Bronx,DOB
Rosedale,BDV,619115,Queens,DOB
Highbridge,BDV,103521,Bronx,DOB
Eastchester-Edenwald-Baychester,BDV,71899,Bronx,DOB
Woodside,CEV,448577,Queens,HPD
Chinatown-Two Bridges,BDV,25073,Manhattan,DOB
Coney Island-Sea Gate,BDV,342119,Brooklyn,DOB
East Flatbush-Rugby,CEV,269980,Brooklyn,HPD
Port Richmond,CEV,776643,Staten Island,HPD
Mapleton-Midwood (West),CEV,144511,Brooklyn,HPD
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,CEV,634213,Queens,HPD
Queens Village,CEV,597987,Queens,HPD
Williamsbridge-Olinville,CEV,100333,Bronx,HPD
Queens Village,CEV,599464,Queens,HPD
Morris Park,BDV,103789,Bronx,DOB
Concourse-Concourse Village,BDV,81668,Bronx,DOB
Far Rockaway-Bayswater,BDV,680756,Queens,DOB
South Jamaica,BDV,571877,Queens,DOB
Pelham Gardens,BDV,53975,Bronx,DOB
Elmhurst,BDV,651903,Queens,DOB
Longwood,CEV,93725,Bronx,HPD
Far Rockaway-Bayswater,CEV,683208,Queens,HPD
Eastchester-Edenwald-Baychester,BDV,109301,Bronx,DOB
Sunset Park (Central),BDV,132331,Brooklyn,DOB
Queens Village,CEV,607659,Queens,HPD
South Ozone Park,CEV,702067,Queens,HPD
