community_board,vacatenumber,lot,longitude,block,housenumber
12.0,1047/23,26,-73.933907,2132,255
9.0,1468/21,22,-73.853399,3948,1538
9.0,1233/22,10,-73.835458,9317,91-46
1.0,0801/23,16,-73.916853,2268,528
17.0,1213/22,60,-73.926692,4597,69
18.0,1272/24,49,-73.912693,7989,614
1.0,1343/23,98,-73.93065,2319,220
12.0,0581/22,76,-73.860864,4668,736
10.0,0351/23,17,-73.849869,3972,2354
10.0,0548/23,59,-74.023598,5919,447
12.0,0486/22,86,-73.782324,10243,174-23
4.0,0955/23,25,-73.911117,2783,1356
14.0,1302/22,19,-73.835089,16187,175
3.0,0456/22,10,-73.887667,3000,1474
5.0,0481/23,36,-73.891956,3932,52
2.0,0484/23,134,-73.886117,2766,636
18.0,1605/21,68,-73.914472,8343,1162
12.0,0035/22,35,-73.75877,12607,191-15
4.0,0654/23,12,-73.910796,2431,1256
5.0,1182/22,60,-73.907936,3206,2119
9.0,1752/22,33,-73.843365,9187,102-55
17.0,0064/23,46,-73.951274,5213,1242
9.0,1237/22,2,-73.868057,3761,1755
9.0,1747/22,14,-73.856675,3802,2012
11.0,0015/22,4,-73.870239,4424,611
4.0,0519/23,23,-73.916785,2464,1235
18.0,0355/23,65,-73.946109,7594,950
2.0,0320/22,107,-73.888073,2763,1261
5.0,0145/23,26,-73.867137,4237,568
5.0,1413/21,6,-73.920151,2881,1812
6.0,1156/22,68,-73.88883,3065,2329
10.0,0502/24,14,-73.835144,5373,2810
5.0,0137/23,31,-73.898072,3834,542
10.0,0080/22,53,-73.9543,1831,244
18.0,1034/23,42,-73.911313,8646,2624
14.0,0458/22,45,-73.96331,5079,27
13.0,0212/23,10,-73.733994,13659,149-52
2.0,0297/22,45,-73.897334,1222,68-02
6.0,1104/22,73,-73.980993,946,663
9.0,1383/21,102,-73.871291,3748,1154
5.0,0553/23,44,-73.904373,2802,265
9.0,0585/23,38,-73.864088,3556,653
4.0,0751/23,50,-73.98695,1042,346
7.0,1683/23,173,-73.893351,3293,2596
12.0,1831/22,29,-73.792935,11980,114-54
1.0,1746/21,7,-73.902304,1161,32-49
12.0,1872/22,6,-73.982396,5514,5909
3.0,1637/23,4,-73.887845,3000,1460
4.0,1087/22,35,-73.910307,2784,311
3.0,0456/22,10,-73.887667,3000,1474
5.0,1778/23,12,-73.889561,4073,587
4.0,1701/21,36,-73.924408,2522,1319
3.0,0726/22,48,-73.933368,1630,829
4.0,0011/23,30,-73.906923,3461,1488
7.0,1165/23,27,-73.797279,6880,60-10
7.0,1203/22,38,-73.891099,3287,2702
4.0,0654/23,12,-73.910796,2431,1256
13.0,1550/23,24,-73.752241,10551,93-05
8.0,1658/23,57,-73.925958,1368,1557
3.0,1410/23,65,-73.898781,2935,665
10.0,1380/21,32,-73.837398,5348,2700
12.0,0029/24,21,-73.789829,10221,103-16
13.0,0713/23,6,-73.774685,13275,144-27
12.0,1831/22,29,-73.792935,11980,114-54
9.0,1383/21,102,-73.871291,3748,1154
4.0,0955/23,25,-73.911117,2783,1356
5.0,0884/23,75,-73.900789,3149,2084
13.0,0962/23,27,-73.985014,7020,2846
12.0,1502/23,39,-73.787637,10224,170-03
14.0,0962/22,19,-73.766868,15741,31-02
9.0,1383/21,102,-73.871291,3748,1154
7.0,1874/23,74,-73.892238,3300,2665
6.0,1156/22,68,-73.88883,3065,2329
10.0,1390/22,122,-73.823604,5582,350
14.0,1302/22,19,-73.835089,16187,175
3.0,1304/21,33,-73.915344,2406,371
17.0,1142/22,17,-73.952746,5128,110
5.0,1810/24,14,-73.909849,2852,16
6.0,0802/23,104,-73.892054,3069,611
12.0,0751/24,44,-73.769344,12577,137-15
8.0,1159/22,40,-73.819088,9670,138-47
4.0,1701/21,36,-73.924408,2522,1319
9.0,1521/22,35,-73.87992,3862,1321
8.0,1695/22,25,-73.900013,3248,2730
9.0,0156/23,19,-73.833115,9305,87-34
5.0,1697/22,17,-73.870755,4281,659
8.0,1695/22,25,-73.900013,3248,2730
18.0,1605/21,68,-73.914472,8343,1162
13.0,0391/24,22,-73.738169,13561,241-07
5.0,0911/22,18,-73.905935,2728,60-20
12.0,0581/22,76,-73.860864,4668,736
10.0,0080/22,53,-73.9543,1831,244
13.0,0244/23,29,-73.736232,13255,138-14
3.0,0694/23,23,-73.888258,2999,1448
3.0,0316/22,24,-73.888203,2999,1452
12.0,1112/23,21,-73.794561,11966,148-25
10.0,0080/22,53,-73.9543,1831,244
2.0,0297/22,45,-73.897334,1222,68-02
4.0,1762/21,124,-73.91377,2439,1228
13.0,1578/21,8,-74.001321,7005,3508
6.0,1156/22,68,-73.88883,3065,2329
13.0,1711/23,28,-73.734284,13239,242-08
9.0,1288/22,56,-73.861334,3768,1267
12.0,0061/22,21,-73.786418,10183,109-18
4.0,0518/23,40,-73.886135,1524,42-68
8.0,1393/23,45,-73.903401,3253,2748
9.0,0044/24,325,-73.862339,8851,84-14
9.0,0059/23,71,-73.871158,3747,1111
12.0,0197/23,11,-73.852971,5082,4616
14.0,0541/22,19,-73.956626,7584,1439
9.0,1288/22,56,-73.861334,3768,1267
5.0,0157/24,21,-73.874347,3068,66-82
1.0,1326/23,51,-73.905783,2637,708
7.0,1874/23,74,-73.892238,3300,2665
14.0,1282/21,86,-73.758089,15714,22-79
16.0,0137/22,101,-73.914882,3538,131
9.0,1461/23,56,-73.858458,3452,1115
10.0,1528/24,8,-73.818283,5590,2868
12.0,1411/22,60,-73.787091,10226,170-17
1.0,1343/23,98,-73.93065,2319,220
9.0,1378/21,24,-73.860282,3733,1064
3.0,0456/22,10,-73.887667,3000,1474
5.0,0166/22,33,-73.886478,4305,752
13.0,1282/22,152,-73.747425,10967,111-18
9.0,1521/22,35,-73.87992,3862,1321
3.0,0899/23,9,-73.946034,1768,153
17.0,0895/23,38,-73.937688,4896,4211
15.0,0768/23,15,-73.949674,6786,1622
5.0,1640/21,31,-73.895701,3536,60-91
12.0,1011/23,55,-73.861265,4634,3338
4.0,0296/23,12,-73.910796,2431,1256
11.0,0307/22,18,-73.987333,6208,2144
8.0,1695/22,25,-73.900013,3248,2730
13.0,0212/23,10,-73.733994,13659,149-52
3.0,0456/22,10,-73.887667,3000,1474
11.0,1382/22,50,-73.853824,4522,2719
12.0,0035/22,35,-73.75877,12607,191-15
4.0,0416/24,33,-73.927052,3165,190
