streetname,month,boro_id,postcode,bbl
WHITE PLAINS ROAD,12,2,10472.0,2037330024.0
BRYANT AVENUE,6,2,10460.0,2030000010.0
HENDRIX STREET,11,3,11207.0,3043050033.0
209 STREET,10,4,11429.0,4109670152.0
ELDER AVENUE,11,2,10472.0,2038620035.0
TOMPKINS AVENUE,8,3,11206.0,3017680009.0
SNYDER AVENUE,8,3,11203.0,3048960038.0
EAST 24 STREET,3,3,11229.0,3067860015.0
70 AVENUE,1,4,11385.0,4035360031.0
BRONXWOOD AVENUE,1,2,10469.0,2046340055.0
TELLER AVENUE,6,2,10456.0,2024310012.0
73 STREET,3,3,11204.0,3062080018.0
UNIVERSITY AVENUE,1,2,10468.0,2032480025.0
WELLER LANE,5,4,11422.0,4136590010.0
BRYANT AVENUE,6,2,10460.0,2030000010.0
HERING AVENUE,8,2,10469.0,2045220050.0
119 AVENUE,6,4,11412.0,4126070035.0
KNICKERBOCKER AVENUE,3,3,11237.0,3031650033.0
BAINBRIDGE AVENUE,9,2,10458.0,2032870038.0
TELLER AVENUE,11,2,10456.0,2024360087.0
SEWARD AVENUE,8,2,10473.0,2035960023.0
CAULDWELL AVENUE,2,2,10455.0,2026230049.0
BLAKE AVENUE,1,3,11212.0,3035380101.0
70 AVENUE,10,4,11385.0,4035360031.0
BRYANT AVENUE,9,2,10459.0,2029990024.0
BAY STREET,7,5,10304.0,5005210020.0
LONG STREET,1,4,11434.0,4122510039.0
ONDERDONK AVENUE,4,4,11385.0,4034680001.0
ROMBOUTS AVENUE,4,2,10475.0,2052450041.0
220 STREET,2,4,11429.0,4111860007.0
EAST 220 STREET,6,2,10467.0,2046780063.0
FRANKLIN AVENUE,11,4,11355.0,4051230051.0
167 STREET,9,4,11433.0,4101830021.0
OCEAN AVENUE,7,3,11230.0,3075840019.0
BERGEN AVENUE,2,3,11234.0,3083430068.0
177 STREET,11,4,11434.0,4133060145.0
HONE AVENUE,10,2,10469.0,2045560025.0
TELLER AVENUE,6,2,10456.0,2024310012.0
POPLAR STREET,11,2,10461.0,2040700121.0
241 STREET,5,4,11422.0,4132550029.0
PLIMPTON AVENUE,5,2,10452.0,2025220036.0
EAST 233 STREET,8,2,10466.0,2049770060.0
59 PLACE,1,4,11377.0,4023290027.0
MADISON STREET,4,1,10002.0,1002750001.0
NEPTUNE AVENUE,6,3,11224.0,3070050008.0
EAST 54 STREET,7,3,11203.0,3046070019.0
RICHMOND TERRACE,3,5,10302.0,5010750025.0
20 AVENUE,9,3,11204.0,3055140006.0
BEACH 114 STREET,12,4,11694.0,4161870019.0
209 STREET,6,4,11429.0,4109670152.0
OLINVILLE AVENUE,3,2,10467.0,2045440034.0
210 STREET,5,4,11428.0,4105590053.0
POPLAR STREET,10,2,10461.0,2040700121.0
GRAND CONCOURSE,6,2,10452.0,2024640023.0
MOTT AVENUE,9,4,11691.0,4157140086.0
167 STREET,5,4,11433.0,4101830021.0
BURKE AVENUE,11,2,10469.0,2045770027.0
ELBERTSON STREET,5,4,11373.0,4015540011.0
MACY PLACE,5,2,10455.0,2026880082.0
NEW HAVEN AVENUE,5,4,11691.0,4155740091.0
SEYMOUR AVENUE,2,2,10469.0,2047370060.0
6 AVENUE,4,3,11220.0,3008400043.0
220 STREET,3,4,11429.0,4111860007.0
VAN WYCK EXPRESSWAY SR WEST,4,4,11419.0,4095950011.0
205 STREET,10,4,11412.0,4110450122.0
FARMERS BOULEVARD,5,4,11434.0,4125930109.0
BEACH 67 STREET,5,4,11692.0,4160280050.0
SPOFFORD AVENUE,8,2,10474.0,2027630107.0
WEST 116 STREET,12,1,10026.0,1018310053.0
PARK PLACE,5,3,11213.0,3013680057.0
125 STREET,11,4,11420.0,4116520042.0
ARLINGTON AVENUE,6,3,11208.0,3039250056.0
79 STREET,3,4,11379.0,4030680021.0
EAST 176 STREET,11,2,10457.0,2028020044.0
JEFFERSON PLACE,11,2,10456.0,2029350065.0
ARLINGTON AVENUE,8,3,11208.0,3039250056.0
EAST 53 STREET,5,3,11203.0,3047240022.0
34 STREET,4,4,11106.0,4006230047.0
EAST 159 STREET,4,2,10451.0,2024060033.0
EAST 142 STREET,4,2,10454.0,2022680016.0
