year,vacatereason,latitude,bin,census_tract,council_district
2023,ILLEGAL DWELLING UNITS,40.846569,1063184.0,261.0,10.0
2023,ILLEGAL DWELLING UNITS,40.837256,2041238.0,222.0,18.0
2023,ILLEGAL DWELLING UNITS,40.693352,4195530.0,12601.0,29.0
2024,ILLEGAL DWELLING UNITS,40.810094,2000097.0,41.0,8.0
2022,ILLEGAL DWELLING UNITS,40.663344,3099476.0,884.0,41.0
2024,ILLEGAL DWELLING UNITS,40.640613,3223909.0,958.0,46.0
2023,STRUCTURAL,40.809255,2000783.0,51.0,8.0
2022,ILLEGAL DWELLING UNITS,40.884606,2058148.0,396.0,12.0
2024,ILLEGAL DWELLING UNITS,40.838217,2041668.0,202.0,18.0
2024,STRUCTURAL,40.630949,3147904.0,134.0,47.0
2022,ILLEGAL DWELLING UNITS,40.70152,4218292.0,440.0,27.0
2023,ILLEGAL DWELLING UNITS,40.836596,2007191.0,17702.0,16.0
2023,ESSENTIAL SERVICES,40.579717,4303918.0,938.0,32.0
2024,ESSENTIAL SERVICES,40.832175,2010847.0,157.0,17.0
2023,STRUCTURAL,40.679086,3087453.0,1146.0,37.0
2023,ILLEGAL DWELLING UNITS,40.81315,2006724.0,9301.0,17.0
2022,ILLEGAL DWELLING UNITS,40.628019,3235306.0,69601.0,46.0
2022,ILLEGAL DWELLING UNITS,40.689325,4537439.0,394.0,27.0
2024,ILLEGAL DWELLING UNITS,40.833645,2002168.0,17701.0,16.0
2022,ILLEGAL DWELLING UNITS,40.855617,2014479.0,251.0,14.0
2023,ILLEGAL DWELLING UNITS,40.695197,4191667.0,26.0,29.0
2024,ILLEGAL DWELLING UNITS,40.639412,3120414.0,79002.0,45.0
2022,ILLEGAL DWELLING UNITS,40.829657,2024604.0,68.0,18.0
2023,ILLEGAL DWELLING UNITS,40.831161,2026193.0,78.0,18.0
2023,ILLEGAL DWELLING UNITS,40.861407,2051211.0,33202.0,15.0
2023,ILLEGAL DWELLING UNITS,40.835466,2002849.0,197.0,16.0
2025,ILLEGAL DWELLING UNITS,40.628063,3207078.0,742.0,45.0
2024,ESSENTIAL SERVICES,40.814272,2006512.0,9301.0,17.0
2023,ESSENTIAL SERVICES,40.675365,3095200.0,1200.0,42.0
2022,ILLEGAL DWELLING UNITS,40.852722,2009228.0,20502.0,16.0
2022,ILLEGAL DWELLING UNITS,40.854101,2011904.0,391.0,15.0
2024,ILLEGAL DWELLING UNITS,40.838911,2074109.0,264.0,13.0
2023,ILLEGAL DWELLING UNITS,40.661637,3390474.0,1132.0,42.0
2024,STRUCTURAL,40.803959,1081573.0,218.0,9.0
2024,ILLEGAL DWELLING UNITS,40.608723,3243870.0,70201.0,46.0
2024,ILLEGAL DWELLING UNITS,40.65073,3116526.0,506.0,40.0
2023,ILLEGAL DWELLING UNITS,40.651293,4290216.0,66403.0,31.0
2023,ILLEGAL DWELLING UNITS,40.747589,4535446.0,263.0,26.0
