geometry,planteddate,:@computed_region_f5dn_yrer
POINT(-74.11996406388805 40.57309992746998),,30
POINT(-73.9752479978842 40.64166006744013),,2
POINT(-73.94404777028993 40.67829561612317),,69
POINT(-73.98032166282525 40.7429106380851),,71
POINT(-74.06681410407738 40.61365668996171),,4
POINT(-73.95051109632495 40.660431316968975),,17
POINT(-74.03471787274619 40.632370904342075),,10
POINT(-74.07629802729952 40.623901621230836),,4
POINT(-74.13092057296318 40.60129871063995),,30
POINT(-73.95639807708068 40.67404320380083),,16
POINT(-74.1002335702762 40.630350952344706),,4
POINT(-74.07683133409667 40.62374354517519),,4
POINT(-73.95430481549575 40.7687376084433),2016-05-17 04:00:00.0000000,23
POINT(-73.77856467569248 40.74961118217812),,26
POINT(-73.72637966552335 40.725722061420996),,63
POINT(-74.0143881920662 40.615385213897035),,10
POINT(-74.07822025350946 40.62446858711208),,4
POINT(-73.85288448063969 40.87904517377986),,29
POINT(-74.07614303451746 40.62394851411104),,4
POINT(-73.80889631491311 40.71090872145983),,25
POINT(-74.09120948560395 40.62569075710861),,4
POINT(-74.0776064553893 40.623512948657876),,4
POINT(-74.07617643230876 40.62391853773097),,4
POINT(-73.97755665357643 40.78448682967392),,20
POINT(-73.99352652018682 40.72203588035812),,57
POINT(-73.83388653221188 40.693317148514986),,46
POINT(-73.77094831998542 40.74631214429808),,26
POINT(-74.09111517155301 40.62561107510907),,4
POINT(-74.12044745103975 40.57736936711063),,30
POINT(-74.11493980623675 40.61583991757071),,4
POINT(-74.13081967432801 40.60130273115864),,30
POINT(-74.12852099780164 40.606829471645284),,30
POINT(-74.07735750246938 40.62370630004145),,4
POINT(-74.08859623097244 40.62282207126434),,4
POINT(-73.82308784621529 40.67000141504855),,62
POINT(-74.0930905689941 40.6232673837814),,4
POINT(-74.0915308998201 40.62429480701139),,4
POINT(-74.13108845833014 40.60127740717909),,30
POINT(-74.12893296672168 40.614766168314134),,4
POINT(-73.89908058460155 40.75776476222246),,65
POINT(-73.98764098178188 40.762869801576585),,12
POINT(-74.0921798910244 40.62367365093363),,4
POINT(-74.12101506641781 40.577161343910554),,30
POINT(-74.13088024029413 40.60672684318438),,30
POINT(-73.91830243503632 40.67751182259077),,69
POINT(-74.07588581862021 40.62413771112343),,4
POINT(-73.8324418090213 40.88762504315543),,29
POINT(-74.07812194887646 40.62397068354924),,4
POINT(-73.73866981057843 40.720309316158435),,63
POINT(-73.85719248700684 40.68034959011735),,46
POINT(-74.1567308091018 40.560717508577355),,15
POINT(-73.93848036135195 40.81299277914583),,18
POINT(-74.16611957444773 40.64001367917599),,4
POINT(-74.09258013198148 40.6242463390066),,4
POINT(-73.85729207604317 40.68766839619958),,46
POINT(-73.83901206486087 40.650553920876206),,62
POINT(-74.09224144552422 40.62428543290063),,4
POINT(-73.95575237109139 40.76852650020388),,23
POINT(-73.73874539768714 40.65568886901168),,63
POINT(-73.78627975523723 40.842228958804085),,43
POINT(-74.07680329633497 40.623868459369895),,4
POINT(-73.92845842004009 40.67217588522515),,16
POINT(-74.07667458149709 40.624677680131484),,4
POINT(-73.79818019958698 40.77341682966503),,22
POINT(-73.80443500167148 40.68793926064319),,41
POINT(-73.94575552807756 40.64152275155537),,61
POINT(-73.81314807079612 40.77412573614973),,22
POINT(-74.07621479187468 40.62469264647751),,4
POINT(-73.9478911609905 40.7215155842919),,36
POINT(-73.95465453005639 40.80816289798682),,18
POINT(-74.07025174676102 40.61109963323019),,4
POINT(-74.07742514816836 40.62368618149827),,4
POINT(-74.09274431069409 40.623436462081145),,4
POINT(-73.90437212504638 40.74435840755658),,53
POINT(-74.09284741720462 40.62345260515412),,4
POINT(-74.09307181063477 40.62326462730066),,4
POINT(-74.07563766165642 40.624096838306826),,4
POINT(-74.03786851690863 40.617413035965555),,10
POINT(-74.07817480658122 40.624016853901054),,4
POINT(-74.09089199416383 40.62591265447835),,4
POINT(-73.72948022279164 40.730268309715214),,63
POINT(-74.06261051819232 40.60950169918544),,4
POINT(-73.97952347192481 40.6587302012652),,9
POINT(-74.09119716037509 40.62434808617988),,4
POINT(-74.07771833568775 40.62346566437352),,4
POINT(-73.92220496831976 40.608102950737354),,5
POINT(-74.07603700899739 40.62397922988397),,4
POINT(-73.98771383177144 40.76290197374873),,12
POINT(-73.96474481232734 40.804278981082376),,37
POINT(-74.07488554975724 40.62513555377968),,4
POINT(-74.09152257935428 40.625296554049314),,4
POINT(-73.80553447311532 40.76905209595379),,22
POINT(-74.07677553090679 40.62464842533382),,4
POINT(-73.9775976193535 40.78460931452247),,20
POINT(-74.07795851426806 40.62364688503908),,4
POINT(-73.82593109002597 40.684114236653066),,62
POINT(-74.0765687530856 40.62382055966172),,4
POINT(-74.09104621918752 40.6259074174139),,4
POINT(-74.07775987958638 40.62345485611114),,4
POINT(-73.8455160751631 40.681614444541275),,62
POINT(-73.8597984565339 40.877462155538886),,29
POINT(-73.9188914758878 40.86609935668099),,47
POINT(-73.91830243503632 40.67751182259077),,69
POINT(-73.95851761810482 40.66193926498061),,17
POINT(-74.07547979928857 40.62414280695571),,4
POINT(-74.08860582881948 40.625664521301495),,4
