geometry,planteddate,:@computed_region_f5dn_yrer
POINT(-73.7499973182585 40.687375120566976),,41
POINT(-74.07817052931681 40.624065360139056),,4
POINT(-73.74810572818855 40.60076625412003),,51
POINT(-74.11900335511538 40.57436266573021),,30
POINT(-73.94688326896427 40.83641781561749),,47
POINT(-73.94614123030276 40.83115278113185),,37
POINT(-73.76435569537516 40.677207884856706),,41
POINT(-74.07837380131224 40.624076539436174),,4
POINT(-73.81656874596392 40.716290654685075),,25
POINT(-74.07694543178398 40.62370951522004),,4
POINT(-73.93604196813637 40.82771635937383),,18
POINT(-73.85752339157239 40.8806620092064),,29
POINT(-74.07640469643069 40.62463593369038),,4
POINT(-74.07730413396833 40.623602652571186),,4
POINT(-73.9301234004764 40.69075682234576),,69
POINT(-74.07816268533401 40.62442563539474),,4
POINT(-74.07668450782478 40.62390189703546),,4
POINT(-74.06369540269353 40.61060621889969),,4
POINT(-74.07703295906435 40.62368384312262),,4
POINT(-74.08863135504222 40.62440870219972),,4
POINT(-73.74558807747808 40.724893549950345),,63
POINT(-74.00494251189618 40.64087644299727),,9
POINT(-74.06365987436638 40.61090778177847),,4
POINT(-74.07195015341186 40.6109781192889),,4
POINT(-73.93035609716861 40.61448425898373),,5
POINT(-73.86262128908143 40.866768413849634),,59
POINT(-74.07767078756208 40.62347939702169),,4
POINT(-73.74539068827976 40.72464046108341),,63
POINT(-74.0931745935655 40.6240415227036),,4
POINT(-73.95285556733025 40.798479350106135),,18
POINT(-73.85287876894496 40.67822801614558),,62
POINT(-73.85265775389628 40.87939146159326),,29
POINT(-74.09207527372206 40.62453455191458),,4
POINT(-74.08863347248588 40.624479572239316),,4
POINT(-74.07607204709305 40.62394830892736),,4
POINT(-74.07505824864913 40.60984450911647),,4
POINT(-74.15756855106804 40.54443862144906),,15
POINT(-73.85293124774128 40.87897354141146),,29
POINT(-74.03151467680948 40.629826865618675),,10
POINT(-74.00382387751313 40.73789675544771),,57
POINT(-74.07753266924617 40.62442573720155),,4
POINT(-74.09125575758118 40.62334045333577),,4
POINT(-73.94788648453375 40.72148877788772),,36
POINT(-74.12097976296101 40.57447104552291),,30
POINT(-73.83972866882603 40.86977903555747),,29
POINT(-74.07824453285853 40.624521817260764),,4
POINT(-74.07686812989651 40.62450160116818),,4
POINT(-74.13387034324204 40.598860458231755),,30
POINT(-73.98045838845547 40.638632739378934),,2
POINT(-73.94324306771684 40.61054919219276),,32
POINT(-74.09200290466534 40.62477823301535),,4
POINT(-73.94452091329741 40.779669808856454),,23
POINT(-74.07800755345163 40.62416786071988),,4
POINT(-73.9854775259179 40.71818522952839),,70
POINT(-74.07722207942915 40.62362832119954),,4
POINT(-73.9135897078403 40.77202827212506),,39
POINT(-74.07749469852463 40.62366409510228),,4
POINT(-73.9875621938607 40.727686715521195),,70
POINT(-73.96301239629126 40.59262062481731),,32
POINT(-74.01077204743451 40.725043521377096),,56
POINT(-74.09218078934276 40.62439744791152),,4
POINT(-74.13102204411233 40.60128403498094),,30
POINT(-73.9017383809553 40.69885065097627),,54
POINT(-73.94205282678769 40.67180199561143),,16
POINT(-73.73312480220066 40.72226391932646),,63
POINT(-74.07808199214999 40.6238956577934),,4
POINT(-74.20903635163978 40.519577813518666),,15
POINT(-74.01111946457456 40.609953207952344),,1
POINT(-74.07726539433347 40.62450216116115),,4
POINT(-73.99758223694114 40.725976648323545),,57
POINT(-74.13351516400837 40.61816572358147),,4
POINT(-73.94616631506354 40.83116410964076),,37
POINT(-73.93297667958915 40.68069033526909),,69
POINT(-73.85955447358243 40.87744817372137),,29
POINT(-73.95590463311132 40.8145338318925),,37
POINT(-74.07658369595809 40.623932342218005),,4
POINT(-73.92176307810891 40.736878260416916),,53
POINT(-74.0774957427307 40.60716058069654),,4
POINT(-73.96597434089155 40.795164007783804),,20
POINT(-74.07638666390298 40.62387429000657),,4
POINT(-74.07780113091562 40.62365018762147),,4
POINT(-74.00240540203508 40.73042327120439),,57
POINT(-73.99341545235835 40.664141800522316),,9
POINT(-74.14110858926308 40.6350245049403),,4
POINT(-74.09287674424463 40.62407744658287),,4
POINT(-74.13087135501982 40.60657972580521),,30
POINT(-74.07788799793016 40.62351052697131),,4
POINT(-73.72613064281603 40.73528102440398),,63
POINT(-73.79761247214171 40.77200377307355),,22
POINT(-73.79102844997146 40.724669215950875),,25
POINT(-73.94573302735405 40.68072758505007),,69
POINT(-73.98569231717438 40.73183535242499),,70
POINT(-74.07646763012191 40.624780783102864),,4
POINT(-73.73589054380587 40.73590388589216),,63
