location,tpstructure,riskratingdate
"{'type': 'Point', 'coordinates': [-74.07658369595809, 40.623932342218005]}",Full,2024-10-02 15:36:54.0000000
"{'type': 'Point', 'coordinates': [-73.79761247214171, 40.77200377307355]}",Full,2024-05-28 21:01:35.0000000
"{'type': 'Point', 'coordinates': [-73.98764098178188, 40.762869801576585]}",Retired,2020-08-04 15:29:00.0000000
"{'type': 'Point', 'coordinates': [-74.12101506641781, 40.577161343910554]}",Retired,
"{'type': 'Point', 'coordinates': [-73.95590463311132, 40.8145338318925]}",Full,2025-08-29 17:39:49.0000000
"{'type': 'Point', 'coordinates': [-74.11900335511538, 40.57436266573021]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07638666390298, 40.62387429000657]}",Full,2024-10-02 15:06:44.0000000
"{'type': 'Point', 'coordinates': [-74.0921798910244, 40.62367365093363]}",Full,2025-11-20 17:37:35.0000000
"{'type': 'Point', 'coordinates': [-74.07025174676102, 40.61109963323019]}",Full,2022-01-21 16:46:00.0000000
"{'type': 'Point', 'coordinates': [-73.92845842004009, 40.67217588522515]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07722207942915, 40.62362832119954]}",Full,2024-10-02 14:59:51.0000000
"{'type': 'Point', 'coordinates': [-74.12852099780164, 40.606829471645284]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07817052931681, 40.624065360139056]}",Full,2024-10-01 15:29:40.0000000
"{'type': 'Point', 'coordinates': [-74.09152257935428, 40.625296554049314]}",Full,2025-11-18 17:21:07.0000000
"{'type': 'Point', 'coordinates': [-73.99352652018682, 40.72203588035812]}",Retired,2022-06-13 15:33:00.0000000
"{'type': 'Point', 'coordinates': [-74.07837380131224, 40.624076539436174]}",Full,2024-10-01 15:30:49.0000000
"{'type': 'Point', 'coordinates': [-73.85719248700684, 40.68034959011735]}",Full,2025-08-07 13:56:45.0000000
"{'type': 'Point', 'coordinates': [-73.76435569537516, 40.677207884856706]}",Full,2025-02-07 14:05:26.0000000
"{'type': 'Point', 'coordinates': [-74.07767078756208, 40.62347939702169]}",Full,2024-10-02 14:48:54.0000000
"{'type': 'Point', 'coordinates': [-74.07563766165642, 40.624096838306826]}",Full,2024-10-02 15:18:17.0000000
"{'type': 'Point', 'coordinates': [-73.95430481549575, 40.7687376084433]}",Full,2025-06-12 17:15:47.0000000
"{'type': 'Point', 'coordinates': [-74.07780113091562, 40.62365018762147]}",Full,2024-10-02 22:06:33.0000000
"{'type': 'Point', 'coordinates': [-73.94575552807756, 40.64152275155537]}",Retired,
"{'type': 'Point', 'coordinates': [-73.8455160751631, 40.681614444541275]}",Retired,
"{'type': 'Point', 'coordinates': [-73.9775976193535, 40.78460931452247]}",Retired,
"{'type': 'Point', 'coordinates': [-73.77856467569248, 40.74961118217812]}",Full,2025-05-22 15:24:38.0000000
"{'type': 'Point', 'coordinates': [-74.07795851426806, 40.62364688503908]}",Full,2024-10-25 16:32:14.0000000
"{'type': 'Point', 'coordinates': [-73.9188914758878, 40.86609935668099]}",Stump,2022-12-19 17:14:00.0000000
"{'type': 'Point', 'coordinates': [-74.03786851690863, 40.617413035965555]}",Retired,
"{'type': 'Point', 'coordinates': [-73.9854775259179, 40.71818522952839]}",Full,2024-10-11 16:40:50.0000000
"{'type': 'Point', 'coordinates': [-74.07730413396833, 40.623602652571186]}",Full,2024-10-25 16:09:40.0000000
"{'type': 'Point', 'coordinates': [-73.8597984565339, 40.877462155538886]}",Full,
"{'type': 'Point', 'coordinates': [-73.74558807747808, 40.724893549950345]}",Retired,
"{'type': 'Point', 'coordinates': [-73.95051109632495, 40.660431316968975]}",Full,2023-06-15 12:25:48.0000000
"{'type': 'Point', 'coordinates': [-73.95465453005639, 40.80816289798682]}",Retired,
"{'type': 'Point', 'coordinates': [-73.89908058460155, 40.75776476222246]}",Retired,2020-08-12 19:26:26.0000000
"{'type': 'Point', 'coordinates': [-74.12044745103975, 40.57736936711063]}",Full,
"{'type': 'Point', 'coordinates': [-74.15756855106804, 40.54443862144906]}",Retired,
"{'type': 'Point', 'coordinates': [-73.92176307810891, 40.736878260416916]}",Full,
"{'type': 'Point', 'coordinates': [-73.85955447358243, 40.87744817372137]}",Retired,
"{'type': 'Point', 'coordinates': [-73.94614123030276, 40.83115278113185]}",Retired,
"{'type': 'Point', 'coordinates': [-73.97952347192481, 40.6587302012652]}",Full,
"{'type': 'Point', 'coordinates': [-74.07703295906435, 40.62368384312262]}",Full,2024-10-02 15:01:35.0000000
"{'type': 'Point', 'coordinates': [-73.94688326896427, 40.83641781561749]}",Full,2023-03-17 12:23:00.0000000
"{'type': 'Point', 'coordinates': [-74.07617643230876, 40.62391853773097]}",Full,2024-10-02 15:09:49.0000000
"{'type': 'Point', 'coordinates': [-73.96597434089155, 40.795164007783804]}",Retired,
"{'type': 'Point', 'coordinates': [-74.09120948560395, 40.62569075710861]}",Full,
"{'type': 'Point', 'coordinates': [-73.83901206486087, 40.650553920876206]}",Full,
"{'type': 'Point', 'coordinates': [-73.99758223694114, 40.725976648323545]}",Retired,
"{'type': 'Point', 'coordinates': [-73.72637966552335, 40.725722061420996]}",Retired,
"{'type': 'Point', 'coordinates': [-74.12893296672168, 40.614766168314134]}",Retired,
"{'type': 'Point', 'coordinates': [-73.95639807708068, 40.67404320380083]}",Full,2025-07-14 16:55:23.0000000
"{'type': 'Point', 'coordinates': [-74.00494251189618, 40.64087644299727]}",Full,2019-05-21 15:28:11.0000000
"{'type': 'Point', 'coordinates': [-74.09218078934276, 40.62439744791152]}",Full,2025-11-18 18:28:30.0000000
"{'type': 'Point', 'coordinates': [-73.98569231717438, 40.73183535242499]}",Retired,
"{'type': 'Point', 'coordinates': [-73.79102844997146, 40.724669215950875]}",Retired,
"{'type': 'Point', 'coordinates': [-73.83388653221188, 40.693317148514986]}",Retired,
"{'type': 'Point', 'coordinates': [-74.07680329633497, 40.623868459369895]}",Full,2024-10-02 15:39:15.0000000
"{'type': 'Point', 'coordinates': [-73.81314807079612, 40.77412573614973]}",Full,2022-08-17 16:24:03.0000000
