objectid,globalid,plantingspaceglobalid,geometry,location,genusspecies,createddate,tpcondition
91623,C0A5D089-61B5-4990-BB2D-4F8F395107D2,D8247903-EBCC-47E6-8736-48B593B1E2B9,POINT(-74.13092057296318 40.60129871063995),"{'type': 'Point', 'coordinates': [-74.13092057296318, 40.60129871063995]}",Acer saccharinum - silver maple,2015-03-06 05:00:00.0000000,Fair
89626,8A487A6B-146A-4DE4-9AEE-835492B1E348,C6526419-CD64-4D8D-9288-C7967124B9B4,POINT(-73.85287876894496 40.67822801614558),"{'type': 'Point', 'coordinates': [-73.85287876894496, 40.67822801614558]}",Abies alba - silver fir,2015-03-04 05:00:00.0000000,Fair
98826,8D81BCE7-F64D-45E0-8AD2-AA7E8855E0FC,4AA47C1B-F43E-4278-BF6E-41976955769C,POINT(-74.03471787274619 40.632370904342075),"{'type': 'Point', 'coordinates': [-74.03471787274619, 40.632370904342075]}",Platanus x acerifolia - London planetree,2015-03-12 04:00:00.0000000,Good
92424,911153D0-F00A-41B3-A79A-809790EC9420,568A662E-15D4-4E57-BD16-F9D55D9C80A2,POINT(-73.95575237109139 40.76852650020388),"{'type': 'Point', 'coordinates': [-73.95575237109139, 40.76852650020388]}",Pyrus calleryana - Callery pear,2015-03-09 04:00:00.0000000,Unknown
93225,925EB161-3E0B-4F73-B45A-257B03DAF1E0,6C99D4EF-9481-4A43-B94E-DB80923312C8,POINT(-73.98569231717438 40.73183535242499),"{'type': 'Point', 'coordinates': [-73.98569231717438, 40.73183535242499]}",Pyrus calleryana - Callery pear,2015-03-09 04:00:00.0000000,Poor
94423,C6817D14-4FF0-429E-9704-BD60AAD7B788,EB85EFF6-B658-4419-87F1-640983144DDD,POINT(-73.86262128908143 40.866768413849634),"{'type': 'Point', 'coordinates': [-73.86262128908143, 40.866768413849634]}",Acer platanoides 'Not Green Leaf' - 'Not Green Leaf' Norway maple,2015-03-10 04:00:00.0000000,Excellent
103247,B8594684-625B-40E8-B324-7D8B40BBEDE8,88B47D50-905A-4403-B0B1-B44748F98EFA,POINT(-74.09224144552422 40.62428543290063),"{'type': 'Point', 'coordinates': [-74.09224144552422, 40.62428543290063]}",Platanus x acerifolia - London planetree,2015-03-16 04:00:00.0000000,Good
94027,9B345525-8F5D-4695-8193-26E5D3190080,77728080-487B-4FE8-AE8B-4CE07538A74B,POINT(-73.77094831998542 40.74631214429808),"{'type': 'Point', 'coordinates': [-73.77094831998542, 40.74631214429808]}",Acer platanoides - Norway maple,2015-03-10 04:00:00.0000000,Good
101227,C876CE84-D230-444A-9EE7-82C1F9698791,04421631-BAFE-42B3-B59B-C675D667C43A,POINT(-74.07722207942915 40.62362832119954),"{'type': 'Point', 'coordinates': [-74.07722207942915, 40.62362832119954]}",Pyrus calleryana - Callery pear,2015-03-13 04:00:00.0000000,Fair
100432,ED7D4C6C-7A02-4B43-ADDD-D94A8F2899C1,80C37107-1317-41E7-8475-5C63FC81A23B,POINT(-74.07680329633497 40.623868459369895),"{'type': 'Point', 'coordinates': [-74.07680329633497, 40.623868459369895]}",Platanus x acerifolia - London planetree,2015-03-13 04:00:00.0000000,Fair
94425,6B1279A4-3F0D-4E28-9F2B-BF8E272AEBAF,6D904278-B4B3-4197-A77F-0707135A8D2E,POINT(-74.13387034324204 40.598860458231755),"{'type': 'Point', 'coordinates': [-74.13387034324204, 40.598860458231755]}",Tilia cordata - littleleaf linden,2015-03-10 04:00:00.0000000,Poor
92024,4969C73F-543E-4638-B4ED-3D820B02DA21,4EE7B013-A06E-46D8-9818-B560C49E9180,POINT(-73.98764098178188 40.762869801576585),"{'type': 'Point', 'coordinates': [-73.98764098178188, 40.762869801576585]}",Pyrus calleryana - Callery pear,2015-03-08 05:00:00.0000000,Dead
95625,C2062E33-3321-427E-AC18-926C62E0AFE6,E41F7509-8FFB-4533-8AD0-BB53FD9024BA,POINT(-73.93297667958915 40.68069033526909),"{'type': 'Point', 'coordinates': [-73.93297667958915, 40.68069033526909]}",Quercus phellos - willow oak,2015-03-11 04:00:00.0000000,Fair
98825,67C48578-EFA7-4910-9B46-4A47BC55C2C2,2B98B1E0-0756-41BD-B29F-F0683EBD6F21,POINT(-74.11900335511538 40.57436266573021),"{'type': 'Point', 'coordinates': [-74.11900335511538, 40.57436266573021]}",Acer saccharinum - silver maple,2015-04-10 10:27:00.0000000,Unknown
100428,166DD8AE-C085-4324-8249-77CC48EE3E5A,100DC9F0-B71C-4D80-8F64-4AD82BF6BC79,POINT(-74.07638666390298 40.62387429000657),"{'type': 'Point', 'coordinates': [-74.07638666390298, 40.62387429000657]}",Liquidambar styraciflua - sweetgum,2015-03-13 04:00:00.0000000,Fair
