objectid,:@computed_region_yeji_bk3q,dbh
101225,1,17.0
101632,1,13.0
92023,4,10.0
96431,2,8.0
99623,2,43.0
90023,1,11.0
94424,1,18.0
101636,1,14.0
103234,1,16.0
103263,2,25.0
96428,5,27.0
100437,2,
102823,4,24.0
97223,3,16.0
101237,5,20.0
92825,4,5.0
99226,1,16.0
93625,2,20.0
96024,1,10.0
100438,5,20.0
94024,3,3.0
103240,1,28.0
96436,3,35.0
96435,3,20.0
101229,1,17.0
100433,1,11.0
94823,3,22.0
103242,1,27.0
100435,1,10.0
92829,4,9.0
99225,1,35.0
100828,1,12.0
93227,3,28.0
101630,1,9.0
103247,1,16.0
103249,1,22.0
100427,1,32.0
90423,4,8.0
89223,4,12.0
103259,1,10.0
101634,1,12.0
92024,4,12.0
101227,1,12.0
88824,4,10.0
90823,2,18.0
96023,4,18.0
100829,2,17.0
102424,4,15.0
94025,2,12.0
103252,3,25.0
101235,1,18.0
89628,3,10.0
103226,1,10.0
92827,4,13.0
88825,3,19.0
100827,1,9.0
86823,3,20.0
100429,1,34.0
87623,4,10.0
101631,1,33.0
101234,1,16.0
94423,5,3.0
96026,4,22.0
94027,3,14.0
95625,2,23.0
101629,1,12.0
98824,2,24.0
94427,3,35.0
103244,1,8.0
103233,1,15.0
101624,1,9.0
100826,1,7.0
101633,1,15.0
96032,3,35.0
89225,1,8.0
92424,4,24.0
96424,2,22.0
100432,1,32.0
89629,4,17.0
96425,1,8.0
101236,1,7.0
94425,1,10.0
103224,1,5.0
89632,2,24.0
90824,1,16.0
95626,1,7.0
103229,1,28.0
99624,2,27.0
98825,1,66.0
91623,1,18.0
96025,1,3.0
89627,3,19.0
98823,2,9.0
101228,1,37.0
103256,1,23.0
101638,3,30.0
103236,1,17.0
91624,1,20.0
94023,5,12.0
103245,1,5.0
101627,1,10.0
96030,2,13.0
102025,4,11.0
101226,3,13.0
96434,3,18.0
103258,1,18.0
101635,1,20.0
103232,1,14.0
100426,1,16.0
103246,1,14.0
103227,3,16.0
92823,4,15.0
103260,1,40.0
103223,1,7.0
95223,1,10.0
101625,5,25.0
100431,5,18.0
96423,1,14.0
96029,1,20.0
101639,3,35.0
88023,5,24.0
100823,1,12.0
103241,1,27.0
103625,1,8.0
100023,2,11.0
92830,5,10.0
101623,1,33.0
99224,2,10.0
101238,2,11.0
96433,1,21.0
101637,1,10.0
89630,3,7.0
93224,3,0.0
96028,1,20.0
96033,3,12.0
103623,1,
103255,2,3.0
100024,1,35.0
92423,3,4.0
103228,1,13.0
95627,1,24.0
102024,4,9.0
92828,3,36.0
96426,2,28.0
101231,1,3.0
101628,1,23.0
102824,4,12.0
100424,3,
93225,4,4.0
101626,1,9.0
101230,1,7.0
103257,1,23.0
96027,3,26.0
100825,1,10.0
89625,4,6.0
96823,1,16.0
94824,1,28.0
95624,3,6.0
103239,4,15.0
94026,3,29.0
93228,4,8.0
102023,4,12.0
103225,1,22.0
102423,4,10.0
96430,5,22.0
89631,4,18.0
103262,3,13.0
93223,4,16.0
103230,1,10.0
94426,2,2.0
92826,3,19.0
103248,1,12.0
96429,2,23.0
94028,3,32.0
96824,1,20.0
92824,3,30.0
99223,2,22.0
98023,2,9.0
88823,1,10.0
103238,1,22.0
101224,1,10.0
101239,2,40.0
103235,1,12.0
98423,2,10.0
103231,1,14.0
96825,1,12.0
89626,3,15.0
103237,2,23.0
101233,1,15.0
91223,1,16.0
97623,3,6.0
100428,1,15.0
100423,1,12.0
100436,1,12.0
96031,1,35.0
98826,2,33.0
103624,1,10.0
96432,1,18.0
103253,1,46.0
95628,3,24.0
