globalid,riskrating,updateddate,stumpdiameter,:@computed_region_sbqj_enih,:@computed_region_efsh_h5xi,:@computed_region_92fq_4b7q
43A9125F-E5A3-4C0A-8F89-52DCA9A75C6D,,2019-02-01 18:47:55.0000000,21.0,74,10369,13
B8594684-625B-40E8-B324-7D8B40BBEDE8,,2016-10-17 14:26:44.0000000,,74,10369,13
192EB618-ACA0-4129-8955-A320AF827483,5.0,2021-08-31 14:46:02.0000000,23.0,41,13511,44
3F232143-9B90-4E43-85F1-D2FB0589FDCB,7.0,2023-02-02 16:38:00.0000000,10.0,2,12075,32
C40C4778-243C-4BE3-A3D6-ECB0F5838BCC,,2017-04-13 11:11:11.0000000,,38,13825,8
4C501D4B-8B01-4556-A88D-C60AF587FF1E,,2018-04-19 09:55:01.0000000,,65,24340,24
560AADE4-1A81-443D-ADBA-412DCEF4899A,,2019-03-01 15:31:00.0000000,,45,17617,7
8A487A6B-146A-4DE4-9AEE-835492B1E348,,2023-12-11 18:01:07.0000000,,64,24013,41
96617828-FF19-4159-B15F-256D863F9990,,2016-10-12 16:40:20.0000000,,74,10691,13
54722507-DB54-4499-86A1-FEC6EB922E66,,2016-08-05 12:32:00.0000000,,19,12428,23
C876CE84-D230-444A-9EE7-82C1F9698791,6.0,2024-10-02 14:59:51.0000000,,74,10691,13
8D81BCE7-F64D-45E0-8AD2-AA7E8855E0FC,3.0,2024-12-16 19:12:50.0000000,,41,17216,44
4CC6B77F-778A-4EE5-AC3B-085E4051EDC4,6.0,2024-10-01 15:27:00.0000000,,74,10691,13
8AA3C30A-9F05-47B9-B345-17C6741F6164,4.0,2025-08-06 17:05:01.0000000,,1,12076,32
F0225EE9-250F-4ABE-9492-99E80F0BB6E4,,2018-06-06 17:30:00.0000000,9.0,74,10691,13
439C8874-D482-49EC-BC5E-DF566ECC530E,6.0,2024-10-02 15:29:48.0000000,,74,10691,13
6AA46CD3-20AD-4B69-B9A9-301F5C3CC09B,7.0,2024-10-25 16:32:14.0000000,,74,10691,13
DF7840E2-3BE0-415A-A1EF-88DB38E93B20,,,,65,24670,24
49F09EEB-BD00-4906-8106-D665EEE1B54B,6.0,2022-06-15 14:03:00.0000000,,74,10692,13
642F7C91-F4AD-4313-A7FE-1D8ED4842965,6.0,2024-10-02 14:47:55.0000000,,74,10691,13
0FF2F649-82B0-4FD8-B31A-4A64E4FA1DD4,6.0,2024-10-02 14:48:54.0000000,,74,10691,13
FC95CC74-A58F-4BB1-A294-77A2FA263AD1,6.0,2024-10-02 15:13:53.0000000,,74,10691,13
ABBFCCE8-CDA5-4D72-902F-FC3E46E47DA0,,2024-10-01 15:27:10.0000000,,74,10691,13
AE7A31AD-CA11-4A90-8759-CA7C9E6C60A1,,2018-02-20 09:33:16.0000000,18.0,75,10371,13
68DD99A3-DB78-45A3-A79B-B748389E5FE6,3.0,2024-12-18 16:15:33.0000000,,71,15313,6
308E4312-9430-406E-9839-20DFCB8DF0E6,,2018-02-23 10:46:40.0000000,,74,10692,13
22CCFF5C-998A-4DCE-BC4A-5B222563A0DF,6.0,2024-10-02 15:03:05.0000000,,74,10691,13
F583CCEB-2C50-494B-921A-355D36994175,,2016-01-26 15:08:00.0000000,34.0,75,10370,13
BB515223-21BA-4A20-8783-9E0B58B3BF48,7.0,2025-11-18 18:16:45.0000000,,74,10369,13
64244044-ACA0-40BD-B96A-093DEE915CA6,7.0,2025-10-25 12:47:20.0000000,,63,24337,16
E4FEB041-B572-4AB1-BE58-D3C172FD7AD0,10.0,2023-08-28 12:52:48.0000000,56.0,74,10691,13
D609E0DD-C1C8-4B47-A3C6-00A5F5E89923,7.0,2025-11-18 18:46:05.0000000,,74,10369,13
DFBA8C8D-8D9F-41FA-9B9E-BDAF7BC87A86,7.0,2025-02-07 14:05:26.0000000,,71,24669,6
4EC557B8-C9DF-4AF4-9627-E0733AB5415A,,2016-12-05 13:54:17.0000000,,30,11605,2
6FB7F030-358A-413D-8A54-59BFAF189300,6.0,2024-10-01 15:30:49.0000000,,74,10691,13
BD7F884E-785C-4EF4-AC3B-761CCAD7ADC7,6.0,2024-10-02 15:37:54.0000000,,74,10691,13
9B345525-8F5D-4695-8193-26E5D3190080,,2025-09-22 13:59:46.0000000,,69,14506,16
721B859B-53EB-4F14-AE19-EB1F7D3DEB92,,2016-10-04 11:42:13.0000000,,75,10700,13
55904A02-F199-4FFE-9769-3BB71C6464FC,,2017-05-09 09:27:12.0000000,,64,15314,41
CAEE2E2A-DC20-4CE8-B2E4-4AD8264C867F,6.0,2024-10-02 15:01:35.0000000,,74,10691,13
B96F9DE3-E4D7-4046-A347-DA0A416BC5DA,6.0,2023-03-17 12:23:00.0000000,,21,13090,23
182F6647-D9C1-4A45-ADA0-9ADEFD1ECC60,,2016-10-24 02:50:43.0000000,,7,12078,50
