lpc_lpnumb,bbl,lpc_sitest,landmarkty
LP-00055,1000670030.0,Designated,Individual Landmark
LP-01682,1012460043.0,Designated,Individual Landmark
LP-01751,1001347501.0,Designated,Individual Landmark
LP-02077,1010670024.0,Designated,Individual Landmark
LP-01538,1008440019.0,Designated,Individual Landmark
LP-00772,5005150039.0,Designated,Individual Landmark
LP-02181,5080280063.0,Designated,Individual Landmark
LP-02032,1003920005.0,Designated,Individual Landmark
LP-02378,5000250004.0,Designated,Individual Landmark
LP-00141,4049770026.0,Designated,Individual Landmark
LP-00244,1008970053.0,Designated,Individual Landmark
LP-01407,5008970001.0,Designated,Individual Landmark
LP-00345,5004390045.0,Designated,Individual Landmark
LP-01940,4097570008.0,Designated,Individual Landmark
LP-02157,1004630011.0,Designated,Individual Landmark
LP-02527,4162120014.0,Designated,Individual Landmark
LP-00030,1000070035.0,Designated,Individual Landmark
LP-00287,1011690001.0,Designated,Individual Landmark
LP-01997,5010070026.0,Designated,Individual Landmark
LP-01763,1008710010.0,Designated,Individual Landmark
LP-00662,4040670001.0,Designated,Individual Landmark
LP-01315,1010350037.0,Designated,Individual Landmark
LP-02154,4061690021.0,Designated,Individual Landmark
LP-00082,1001530024.0,Designated,Individual Landmark
LP-01047,1008640053.0,Designated,Individual Landmark
LP-02098,1002800044.0,Designated,Individual Landmark
LP-01639,5002460056.0,Designated,Individual Landmark
LP-01398,5066660001.0,Designated,Individual Landmark
LP-00142,4050120060.0,Designated,Individual Landmark
LP-01815,1007930054.0,Designated,Individual Landmark
LP-01816,1007930055.0,Designated,Individual Landmark
LP-00341,5001490001.0,Designated,Individual Landmark
LP-01537,1008440017.0,Designated,Individual Landmark
LP-02367,5005140030.0,Designated,Individual Landmark
LP-00342,5002300033.0,Designated,Individual Landmark
LP-01206,5000070012.0,Designated,Individual Landmark
LP-00020,1000120001.0,Designated,Individual Landmark
LP-00012,1005450038.0,Designated,Individual Landmark
LP-02022,5044370026.0,Designated,Individual Landmark
LP-02042,1010090046.0,Designated,Individual Landmark
LP-01348,1010190050.0,Designated,Individual Landmark
LP-02539,1001760011.0,Designated,Individual Landmark
LP-02141,5031050001.0,Designated,Individual Landmark
LP-02414,5070200123.0,Designated,Individual Landmark
LP-00135,4007550080.0,Designated,Individual Landmark
LP-02317,4091830001.0,Designated,Individual Landmark
LP-02393,4096760037.0,Designated,Individual Landmark
LP-02321,4039970040.0,Designated,Individual Landmark
LP-00990,1007640015.0,Designated,Individual Landmark
LP-01541,1008730001.0,Designated,Individual Landmark
LP-02225,1005950083.0,Designated,Individual Landmark
LP-01002,5005710242.0,Designated,Individual Landmark
LP-00944,4080640076.0,Designated,Individual Landmark
LP-02036,4097950003.0,Designated,Individual Landmark
LP-00391,5074650115.0,Designated,Individual Landmark
LP-00925,4000830001.0,Designated,Individual Landmark
LP-01207,5000070001.0,Designated,Individual Landmark
LP-02331,1004480004.0,Designated,Individual Landmark
LP-02191,1001000026.0,Designated,Individual Landmark
LP-02404,4096910001.0,Designated,Individual Landmark
LP-01678,1012460140.0,Designated,Individual Landmark
LP-01941,1000277502.0,Designated,Individual Landmark
LP-02162,1004920038.0,Designated,Individual Landmark
LP-02473,4093010101.0,Designated,Individual Landmark
LP-01942,1000287501.0,Designated,Individual Landmark
LP-00210,1005900015.0,Designated,Individual Landmark
LP-01871,5075900134.0,Designated,Individual Landmark
LP-02088,4097570023.0,Designated,Individual Landmark
LP-01282,4045747501.0,Designated,Individual Landmark
LP-02057,5000090022.0,Designated,Individual Landmark
LP-02212,1006040001.0,Designated,Individual Landmark
LP-02190,5003140001.0,Designated,Individual Landmark
LP-02247,1008730010.0,Designated,Individual Landmark
LP-02382,5000250001.0,Designated,Individual Landmark
LP-01798,4050020001.0,Designated,Individual Landmark
LP-02175,4033190018.0,Designated,Individual Landmark
LP-00876,1004300010.0,Designated,Individual Landmark
LP-01132,4101020010.0,Designated,Individual Landmark
LP-00088,1002670019.0,Designated,Individual Landmark
LP-02045,4040420113.0,Designated,Individual Landmark
LP-02201,5005210028.0,Designated,Individual Landmark
LP-00229,1004660026.0,Designated,Individual Landmark
LP-00010,1005450040.0,Designated,Individual Landmark
LP-00139,4049600001.0,Designated,Individual Landmark
LP-01955,1000110015.0,Designated,Individual Landmark
LP-00960,1005080006.0,Designated,Individual Landmark
LP-00399,5022940070.0,Designated,Individual Landmark
LP-01304,4004770020.0,Designated,Individual Landmark
LP-01927,1000130005.0,Designated,Individual Landmark
LP-01934,1000460003.0,Designated,Individual Landmark
LP-02180,5079000005.0,Designated,Individual Landmark
LP-02538,4097680022.0,Designated,Individual Landmark
LP-01177,4031780044.0,Designated,Individual Landmark
LP-00361E,5009390120.0,Designated,Individual Landmark
LP-00841,5067240025.0,Designated,Individual Landmark
LP-00053,1000640009.0,Designated,Individual Landmark
LP-01512,1001700006.0,Designated,Individual Landmark
LP-00344,5003050076.0,Designated,Individual Landmark
LP-02253,5022680180.0,Designated,Individual Landmark
LP-00091,1002790017.0,Designated,Individual Landmark
LP-00330,5000580027.0,Designated,Individual Landmark
LP-00930,5012110087.0,Designated,Individual Landmark
LP-01772,5068150059.0,Designated,Individual Landmark
LP-00227,1004410012.0,Designated,Individual Landmark
LP-01818,1007930059.0,Designated,Individual Landmark
LP-02415,5070200004.0,Designated,Individual Landmark
LP-00204,1005570008.0,Designated,Individual Landmark
LP-02185,1008380048.0,Designated,Individual Landmark
