the_geom,url_report,borough,address,block
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98948694994857, 40.7292753211722], [-73.98970165627033, 40.72898312192855], [-73.98978491572714, 40.729018317619925], [-73.98972352396812, 40.729101870352075], [-73.98969327320883, 40.72914303980258], [-73.98966323789749, 40.729183915698435], [-73.9896271215947, 40.729233065812096], [-73.98957028069596, 40.72931042337094], [-73.98948694994857, 40.7292753211722]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2157.pdf,MN,4 Saint Mark's Place,463
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8379722758472, 40.58083117529171], [-73.83831122869456, 40.58071808394412], [-73.83833952611829, 40.58076716277862], [-73.83839799592202, 40.58086856675587], [-73.83805908856027, 40.58098164221344], [-73.8379722758472, 40.58083117529171]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2527.pdf,QN,259 Beach 116th Street,16212
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.01122763548825, 40.703373000993956], [-74.01131808993091, 40.70335233079458], [-74.01131556450811, 40.703343526739935], [-74.01144321014876, 40.70331435555152], [-74.0114542012675, 40.703436404411256], [-74.01126280637396, 40.703480147643496], [-74.01122763548825, 40.703373000993956]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0030.pdf,MN,54 Pearl Street,7
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98124947300465, 40.7830753149491], [-73.98118049884575, 40.78304647865084], [-73.98119093887914, 40.783032048016594], [-73.98136724782455, 40.78278836400762], [-73.98193059308306, 40.78302388355095], [-73.98174384444283, 40.78328199909754], [-73.98124947300465, 40.7830753149491]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0287.pdf,MN,West End Avenue at West 77th Street,1169
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.13087295076919, 40.63761935582451], [-74.13105583798162, 40.637370318604205], [-74.13138585124922, 40.6375117846774], [-74.13120269040405, 40.637760707465425], [-74.13087295076919, 40.63761935582451]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1997.pdf,SI,75 Bennett Street,1007
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98886138237306, 40.73532713774434], [-73.98871595637006, 40.73526553785483], [-73.9889102607458, 40.73500103974883], [-73.98906623721592, 40.73506688088908], [-73.98887180538316, 40.735331553041476], [-73.98886138237306, 40.73532713774434]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1763.pdf,MN,111 East 15th Street,871
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8525268832442, 40.78402410885928], [-73.85306784698308, 40.78400338228454], [-73.85310449399421, 40.78456062491853], [-73.85256342947119, 40.78457988462157], [-73.8525268832442, 40.78402410885928]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0662.pdf,QN,114-04 14th Road,4067
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98891224286908, 40.759294174045024], [-73.98909076551956, 40.75904921866975], [-73.98940404209253, 40.75918078644539], [-73.98951336293993, 40.75922670418201], [-73.98933358493845, 40.75947113239369], [-73.98891224286908, 40.759294174045024]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/1315.pdf,MN,302-314 West 45th Street,1035
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.77377836284235, 40.76796938700249], [-73.77386061558063, 40.7681238799946], [-73.77353867004298, 40.768221237172156], [-73.77346031753595, 40.76806556385177], [-73.77377836284235, 40.76796938700249]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/2154.pdf,QN,35-34 Bell Boulevard,6169
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.0037685378461, 40.71363690899054], [-74.00411911548352, 40.71328002736799], [-74.00469321243834, 40.713540339382085], [-74.00438193589612, 40.7139170207748], [-74.0037685378461, 40.71363690899054]]]]}",http://s-media.nyc.gov/agencies/lpc/lp/0082.pdf,MN,31 Chambers Street,153
