year,doe_students,charter_sth_1,doe_sth
2016-17,1073254,0.08,103743
2017-18,1063855,0.08,105261
2013-14,1073656,0.06,82894
2015-16,1079157,0.07,98678
2014-15,1078478,0.06,81474
