_2_00_3_00am,_6_00_7_00pm
35,203.0
54,354.0
28,447.0
16,426.0
26,321.0
26,428.0
54,
64,358.0
11,120.0
6,106.0
9,239.0
23,427.0
1,191.0
22,463.0
13,95.0
34,467.0
29,406.0
25,308.0
19,323.0
18,401.0
106,
135,
18,401.0
41,613.0
21,436.0
18,436.0
43,0.0
32,357.0
7,227.0
38,216.0
76,359.0
9,233.0
58,700.0
36,498.0
38,321.0
29,512.0
116,0.0
15,
37,466.0
65,292.0
25,337.0
44,463.0
44,
7,122.0
18,443.0
7,182.0
30,272.0
53,499.0
40,510.0
19,418.0
3,186.0
53,469.0
13,453.0
6,235.0
39,311.0
11,120.0
6,203.0
48,484.0
26,423.0
7,158.0
25,205.0
39,233.0
3,189.0
28,447.0
57,274.0
36,452.0
17,112.0
8,296.0
20,478.0
87,0.0
16,426.0
21,379.0
25,
8,95.0
80,0.0
29,431.0
12,426.0
44,251.0
37,289.0
62,
13,211.0
38,510.0
52,250.0
34,216.0
61,452.0
37,456.0
7,148.0
21,
46,0.0
50,680.0
68,328.0
39,720.0
90,367.0
6,176.0
20,219.0
49,468.0
30,331.0
12,128.0
17,
48,293.0
25,338.0
39,623.0
23,247.0
18,443.0
46,291.0
19,453.0
23,
35,733.0
21,442.0
9,101.0
13,258.0
19,319.0
7,102.0
30,465.0
20,186.0
35,485.0
58,914.0
17,
2,175.0
11,91.0
41,
68,482.0
51,240.0
49,
35,539.0
40,654.0
31,231.0
44,
37,312.0
18,436.0
32,227.0
28,361.0
33,485.0
53,
42,476.0
37,984.0
14,399.0
29,488.0
46,329.0
57,531.0
13,195.0
45,0.0
19,420.0
54,239.0
5,219.0
32,243.0
24,308.0
15,380.0
62,314.0
45,726.0
8,143.0
77,
48,781.0
5,108.0
6,220.0
7,
24,447.0
19,0.0
4,195.0
20,249.0
5,160.0
19,427.0
17,480.0
47,645.0
105,
26,329.0
44,478.0
31,283.0
49,0.0
42,425.0
9,198.0
1,201.0
79,0.0
28,0.0
47,661.0
80,319.0
67,467.0
98,
10,156.0
31,207.0
47,
26,352.0
8,145.0
43,609.0
89,406.0
44,630.0
41,0.0
28,
93,345.0
40,
97,311.0
34,710.0
10,388.0
19,386.0
30,333.0
116,
16,402.0
52,
4,198.0
60,
