_10_00_11_00pm,_8_00_9_00am,_2_00_3_00pm,direction,_9_00_10_00am
141.0,221,198.0,NB,201
141.0,279,269.0,NB,366
187.0,395,491.0,NB,261
153.0,413,466.0,NB,250
122.0,446,431.0,NB,422
211.0,341,504.0,WB,320
,216,,NB,291
168.0,292,340.0,NB,311
47.0,171,140.0,SB,103
56.0,69,115.0,NB,71
99.0,259,192.0,EB,189
105.0,623,429.0,NB,380
56.0,166,257.0,WB,120
241.0,618,550.0,NB,421
69.0,131,177.0,SB,88
208.0,751,564.0,NB,493
234.0,737,627.0,NB,530
143.0,395,340.0,NB,298
165.0,350,335.0,NB,275
134.0,373,446.0,SB,255
,318,,SB,193
,373,,NB,449
134.0,373,446.0,NB,255
320.0,967,852.0,NB,625
181.0,641,527.0,EB,474
133.0,386,448.0,NB,286
0.0,275,0.0,NB,229
160.0,416,425.0,NB,425
70.0,480,297.0,EB,217
135.0,210,212.0,NB,200
153.0,306,335.0,SB,314
55.0,418,302.0,EB,216
331.0,1181,982.0,NB,840
199.0,554,576.0,SB,473
145.0,426,414.0,NB,410
206.0,671,637.0,NB,455
0.0,507,0.0,NB,291
,72,,WB,105
174.0,568,553.0,SB,444
160.0,284,348.0,SB,273
129.0,461,409.0,NB,424
186.0,541,500.0,SB,407
,161,,SB,213
64.0,89,71.0,NB,66
157.0,382,441.0,SB,263
38.0,177,280.0,WB,136
119.0,257,264.0,SB,211
220.0,547,580.0,SB,413
196.0,545,562.0,SB,444
116.0,362,391.0,NB,219
38.0,186,278.0,WB,121
237.0,552,449.0,NB,466
137.0,369,452.0,NB,236
44.0,173,278.0,WB,146
146.0,293,281.0,SB,243
63.0,177,192.0,SB,131
96.0,409,282.0,EB,203
157.0,536,564.0,SB,409
165.0,363,485.0,WB,309
68.0,390,291.0,EB,195
122.0,294,252.0,NB,240
98.0,375,230.0,NB,315
57.0,348,296.0,EB,165
187.0,395,491.0,SB,261
165.0,349,285.0,SB,271
188.0,582,560.0,SB,440
66.0,157,180.0,SB,99
77.0,132,311.0,WB,147
213.0,658,549.0,EB,477
0.0,262,0.0,SB,224
153.0,413,466.0,SB,250
97.0,634,458.0,NB,330
,498,,NB,523
42.0,67,102.0,NB,45
0.0,293,0.0,NB,300
172.0,351,462.0,WB,324
130.0,574,520.0,NB,422
122.0,265,253.0,NB,233
119.0,289,269.0,SB,188
,183,,NB,293
84.0,315,205.0,WB,208
210.0,871,607.0,NB,556
136.0,290,249.0,NB,279
122.0,229,217.0,NB,196
228.0,564,454.0,NB,419
205.0,742,708.0,NB,530
63.0,177,171.0,SB,128
,46,,NB,53
0.0,340,0.0,NB,139
429.0,1158,920.0,NB,802
145.0,481,421.0,NB,373
245.0,576,740.0,SB,469
159.0,493,379.0,NB,373
48.0,153,263.0,WB,112
88.0,267,203.0,WB,227
237.0,892,671.0,NB,546
177.0,458,395.0,SB,259
57.0,155,165.0,SB,138
,88,,EB,126
149.0,276,254.0,SB,221
159.0,358,327.0,NB,279
253.0,423,663.0,SB,394
62.0,241,191.0,EB,168
157.0,382,441.0,NB,263
134.0,281,261.0,SB,220
214.0,616,517.0,EB,484
,46,,SB,61
307.0,590,751.0,SB,440
137.0,339,498.0,WB,318
34.0,146,156.0,SB,90
82.0,256,191.0,EB,199
149.0,377,337.0,SB,298
55.0,84,113.0,NB,64
184.0,677,502.0,NB,452
97.0,195,222.0,WB,138
186.0,727,662.0,NB,514
251.0,806,686.0,SB,732
,70,,EB,105
49.0,328,281.0,EB,156
42.0,100,104.0,NB,52
,158,,NB,195
271.0,577,481.0,NB,474
121.0,254,250.0,SB,222
,571,,NB,508
220.0,605,513.0,SB,422
234.0,459,630.0,SB,404
131.0,292,280.0,NB,237
,161,,NB,213
127.0,425,384.0,SB,311
133.0,386,448.0,SB,286
102.0,330,269.0,NB,309
149.0,407,396.0,SB,271
190.0,562,584.0,SB,412
,259,,NB,385
258.0,760,637.0,NB,545
385.0,546,611.0,SB,389
131.0,622,396.0,NB,395
201.0,563,526.0,SB,411
168.0,325,274.0,NB,337
263.0,857,706.0,NB,546
