_7_00_8_00pm,_12_00_1_00pm,roadway_name,_4_00_5_00pm
176.0,185.0,RALPH AVE,223.0
287.0,284.0,KENT AVENUE,379.0
319.0,349.0,MANOR RD,451.0
306.0,339.0,MANOR RD,514.0
284.0,386.0,BAY ST,429.0
296.0,444.0,VICTORY BOULEVARD,558.0
,,CLOVE RD,
298.0,326.0,KENT AVENUE,379.0
89.0,78.0,NARROWS ROAD SOUTH,113.0
89.0,90.0,BEACH STREET,130.0
206.0,192.0,PARK AVENUE,365.0
360.0,373.0,MANOR RD,454.0
124.0,148.0,OCEAN TERRACE,319.0
417.0,491.0,TODT HILL RD,604.0
115.0,87.0,NARROWS ROAD SOUTH,109.0
401.0,460.0,VAN DUZER STREET,594.0
394.0,481.0,VAN DUZER STREET,554.0
287.0,274.0,CLOVE RD,350.0
269.0,282.0,CLOVE RD,304.0
308.0,347.0,MANOR RD,504.0
,,HYLAN BLVD,
,,VAN DUZER STREET,
308.0,347.0,MANOR RD,504.0
579.0,613.0,VAN DUZER STREET,774.0
397.0,429.0,VICTORY BOULEVARD,519.0
315.0,310.0,MANOR RD,484.0
0.0,0.0,ROCKAWAY AVE,0.0
366.0,385.0,BAY ST,413.0
202.0,168.0,OCEAN TERRACE,258.0
187.0,179.0,RALPH AVE,236.0
267.0,303.0,MORGAN AVE,382.0
182.0,172.0,OCEAN TERRACE,273.0
651.0,787.0,TARGEE ST,876.0
355.0,513.0,BAY ST,560.0
251.0,383.0,BAY ST,437.0
479.0,508.0,TODT HILL RD,679.0
0.0,0.0,MORGAN AVE,0.0
,,LITTLE CLOVE ROAD,
422.0,434.0,VAN DUZER STREET,595.0
266.0,312.0,MORGAN AVE,389.0
284.0,386.0,BAY ST,373.0
407.0,417.0,BAY ST,616.0
,,MANOR RD,
76.0,105.0,BEACH STREET,122.0
329.0,324.0,MANOR RD,541.0
172.0,173.0,LITTLE CLOVE ROAD,496.0
197.0,184.0,HUMBOLDT STREET,329.0
406.0,558.0,BAY ST,590.0
390.0,534.0,BAY ST,590.0
307.0,308.0,MANOR RD,513.0
137.0,130.0,OCEAN TERRACE,332.0
433.0,340.0,LEWIS AVE,493.0
316.0,291.0,MANOR RD,443.0
152.0,158.0,LITTLE CLOVE ROAD,336.0
268.0,221.0,RALPH AVE,383.0
96.0,122.0,BEACH STREET,161.0
158.0,197.0,OCEAN TERRACE,247.0
374.0,565.0,BAY ST,597.0
292.0,356.0,VICTORY BOULEVARD,566.0
127.0,150.0,LITTLE CLOVE ROAD,222.0
192.0,176.0,RALPH AVE,223.0
178.0,228.0,KINGSLAND AVENUE,310.0
130.0,156.0,LITTLE CLOVE ROAD,206.0
319.0,349.0,MANOR RD,451.0
259.0,234.0,RALPH AVE,361.0
431.0,430.0,VAN DUZER STREET,571.0
68.0,73.0,NARROWS ROAD SOUTH,122.0
157.0,164.0,LITTLE CLOVE ROAD,585.0
368.0,423.0,VICTORY BOULEVARD,456.0
0.0,0.0,MORGAN AVE,0.0
306.0,339.0,MANOR RD,514.0
315.0,378.0,MANOR RD,401.0
,,MANOR RD,
73.0,73.0,BEACH STREET,133.0
0.0,0.0,KENT AVENUE,0.0
325.0,385.0,VICTORY BOULEVARD,597.0
398.0,432.0,TODT HILL RD,600.0
198.0,249.0,ROCKAWAY AVE,260.0
203.0,209.0,HUMBOLDT STREET,361.0
,,BAY ST,
122.0,223.0,PARK AVENUE,239.0
448.0,462.0,HYLAN BLVD,620.0
219.0,264.0,ROCKAWAY AVE,261.0
178.0,177.0,RALPH AVE,250.0
399.0,421.0,LEWIS AVE,530.0
414.0,502.0,HYLAN BLVD,607.0
112.0,134.0,BEACH STREET,157.0
,,BEACH STREET,
0.0,0.0,KINGSLAND AVENUE,0.0
612.0,734.0,TARGEE ST,789.0
282.0,389.0,MORGAN AVE,453.0
600.0,549.0,TODT HILL RD,736.0
246.0,366.0,MORGAN AVE,373.0
112.0,129.0,OCEAN TERRACE,352.0
120.0,208.0,PARK AVENUE,246.0
439.0,502.0,HYLAN BLVD,611.0
284.0,300.0,CLOVE RD,352.0
95.0,140.0,BEACH STREET,152.0
,,OCEAN TERRACE,
228.0,197.0,RALPH AVE,392.0
297.0,291.0,CLOVE RD,342.0
547.0,461.0,HYLAN BLVD,753.0
173.0,216.0,PARK AVENUE,317.0
329.0,324.0,MANOR RD,541.0
202.0,228.0,HUMBOLDT STREET,326.0
337.0,438.0,VICTORY BOULEVARD,514.0
,,NARROWS ROAD SOUTH,
622.0,540.0,TODT HILL RD,739.0
303.0,428.0,VICTORY BOULEVARD,626.0
89.0,76.0,NARROWS ROAD SOUTH,111.0
148.0,174.0,PARK AVENUE,413.0
294.0,290.0,CLOVE RD,395.0
106.0,88.0,BEACH STREET,133.0
424.0,418.0,TODT HILL RD,598.0
144.0,164.0,PARK AVENUE,232.0
474.0,500.0,TODT HILL RD,644.0
633.0,956.0,HYLAN BLVD,935.0
,,LITTLE CLOVE ROAD,
150.0,159.0,LITTLE CLOVE ROAD,218.0
83.0,85.0,BEACH STREET,147.0
,,MANOR RD,
426.0,369.0,LEWIS AVE,542.0
228.0,218.0,HUMBOLDT STREET,328.0
,,8 AVE,
361.0,479.0,VAN DUZER STREET,606.0
525.0,500.0,HYLAN BLVD,830.0
195.0,243.0,ROCKAWAY AVE,257.0
,,MANOR RD,
273.0,309.0,CLOVE RD,433.0
315.0,310.0,MANOR RD,484.0
168.0,240.0,KINGSLAND AVENUE,326.0
289.0,307.0,CLOVE RD,365.0
369.0,425.0,VAN DUZER STREET,642.0
,,TODT HILL RD,
418.0,443.0,VAN DUZER STREET,584.0
836.0,541.0,HYLAN BLVD,809.0
305.0,410.0,MANOR RD,463.0
381.0,473.0,VAN DUZER STREET,606.0
296.0,311.0,KENT AVENUE,400.0
459.0,514.0,HYLAN BLVD,588.0
173.0,202.0,PARK AVENUE,314.0
0.0,0.0,HUMBOLDT STREET,0.0
321.0,411.0,MANOR RD,442.0
207.0,235.0,ROCKAWAY AVE,246.0
148.0,205.0,OCEAN TERRACE,274.0
147.0,224.0,KINGSLAND AVENUE,306.0
268.0,277.0,CLOVE RD,311.0
309.0,388.0,MANOR RD,443.0
214.0,330.0,MORGAN AVE,431.0
579.0,542.0,TODT HILL RD,687.0
114.0,126.0,BEACH STREET,168.0
,,HYLAN BLVD,
593.0,509.0,TODT HILL RD,710.0
85.0,64.0,NARROWS ROAD SOUTH,145.0
238.0,174.0,OCEAN TERRACE,255.0
,,OCEAN TERRACE,
387.0,468.0,VICTORY BOULEVARD,442.0
0.0,0.0,PARK AVENUE,0.0
123.0,135.0,OCEAN TERRACE,333.0
267.0,220.0,PARK AVENUE,268.0
137.0,157.0,LITTLE CLOVE ROAD,223.0
341.0,439.0,VICTORY BOULEVARD,591.0
411.0,474.0,VICTORY BOULEVARD,511.0
552.0,776.0,TARGEE ST,842.0
,,TARGEE ST,
277.0,316.0,CLOVE RD,320.0
446.0,492.0,VAN DUZER STREET,572.0
264.0,211.0,RALPH AVE,389.0
0.0,0.0,RALPH AVE,0.0
417.0,479.0,HYLAN BLVD,601.0
155.0,163.0,LITTLE CLOVE ROAD,335.0
147.0,135.0,OCEAN TERRACE,310.0
0.0,0.0,LEWIS AVE,0.0
0.0,0.0,PARK AVENUE,0.0
577.0,693.0,TARGEE ST,780.0
224.0,321.0,MORGAN AVE,373.0
416.0,361.0,LEWIS AVE,526.0
,,BAY ST,
131.0,161.0,LITTLE CLOVE ROAD,225.0
128.0,209.0,KINGSLAND AVENUE,292.0
,,VAN DUZER STREET,
312.0,317.0,CLOVE RD,343.0
126.0,155.0,BEACH STREET,152.0
635.0,733.0,TARGEE ST,795.0
301.0,215.0,KENT AVENUE,407.0
520.0,517.0,HYLAN BLVD,767.0
0.0,0.0,RALPH AVE,0.0
,,BEACH STREET,
261.0,396.0,MORGAN AVE,397.0
,,VICTORY BOULEVARD,
300.0,403.0,MORGAN AVE,426.0
563.0,546.0,TODT HILL RD,780.0
300.0,301.0,MANOR RD,474.0
296.0,307.0,MANOR RD,440.0
265.0,371.0,BAY ST,372.0
,,TODT HILL RD,
334.0,312.0,MANOR RD,503.0
,,VICTORY BOULEVARD,
141.0,130.0,LITTLE CLOVE ROAD,444.0
,,CLOVE RD,
