_1_00_2_00pm,_7_00_8_00am
187.0,291
303.0,244
363.0,362
301.0,363
390.0,374
390.0,358
,167
309.0,239
88.0,139
89.0,75
174.0,213
407.0,581
136.0,205
450.0,547
89.0,135
441.0,604
514.0,628
314.0,352
301.0,341
370.0,362
,186
,264
370.0,362
563.0,747
511.0,597
354.0,374
0.0,257
403.0,393
194.0,553
175.0,202
333.0,240
200.0,583
678.0,1139
530.0,529
393.0,379
511.0,570
0.0,513
,36
435.0,520
326.0,229
357.0,410
430.0,458
,91
103.0,75
345.0,360
177.0,179
239.0,187
565.0,486
545.0,439
284.0,323
153.0,200
375.0,527
245.0,345
190.0,185
263.0,368
131.0,156
213.0,490
539.0,461
398.0,334
156.0,483
191.0,269
200.0,356
173.0,519
363.0,362
211.0,315
464.0,530
87.0,158
223.0,127
449.0,595
0.0,161
301.0,363
361.0,923
,235
95.0,70
0.0,208
418.0,318
440.0,526
273.0,256
239.0,215
,138
127.0,279
484.0,993
239.0,272
170.0,245
379.0,531
494.0,973
134.0,146
,18
0.0,339
751.0,1131
433.0,506
581.0,656
387.0,550
179.0,148
143.0,336
528.0,1065
337.0,412
120.0,154
,56
245.0,311
309.0,328
528.0,540
201.0,196
345.0,360
201.0,208
442.0,564
,54
596.0,649
449.0,333
86.0,140
211.0,221
322.0,363
113.0,68
467.0,527
188.0,294
585.0,635
730.0,880
,50
163.0,511
94.0,66
,93
401.0,490
233.0,189
,572
479.0,515
584.0,501
257.0,261
,91
310.0,409
354.0,374
227.0,348
316.0,404
435.0,504
,223
451.0,580
600.0,689
378.0,592
445.0,500
306.0,244
482.0,974
164.0,147
0.0,180
447.0,602
232.0,276
193.0,594
243.0,304
300.0,332
403.0,580
297.0,273
600.0,655
137.0,169
,237
586.0,629
81.0,145
191.0,571
,41
389.0,590
0.0,372
139.0,186
186.0,309
146.0,477
377.0,330
492.0,619
733.0,1155
,380
324.0,346
437.0,602
237.0,307
0.0,350
547.0,1032
177.0,179
141.0,191
0.0,546
0.0,212
721.0,1185
316.0,249
425.0,505
,173
154.0,401
251.0,330
,229
296.0,427
145.0,147
772.0,1184
204.0,194
553.0,546
0.0,236
,56
444.0,537
,147
376.0,500
592.0,679
339.0,339
287.0,343
418.0,364
,203
321.0,326
,137
180.0,187
,113
