_5_00_6_00pm,_3_00_4_00pm,_6_00_7_00am,date,_8_00_9_00pm,_5_00_6_00am,_11_00_12_00am
238.0,248.0,114,2012-01-09T00:00:00.000,157.0,67,95.0
399.0,365.0,90,2012-01-09T00:00:00.000,216.0,29,129.0
504.0,546.0,109,2012-01-13T00:00:00.000,244.0,44,127.0
496.0,489.0,109,2012-01-12T00:00:00.000,212.0,44,93.0
378.0,438.0,265,2012-01-11T00:00:00.000,211.0,98,112.0
518.0,665.0,169,2012-01-13T00:00:00.000,235.0,49,133.0
,,83,2012-01-14T00:00:00.000,,44,
392.0,393.0,102,2012-01-11T00:00:00.000,233.0,29,144.0
112.0,155.0,85,2012-01-11T00:00:00.000,66.0,24,47.0
143.0,115.0,34,2012-01-11T00:00:00.000,68.0,16,43.0
326.0,294.0,77,2012-01-10T00:00:00.000,98.0,40,76.0
399.0,507.0,225,2012-01-12T00:00:00.000,240.0,71,88.0
281.0,407.0,47,2012-01-10T00:00:00.000,87.0,20,32.0
516.0,630.0,277,2012-01-13T00:00:00.000,335.0,102,214.0
132.0,133.0,61,2012-01-13T00:00:00.000,70.0,34,60.0
619.0,624.0,277,2012-01-09T00:00:00.000,328.0,110,155.0
589.0,630.0,269,2012-01-10T00:00:00.000,344.0,104,179.0
346.0,363.0,208,2012-01-10T00:00:00.000,236.0,92,91.0
340.0,374.0,209,2012-01-13T00:00:00.000,248.0,94,154.0
528.0,536.0,105,2012-01-10T00:00:00.000,204.0,40,75.0
,,85,2012-01-14T00:00:00.000,,51,
,,130,2012-01-14T00:00:00.000,,88,
528.0,536.0,105,2012-01-10T00:00:00.000,204.0,40,75.0
771.0,918.0,308,2012-01-13T00:00:00.000,478.0,100,350.0
475.0,535.0,371,2012-01-11T00:00:00.000,288.0,120,115.0
500.0,454.0,111,2012-01-09T00:00:00.000,225.0,42,85.0
0.0,0.0,184,2012-01-13T00:00:00.000,0.0,71,0.0
400.0,461.0,257,2012-01-13T00:00:00.000,249.0,98,149.0
256.0,340.0,155,2012-01-12T00:00:00.000,165.0,40,54.0
211.0,235.0,110,2012-01-12T00:00:00.000,140.0,59,124.0
402.0,395.0,175,2012-01-11T00:00:00.000,190.0,154,146.0
264.0,341.0,150,2012-01-09T00:00:00.000,125.0,38,49.0
825.0,869.0,623,2012-01-11T00:00:00.000,515.0,296,221.0
642.0,578.0,278,2012-01-12T00:00:00.000,267.0,127,151.0
407.0,402.0,258,2012-01-12T00:00:00.000,207.0,93,115.0
666.0,670.0,282,2012-01-10T00:00:00.000,359.0,112,141.0
0.0,0.0,354,2012-01-13T00:00:00.000,0.0,251,0.0
,,23,2012-01-14T00:00:00.000,,10,
625.0,646.0,258,2012-01-11T00:00:00.000,278.0,84,165.0
394.0,409.0,178,2012-01-10T00:00:00.000,177.0,137,133.0
375.0,400.0,276,2012-01-10T00:00:00.000,243.0,69,95.0
578.0,552.0,217,2012-01-10T00:00:00.000,355.0,112,143.0
,,64,2012-01-14T00:00:00.000,,22,
144.0,127.0,33,2012-01-12T00:00:00.000,64.0,12,43.0
528.0,484.0,121,2012-01-11T00:00:00.000,236.0,40,71.0
301.0,326.0,28,2012-01-09T00:00:00.000,77.0,23,21.0
352.0,319.0,94,2012-01-09T00:00:00.000,152.0,54,100.0
614.0,580.0,237,2012-01-13T00:00:00.000,302.0,124,210.0
613.0,614.0,248,2012-01-11T00:00:00.000,294.0,92,142.0
474.0,469.0,92,2012-01-12T00:00:00.000,199.0,46,82.0
290.0,304.0,41,2012-01-09T00:00:00.000,91.0,16,38.0
529.0,539.0,187,2012-01-10T00:00:00.000,331.0,103,182.0
481.0,509.0,109,2012-01-13T00:00:00.000,244.0,42,108.0
308.0,424.0,33,2012-01-11T00:00:00.000,84.0,18,33.0
324.0,386.0,112,2012-01-11T00:00:00.000,252.0,69,106.0
171.0,180.0,59,2012-01-10T00:00:00.000,90.0,27,49.0
222.0,321.0,153,2012-01-13T00:00:00.000,127.0,39,63.0
567.0,638.0,255,2012-01-09T00:00:00.000,294.0,99,151.0
551.0,599.0,185,2012-01-11T00:00:00.000,234.0,59,107.0
229.0,284.0,128,2012-01-12T00:00:00.000,104.0,27,46.0
228.0,241.0,117,2012-01-10T00:00:00.000,159.0,58,107.0
281.0,242.0,334,2012-01-12T00:00:00.000,142.0,144,83.0
220.0,242.0,118,2012-01-11T00:00:00.000,98.0,24,38.0
504.0,546.0,109,2012-01-13T00:00:00.000,244.0,44,127.0
365.0,396.0,124,2012-01-12T00:00:00.000,202.0,60,148.0
557.0,677.0,233,2012-01-13T00:00:00.000,275.0,85,174.0
130.0,133.0,76,2012-01-12T00:00:00.000,67.0,27,33.0
345.0,649.0,45,2012-01-13T00:00:00.000,99.0,17,56.0
468.0,559.0,400,2012-01-12T00:00:00.000,297.0,123,130.0
0.0,0.0,202,2012-01-13T00:00:00.000,0.0,119,0.0
496.0,489.0,109,2012-01-12T00:00:00.000,212.0,44,93.0
386.0,479.0,217,2012-01-13T00:00:00.000,221.0,83,100.0
,,67,2012-01-14T00:00:00.000,,28,
131.0,98.0,31,2012-01-10T00:00:00.000,70.0,13,35.0
0.0,0.0,91,2012-01-13T00:00:00.000,0.0,49,0.0
496.0,593.0,165,2012-01-12T00:00:00.000,239.0,70,131.0
564.0,624.0,278,2012-01-09T00:00:00.000,297.0,105,129.0
270.0,284.0,196,2012-01-10T00:00:00.000,178.0,88,96.0
354.0,306.0,112,2012-01-11T00:00:00.000,183.0,61,105.0
,,77,2012-01-14T00:00:00.000,,57,
243.0,229.0,111,2012-01-09T00:00:00.000,113.0,49,63.0
538.0,648.0,417,2012-01-12T00:00:00.000,344.0,163,170.0
273.0,273.0,170,2012-01-11T00:00:00.000,177.0,75,95.0
231.0,254.0,124,2012-01-11T00:00:00.000,162.0,66,104.0
520.0,496.0,208,2012-01-09T00:00:00.000,339.0,102,189.0
627.0,616.0,407,2012-01-11T00:00:00.000,362.0,153,146.0
167.0,184.0,61,2012-01-12T00:00:00.000,86.0,23,51.0
,,17,2012-01-14T00:00:00.000,,13,
0.0,0.0,269,2012-01-13T00:00:00.000,0.0,170,0.0
723.0,854.0,700,2012-01-13T00:00:00.000,560.0,277,346.0
400.0,456.0,349,2012-01-10T00:00:00.000,220.0,250,148.0
752.0,708.0,268,2012-01-09T00:00:00.000,417.0,82,190.0
419.0,408.0,364,2012-01-09T00:00:00.000,253.0,227,131.0
313.0,406.0,38,2012-01-13T00:00:00.000,89.0,10,38.0
257.0,241.0,103,2012-01-11T00:00:00.000,129.0,38,60.0
512.0,654.0,422,2012-01-10T00:00:00.000,317.0,142,154.0
419.0,402.0,157,2012-01-13T00:00:00.000,226.0,66,132.0
174.0,197.0,66,2012-01-09T00:00:00.000,87.0,27,42.0
,,33,2012-01-14T00:00:00.000,,12,
337.0,353.0,103,2012-01-09T00:00:00.000,206.0,74,86.0
315.0,332.0,148,2012-01-11T00:00:00.000,226.0,54,109.0
751.0,708.0,175,2012-01-12T00:00:00.000,397.0,82,196.0
297.0,333.0,104,2012-01-11T00:00:00.000,107.0,42,67.0
528.0,484.0,121,2012-01-11T00:00:00.000,236.0,40,71.0
344.0,334.0,108,2012-01-10T00:00:00.000,164.0,60,115.0
492.0,479.0,382,2012-01-10T00:00:00.000,271.0,119,111.0
,,24,2012-01-14T00:00:00.000,,13,
743.0,788.0,293,2012-01-11T00:00:00.000,437.0,78,212.0
552.0,595.0,142,2012-01-09T00:00:00.000,251.0,56,92.0
116.0,150.0,72,2012-01-10T00:00:00.000,69.0,23,22.0
311.0,302.0,85,2012-01-09T00:00:00.000,106.0,41,85.0
333.0,379.0,163,2012-01-10T00:00:00.000,235.0,75,92.0
135.0,126.0,29,2012-01-13T00:00:00.000,58.0,28,54.0
561.0,708.0,260,2012-01-12T00:00:00.000,338.0,115,136.0
234.0,256.0,131,2012-01-10T00:00:00.000,105.0,46,70.0
