_11_00_12_00pm,_4_00_5_00am,_9_00_10_00pm,from
516,46,348.0,NARROWS RD SO
0,47,0.0,MACON ST
0,21,,UNION PLACE
402,161,201.0,SCHOLES ST
312,39,,CYPRESS AVENUE
380,159,191.0,SCHOLES ST
510,37,356.0,TILLMAN ST
265,15,148.0,LINCOLN ST
277,14,147.0,LINCOLN ST
336,50,149.0,CLINTON ST
559,49,,TILLMAN ST
278,21,190.0,LINCOLN ST
282,40,,CYPRESS AVENUE
158,3,83.0,NORTHERN BOULEVARD
339,47,,NECKAR AVE
