school_name,swd,poverty,white
Pace High School,18.5%,73.6%,2.6%
P.S. 77 Lower Lab School,11.1%,4.2%,54.3%
"Facing History School, The",23.2%,100.0%,1.6%
Gramercy Arts High School,15.2%,78.1%,6.6%
P.S. 146 Ann M. Short,39.8%,98.1%,2.2%
Pre-K Center District 02,5.8%,12.1%,45.4%
Earth School,23.9%,49.5%,38.4%
P.S. 89,16.0%,2.9%,60.9%
"Urban Assembly School of Business for Young Women, the",14.2%,80.4%,1.5%
P.S. 050 Vito Marcantonio,30.8%,100.0%,0.8%
Millennium High School,11.8%,43.7%,33.1%
School for Global Leaders,36.4%,66.1%,1.8%
P.S. 165 Robert E. Simon,20.4%,74.4%,15.7%
P.S. 188 The Island School,30.6%,100.0%,3.4%
HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,23.8%,87.0%,3.5%
Manhattan International High School,3.9%,100.0%,11.8%
P.S. 102 Jacques Cartier,26.8%,85.6%,4.8%
River East Elementary,23.1%,80.2%,1.6%
Columbia Secondary School,12.4%,54.3%,20.5%
Mosaic Preparatory Academy,34.1%,95.0%,1.3%
Marta Valle High School,29.4%,90.7%,2.0%
"Technology, Arts, and Sciences Studio",44.9%,75.6%,4.7%
Humanities Preparatory Academy,20.0%,76.0%,8.4%
P.S. 123 Mahalia Jackson,21.6%,89.4%,3.5%
INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,3.3%,84.8%,8.0%
P.S. 155 William Paca,30.6%,98.0%,0.7%
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,15.7%,72.4%,5.2%
Academy for Social Action: A College Board School,32.0%,83.6%,0.8%
P.S. 185 - The Early Childhood Discovery and Design Magnet School,20.5%,85.5%,5.1%
Art and Design High School,20.2%,65.6%,14.4%
Manhattan Early College School for Advertising (P-Tech),21.9%,81.7%,9.3%
P.S. 040 Augustus Saint-Gaudens,16.6%,8.3%,61.8%
FRANK McCOURT HIGH SCHOOL,20.4%,51.6%,29.9%
Urban Assembly School for the Performing Arts,23.8%,87.4%,0.6%
Manhattan Bridges High School,5.0%,100.0%,0.0%
New York City Lab Middle School for Collaborative Studies,15.3%,30.3%,33.5%
Stephen T. Mather Building Arts & Craftsmanship HS,27.0%,81.0%,7.4%
Isaac Newton Middle School for Math & Science,27.4%,90.4%,3.0%
P.S. 009 Sarah Anderson,16.7%,19.5%,58.8%
High School M560 - City As School,20.0%,45.8%,13.1%
Amistad Dual Language School,13.2%,79.2%,4.7%
THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,26.6%,84.0%,4.4%
P.S. 333 Manhattan School for Children,18.3%,14.8%,60.8%
New Design High School,27.5%,100.0%,1.7%
P.S. 125 Ralph Bunche,17.9%,72.5%,11.5%
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,6.6%,90.3%,2.4%
P.S. 149 Sojourner Truth,30.1%,96.5%,3.9%
The Children's Workshop School,21.7%,48.1%,36.6%
The Urban Assembly School for Emergency Management,19.0%,100.0%,4.8%
Lower Manhattan Arts Academy,34.7%,100.0%,3.1%
P.S. 075 Emily Dickinson,32.0%,72.3%,15.8%
P.S. 019 Asher Levy,31.0%,76.4%,5.5%
NYC iSchool,14.0%,37.4%,36.5%
Landmark High School,24.5%,86.1%,1.8%
Academy for Software Engineering,24.2%,72.7%,10.3%
Lower Manhattan Community Middle School,25.4%,56.7%,27.5%
P.S. 132 Juan Pablo Duarte,22.6%,100.0%,0.5%
The Peck Slip School,16.2%,7.2%,55.4%
Ella Baker School,20.9%,34.7%,32.8%
Sixth Avenue Elementary School,15.9%,6.3%,65.4%
New Design Middle School,35.8%,90.1%,3.1%
"Urban Assembly School for Media Studies, The",18.1%,77.9%,2.0%
P.S. 142 Amalia Castro,32.0%,97.8%,1.1%
Hamilton Grange Middle School,20.7%,90.7%,2.8%
MANHATTAN BUSINESS ACADEMY,20.1%,84.7%,4.2%
M.S. 324 - Patria Mirabal,23.9%,89.1%,2.4%
