dbn,total_enrollment,transfer_school,grades_pk_5_enrollment,_6_year_graduates,black,ela_tested,district,building_id_s,is_org_split_sited,ela_proficient_l3_4_1,ela_proficient_l3_4_2,asian,total_grad_cohort,ell
02M276,850,No,578,No Data,4.9%,543,2,M276,NO,409,75.3%,19.9%,No Data,1.6%
01M515,559,Yes,0,35.6%,10.7%,No Data,1,M025,NO,No Data,No Data,62.1%,248,69.8%
06M052,332,No,0,No Data,4.2%,280,6,M052,NO,60,21.4%,0.3%,No Data,41.6%
02M347,195,No,161,No Data,21.5%,35,2,M047,NO,20,57.1%,2.6%,No Data,4.6%
03M076,508,No,347,No Data,77.6%,262,3,M076,NO,57,21.8%,0.0%,No Data,8.5%
03M250,190,No,0,No Data,27.4%,156,3,M075,NO,51,32.7%,2.6%,No Data,5.3%
02M507,468,No,0,100.0%,29.7%,No Data,2,M625,NO,No Data,No Data,10.0%,120,3.2%
02M520,407,No,0,72.0%,48.9%,No Data,2,M520,NO,No Data,No Data,8.8%,220,8.6%
06M143,316,No,0,No Data,0.9%,265,6,M143,NO,42,15.8%,0.0%,No Data,55.1%
02M500,261,No,0,78.2%,29.5%,No Data,2,M620,NO,No Data,No Data,3.8%,77,8.8%
02M288,400,No,0,87.8%,38.7%,No Data,2,M535,NO,No Data,No Data,5.0%,94,5.2%
05M302,145,No,0,No Data,55.2%,134,5,M136,NO,12,9.0%,4.8%,No Data,15.2%
03M258,223,No,0,No Data,45.7%,180,3,M118,NO,81,45.0%,1.3%,No Data,2.2%
04M377,142,No,0,No Data,38.7%,124,4,M155,NO,31,25.0%,0.7%,No Data,7.0%
01M063,200,No,200,No Data,18.5%,63,1,M063,NO,39,61.9%,4.0%,No Data,3.0%
05M175,311,No,311,No Data,58.8%,145,5,M175,NO,31,21.4%,3.9%,No Data,15.1%
02M400,1227,No,0,89.2%,16.5%,No Data,2,M834,NO,No Data,No Data,13.0%,309,7.7%
02M114,443,No,0,No Data,3.2%,437,2,M114,NO,399,91.3%,14.0%,No Data,0.0%
02M294,352,No,0,74.0%,39.5%,No Data,2,M445,NO,No Data,No Data,5.1%,88,4.3%
01M064,247,No,247,No Data,19.4%,99,1,M064,NO,29,29.3%,5.3%,No Data,4.0%
02M393,449,No,0,82.8%,31.6%,No Data,2,M625,NO,No Data,No Data,2.0%,85,8.5%
01M458,212,Yes,0,31.8%,35.8%,No Data,1,M510,NO,No Data,No Data,0.5%,82,5.2%
02M449,459,No,0,80.2%,25.3%,No Data,2,M480,NO,No Data,No Data,5.2%,101,4.8%
03M479,1304,No,0,99.7%,13.6%,No Data,3,M912,NO,No Data,No Data,8.1%,363,0.2%
05M092,277,No,277,No Data,59.9%,115,5,M092,NO,41,35.7%,0.7%,No Data,10.1%
02M408,544,No,0,100.0%,19.3%,70,2,M017,NO,67,95.7%,6.4%,113,0.0%
04M435,1604,No,0,96.4%,20.0%,No Data,4,M435,NO,No Data,No Data,19.0%,380,5.2%
06M211,285,No,0,No Data,17.9%,No Data,6,M052,NO,No Data,No Data,2.1%,No Data,15.8%
03M421,201,No,0,No Data,57.7%,180,3,M145,NO,57,31.7%,1.5%,No Data,7.0%
03M862,342,No,0,No Data,26.3%,305,3,M165,NO,211,69.2%,6.4%,No Data,2.6%
02M413,763,No,0,96.6%,11.4%,254,2,M660,NO,167,65.7%,15.6%,98,1.0%
05M194,188,No,188,No Data,47.9%,84,5,M194,NO,11,13.1%,1.6%,No Data,18.1%
02M212,375,No,375,No Data,5.6%,159,2,M017,NO,107,67.3%,12.3%,No Data,2.7%
03M208,124,No,124,No Data,59.7%,118,3,M208,NO,19,16.1%,4.0%,No Data,11.3%
04M406,134,No,0,No Data,47.0%,114,4,M007,NO,20,17.5%,3.0%,No Data,10.4%
04M555,490,No,0,97.0%,24.9%,No Data,4,M013,NO,No Data,No Data,9.8%,104,2.7%
02M305,316,No,0,91.5%,36.7%,No Data,2,M445,NO,No Data,No Data,5.1%,71,5.1%
02M414,454,No,0,100.0%,13.0%,No Data,2,M070,NO,No Data,No Data,29.7%,119,1.3%
03M452,319,No,319,No Data,7.5%,129,3,M044,NO,110,85.3%,9.7%,No Data,2.2%
06M322,321,No,0,No Data,3.7%,278,6,M218,NO,61,21.9%,0.6%,No Data,41.4%
02M051,389,No,389,No Data,12.1%,144,2,M338,NO,71,49.3%,20.8%,No Data,9.8%
06M115,531,No,531,No Data,0.9%,217,6,M115,NO,44,20.3%,0.4%,No Data,32.6%
03M404,174,Yes,0,58.8%,35.1%,No Data,3,M470,NO,No Data,No Data,0.6%,69,0.6%
02M300,391,No,0,82.4%,25.3%,No Data,2,M535,NO,No Data,No Data,3.6%,81,11.0%
02M158,781,No,781,No Data,2.3%,299,2,M158,NO,256,85.6%,12.7%,No Data,5.5%
03M247,211,No,0,No Data,0.9%,182,3,M084,NO,65,35.7%,0.0%,No Data,28.0%
02M615,437,No,0,86.4%,21.5%,No Data,2,M615,NO,No Data,No Data,11.2%,94,3.4%
03M492,498,No,0,81.0%,37.1%,No Data,3,M490,NO,No Data,No Data,2.4%,106,6.6%
03M334,551,No,337,No Data,3.6%,368,3,M044,NO,354,96.2%,26.5%,No Data,0.0%
03M403,428,No,0,81.3%,24.5%,No Data,3,M470,NO,No Data,No Data,1.9%,100,16.1%
04M171,742,No,461,No Data,26.3%,461,4,M171,NO,287,62.3%,6.2%,No Data,2.4%
02M198,468,No,468,No Data,9.2%,183,2,M198,NO,111,60.7%,20.3%,No Data,6.4%
06M293,598,No,0,98.7%,3.5%,241,6,M218,NO,114,47.3%,0.5%,88,5.2%
04M964,387,No,309,No Data,29.5%,156,4,"M108, M171",YES,76,48.7%,6.7%,No Data,1.0%
03M145,370,No,370,No Data,29.7%,121,3,M145,NO,25,20.7%,1.1%,No Data,10.5%
02M394,309,Yes,0,60.5%,8.1%,No Data,2,M131,NO,No Data,No Data,48.2%,59,79.9%
01M650,239,Yes,0,68.2%,34.3%,No Data,1,M510,NO,No Data,No Data,3.8%,112,2.5%
01M450,699,No,0,89.7%,18.0%,233,1,M060,NO,114,48.9%,11.2%,90,0.6%
03M256,149,No,0,No Data,53.7%,124,3,M118,NO,31,25.0%,0.7%,No Data,20.1%
02M289,281,No,0,No Data,5.7%,267,2,M089,NO,187,70.0%,42.0%,No Data,1.1%
01M292,140,No,0,55.6%,24.3%,No Data,1,M056,NO,No Data,No Data,15.0%,44,15.7%
04M206,479,No,293,No Data,26.7%,415,4,M112,NO,89,21.4%,2.9%,No Data,13.2%
04M108,513,No,282,No Data,29.8%,337,4,M108,NO,50,14.8%,3.3%,No Data,11.9%
04M372,586,No,0,0.0%,10.9%,175,4,M117,NO,31,17.7%,1.7%,70,29.5%
06M192,281,No,281,No Data,8.9%,122,6,M192,NO,39,32.0%,0.7%,No Data,32.0%
01M839,374,No,0,No Data,16.0%,253,1,M064,NO,143,56.5%,26.5%,No Data,3.7%
06M314,281,No,281,No Data,2.1%,107,6,M176,NO,80,74.8%,5.7%,No Data,5.0%
