nm_ref,pub_dt,tx_amt
N,20220426,300
N,20250116,820
N,20220426,250
N,20250501,0
N,20200416,300
R,20210426,275
R,20220426,170
N,20250116,300
N,20240116,130
N,20240424,265
N,20250501,680
N,20240424,0
N,20250501,1750
R,20210426,228
N,20220216,250
R,20220426,119
N,20240424,0
R,20240424,173
N,20230426,240
R,20210426,288
N,20250501,820
N,20240116,0
N,20210426,0
R,20230112,68
N,20210114,200
N,20220216,250
N,20230426,0
N,20240116,0
R,20230426,68
N,20240424,0
N,20220216,250
N,20230112,350
R,20240424,0
R,20250116,0
R,20250501,247
N,20250116,680
N,20230112,0
R,20230426,118
N,20240116,265
N,20230426,300
N,20250501,300
N,20240424,0
N,20220426,250
N,20250501,0
N,20200416,600
N,20240424,0
R,20250501,0
N,20210114,0
N,20220426,250
N,20240424,130
N,20230112,125
N,20230426,125
R,20230426,0
N,20240424,250
N,20200416,0
N,20200416,500
N,20210426,200
N,20210114,173
N,20250501,0
N,20240424,700
N,20230112,400
R,20200416,423
N,20210426,300
N,20240116,0
N,20210426,0
R,20210114,275
N,20200416,500
N,20230426,400
N,20250501,0
R,20220426,54
N,20230426,350
R,20220216,119
N,20210114,0
R,20210114,1500
N,20240116,700
R,20250501,0
N,20250501,0
N,20200416,130
R,20250501,210
N,20250501,300
N,20210426,200
R,20210114,288
N,20210426,173
R,20210426,1500
R,20240116,173
