number_of_students
32
51
20
27
26
13
46
19
16
30
26
152
23
21
25
21
37
17
19
16
30
27
21
22
18
20
27
23
29
36
30
20
42
24
32
35
95
48
116
11
15
20
24
46
16
26
16
28
47
47
22
24
54
87
22
24
12
25
22
23
59
49
19
27
25
41
56
116
19
18
58
19
13
27
18
25
23
112
25
21
21
12
20
26
21
31
21
19
22
20
24
20
46
19
21
38
39
30
22
25
21
23
23
122
28
35
27
9
24
22
39
17
13
20
19
48
61
22
35
43
21
48
19
18
23
93
62
25
21
94
25
20
26
41
27
28
18
25
8
27
70
11
21
23
23
17
46
22
19
55
55
149
24
13
48
12
10
18
24
29
20
25
26
21
52
28
136
18
21
30
26
30
100
27
62
59
16
44
30
32
21
43
86
23
19
14
18
23
60
15
48
27
22
25
41
36
18
13
25
54
