average_class_size,number_of_classes
16.0,2
25.5,2
20.0,1
27.0,1
26.0,1
13.0,1
23.0,2
19.0,1
16.0,1
30.0,1
26.0,1
30.4,5
23.0,1
21.0,1
25.0,1
21.0,1
12.3,3
17.0,1
19.0,1
16.0,1
30.0,1
27.0,1
21.0,1
22.0,1
18.0,1
20.0,1
27.0,1
23.0,1
14.5,2
18.0,2
30.0,1
20.0,1
21.0,2
24.0,1
32.0,1
17.5,2
31.7,3
24.0,2
29.0,4
11.0,1
15.0,1
10.0,2
24.0,1
23.0,2
16.0,1
26.0,1
16.0,1
28.0,1
23.5,2
23.5,2
22.0,1
24.0,1
27.0,2
12.4,7
22.0,1
24.0,1
12.0,1
25.0,1
22.0,1
23.0,1
29.5,2
24.5,2
19.0,1
27.0,1
25.0,1
20.5,2
28.0,2
29.0,4
19.0,1
18.0,1
29.0,2
19.0,1
13.0,1
27.0,1
18.0,1
25.0,1
23.0,1
28.0,4
25.0,1
21.0,1
21.0,1
12.0,1
20.0,1
26.0,1
21.0,1
31.0,1
21.0,1
19.0,1
22.0,1
10.0,2
24.0,1
20.0,1
23.0,2
19.0,1
21.0,1
19.0,2
19.5,2
15.0,2
22.0,1
25.0,1
21.0,1
23.0,1
23.0,1
30.5,4
28.0,1
35.0,1
27.0,1
9.0,1
24.0,1
22.0,1
19.5,2
17.0,1
13.0,1
20.0,1
19.0,1
16.0,3
30.5,2
22.0,1
35.0,1
21.5,2
21.0,1
24.0,2
19.0,1
18.0,1
23.0,1
31.0,3
20.7,3
25.0,1
21.0,1
31.3,3
25.0,1
20.0,1
26.0,1
20.5,2
27.0,1
28.0,1
18.0,1
25.0,1
8.0,1
27.0,1
10.0,7
11.0,1
21.0,1
23.0,1
23.0,1
17.0,1
15.3,3
22.0,1
19.0,1
27.5,2
27.5,2
29.8,5
24.0,1
13.0,1
24.0,2
12.0,1
10.0,1
18.0,1
24.0,1
29.0,1
20.0,1
25.0,1
26.0,1
21.0,1
26.0,2
28.0,1
27.2,5
18.0,1
21.0,1
30.0,1
26.0,1
30.0,1
25.0,4
13.5,2
20.7,3
29.5,2
16.0,1
14.7,3
30.0,1
32.0,1
21.0,1
21.5,2
12.3,7
23.0,1
19.0,1
14.0,1
18.0,1
23.0,1
30.0,2
15.0,1
16.0,3
27.0,1
22.0,1
25.0,1
20.5,2
18.0,2
18.0,1
13.0,1
25.0,1
18.0,3
