maximum_class_size,dbn,grade_level
17,01M301,6
26,01M301,8
20,01M063,1
27,01M184,7
26,01M315,2
13,01M140,K
24,01M184,6
19,01M188,3
16,01M064,2
30,01M140,8
26,01M110,1
31,01M539,6
23,01M378,8
21,01M315,4
25,01M140,4
21,01M188,6
19,01M363,K
17,01M034,5
19,01M363,K
16,01M034,4
30,01M064,3
27,01M188,7
21,01M142,K
22,01M034,8
18,01M015,2
20,01M188,4
27,01M110,1
23,01M142,1
19,01M378,6
18,01M034,8
30,01M539,2
20,01M188,5
21,01M364,K
24,01M301,7
32,01M361,5
18,01M361,4
32,01M839,6
26,01M184,6
30,01M539,4
11,01M134,1
15,01M015,2
12,01M019,K
24,01M110,5
24,01M184,1
16,01M188,K
26,01M063,2
16,01M019,5
28,01M140,7
24,01M315,5
25,01M361,3
22,01M015,4
24,01M315,1
28,01M184,2
15,01M450,8
22,01M110,K
24,01M110,5
12,01M064,K
25,01M110,K
22,01M034,3
23,01M142,2
31,01M539,2
25,01M184,3
19,01M034,6
27,01M140,6
25,01M110,2
21,01M142,3
29,01M184,7
29,01M539,1
19,01M188,5
18,01M142,5
29,01M184,8
19,01M361,K
13,01M015,3
27,01M188,8
18,01M020,2
25,01M110,4
23,01M184,1
29,01M539,5
25,01M034,3
21,01M063,K
21,01M015,1
12,01M140,K
20,01M015,K
26,01M363,3
21,01M188,K
31,01M839,7
21,01M188,2
19,01M034,5
22,01M140,5
12,01M019,1
24,01M315,2
20,01M364,K
24,01M134,4
19,01M063,K
21,01M188,1
21,01M361,K
20,01M184,4
17,01M378,6
22,01M063,3
25,01M020,3
21,01M134,2
23,01M134,3
23,01M063,4
31,01M539,3
28,01M110,3
35,01M064,5
27,01M140,7
9,01M015,4
24,01M188,3
22,01M034,2
21,01M378,7
17,01M142,5
13,01M134,1
20,01M315,K
19,01M188,1
17,01M020,1
32,01M332,8
22,01M184,3
35,01M064,4
23,01M142,4
21,01M020,K
24,01M184,K
19,01M064,1
18,01M034,1
23,01M142,1
32,01M839,7
22,01M378,8
25,01M140,6
21,01M142,2
33,01M839,8
25,01M064,1
20,01M020,4
26,01M184,5
22,01M034,7
27,01M184,5
28,01M020,1
18,01M034,6
25,01M363,3
8,01M015,K
27,01M063,5
12,01M450,7
11,01M015,1
21,01M064,2
23,01M140,2
23,01M188,4
17,01M110,K
23,01M020,2
22,01M188,2
19,01M034,4
29,01M020,4
28,01M364,3
30,01M539,7
24,01M034,K
13,01M019,K
25,01M315,3
12,01M019,2
10,01M015,3
18,01M134,K
24,01M184,K
29,01M184,8
20,01M188,7
25,01M140,1
26,01M015,5
21,01M134,3
26,01M134,5
28,01M110,4
29,01M539,8
18,01M134,2
21,01M020,5
30,01M140,8
26,01M184,4
30,01M110,2
25,01M539,K
14,01M019,2
27,01M332,6
30,01M332,7
16,01M110,3
17,01M019,3
30,01M839,6
32,01M839,8
21,01M110,5
22,01M142,K
13,01M450,6
23,01M019,4
19,01M315,4
14,01M019,4
18,01M140,3
23,01M188,6
31,01M539,2
15,01M064,K
22,01M020,K
27,01M188,8
22,01M019,5
25,01M315,1
21,01M020,5
21,01M378,7
18,01M134,K
13,01M019,1
25,01M315,K
24,01M020,3
