program_type,minimum_class_size
ICT,15
ICT,25
ICT,20
Gen Ed,27
ICT,26
Gen Ed,13
ICT,22
Gen Ed,19
Gen Ed,16
Gen Ed,30
G&T,26
ICT,30
Gen Ed,23
Gen Ed,21
Gen Ed,25
Gen Ed,21
Gen Ed,9
Gen Ed,17
ICT,19
Gen Ed,16
ICT,30
Gen Ed,27
Gen Ed,21
Gen Ed,22
ICT,18
ICT,20
ICT,27
ICT,23
Gen Ed,10
ICT,18
ICT,30
Gen Ed,20
Gen Ed,21
ICT,24
ICT,32
ICT,17
ICT,31
Gen Ed,22
ICT & G&T,27
Gen Ed,11
G&T,15
ICT,8
ICT,24
Gen Ed,22
Gen Ed,16
ICT,26
ICT,16
Gen Ed,28
ICT,23
ICT,22
ICT,22
Gen Ed,24
ICT,26
ICT,9
Gen Ed,22
Gen Ed,24
Gen Ed,12
ICT,25
ICT,22
ICT,23
ICT & G&T,28
Gen Ed,24
Gen Ed,19
ICT,27
ICT,25
ICT,20
ICT,27
ICT & G&T,29
ICT,19
ICT,18
ICT,29
ICT,19
ICT,13
ICT,27
ICT,18
ICT & G&T,25
ICT,23
ICT & G&T,27
Gen Ed,25
ICT,21
ICT,21
ICT,12
ICT,20
ICT,26
ICT,21
Gen Ed,31
Gen Ed,21
ICT,19
Gen Ed,22
ICT,8
Gen Ed,24
ICT,20
ICT,22
Gen Ed,19
ICT,21
Gen Ed,17
Gen Ed,19
ICT,13
ICT,22
ICT,25
Gen Ed,21
ICT,23
ICT,23
ICT & G&T,29
G&T,28
ICT,35
ICT,27
Gen Ed,9
ICT,24
ICT,22
ICT,18
Gen Ed,17
ICT,13
Gen Ed,20
Gen Ed,19
Gen Ed,15
ICT,29
ICT,22
ICT,35
ICT,20
ICT,21
Gen Ed,24
Gen Ed,19
ICT,18
Gen Ed,23
ICT,30
ICT,19
Gen Ed,25
Gen Ed,21
ICT,30
ICT,25
Gen Ed,20
ICT,26
ICT,19
Gen Ed,27
ICT,28
ICT,18
Gen Ed,25
G&T,8
ICT,27
ICT,8
G&T,11
ICT,21
Gen Ed,23
Gen Ed,23
G&T,17
Gen Ed,11
ICT,22
ICT,19
ICT,26
ICT,27
ICT,29
ICT,24
Gen Ed,13
ICT,23
Gen Ed,12
G&T,10
ICT,18
ICT,24
Gen Ed,29
ICT,20
Gen Ed,25
ICT,26
Gen Ed,21
ICT,26
G&T,28
ICT,25
ICT,18
ICT,21
ICT,30
ICT,26
G&T,30
G&T,25
ICT,13
ICT,17
ICT,29
ICT,16
ICT,13
Gen Ed,30
Gen Ed,32
G&T,21
ICT,21
ICT,12
Gen Ed,23
ICT,19
ICT,14
Gen Ed,18
ICT,23
G&T,29
ICT,15
Gen Ed,13
Gen Ed,27
Gen Ed,22
ICT,25
Gen Ed,20
Gen Ed,15
Gen Ed,18
Gen Ed,13
ICT,25
Gen Ed,15
