wt4,year,lane,spc5,spc1
,23,2,,8.6
,23,1,,9.5
,23,2,,8.8
,23,2,,9.3
,23,2,,8.8
,23,1,,4.0
,23,1,,8.6
,23,1,,8.7
,23,1,,10.3
7260.0,23,1,,22.6
,23,1,,8.8
,23,1,,12.4
,23,1,,9.8
,23,2,,9.1
,23,1,,9.3
,23,1,,8.7
,23,2,,9.7
,23,1,,9.2
,23,2,,8.8
,23,2,,12.1
,23,2,,9.4
,23,1,,12.3
,23,2,,9.1
,23,2,,9.0
,23,1,,11.6
,23,2,,13.2
10840.0,23,1,,12.9
,23,1,,11.5
,23,2,,8.7
,23,2,,9.1
,23,1,,8.8
,23,1,,9.8
13480.0,23,1,,12.5
,23,1,,9.2
,23,1,,9.1
,23,1,,9.3
,23,2,,11.7
,23,2,,9.3
,23,2,,9.3
,23,1,,9.4
,23,1,,8.8
,23,1,,9.3
,23,2,,11.3
,23,1,,14.2
8020.0,23,2,,13.3
,23,1,,8.4
,23,2,,8.8
,23,1,,8.3
,23,2,,9.2
,23,2,,10.1
,23,1,,9.6
,23,2,,14.1
,23,1,,9.2
,23,2,,9.0
,23,2,,11.5
,23,2,,11.4
,23,1,,26.1
,23,1,,9.3
,23,2,,9.1
,23,2,,8.6
,23,2,,8.8
,23,1,,9.9
,23,1,,22.6
,23,2,,8.7
,23,2,,9.3
,23,2,,8.8
,23,2,,9.2
,23,2,,8.7
,23,1,,9.5
,23,1,,12.1
,23,1,,10.8
16780.0,23,1,4.3,17.5
,23,2,,10.0
,23,2,,9.8
,23,1,,18.3
,23,1,,19.9
,23,2,,14.2
,23,2,,10.5
15660.0,23,1,,17.3
,23,2,,9.8
,23,2,,8.8
,23,1,,9.1
,23,2,,9.9
,23,2,,9.3
,23,1,,8.9
,23,2,,21.0
,23,2,,8.6
,23,2,,9.5
,23,2,,8.8
10220.0,23,2,,16.3
,23,2,,9.3
,23,1,,8.8
,23,1,,9.9
,23,1,,12.0
,23,1,,14.7
,23,1,,9.5
,23,1,,9.2
,23,1,,9.1
,23,1,,8.6
,23,1,,9.3
,23,1,,9.1
,23,2,,9.3
,23,2,,10.1
,23,1,,9.3
,23,1,,9.3
,23,2,,9.4
,23,1,,8.8
,23,1,,10.0
,23,2,,8.6
,23,2,,9.6
,23,2,,9.8
,23,1,,12.5
,23,2,,9.3
,23,2,,9.0
,23,1,,9.7
,23,1,,9.2
,23,2,,8.7
,23,2,,9.1
,23,1,,9.2
,23,1,,9.7
,23,2,,9.9
,23,2,,9.3
,23,2,,8.8
,23,1,,9.1
,23,2,,9.3
,23,2,,9.2
,23,2,,8.9
,23,1,,8.6
,23,2,,9.0
,23,2,,10.8
,23,2,,10.2
,23,2,,9.2
,23,1,,8.9
,23,2,,9.0
,23,2,,9.4
,23,2,,9.2
,23,1,,9.5
,23,2,,9.2
,23,2,,9.8
,23,1,,9.3
,23,1,,11.6
,23,1,,9.7
,23,2,,9.5
,23,1,,9.1
,23,2,,9.9
,23,1,,15.7
,23,2,,11.1
,23,2,,10.9
,23,1,,10.1
,23,2,,11.3
,23,1,,8.9
,23,1,,8.9
,23,2,,8.8
,23,1,,8.9
,23,1,,22.6
,23,1,,9.0
,23,1,,9.1
,23,2,,10.1
,23,1,,9.2
,23,2,,8.6
,23,1,,8.9
,23,1,,9.3
,23,2,,11.7
,23,2,,9.1
,23,1,,13.1
,23,1,,10.4
,23,2,,12.3
,23,1,,8.9
,23,2,,9.3
,23,1,,9.3
,23,2,,8.8
,23,1,,9.3
,23,2,,8.7
,23,1,,9.4
,23,2,,10.1
,23,2,,9.4
,23,1,,9.6
,23,1,,8.8
,23,2,,9.1
,23,2,,12.3
,23,2,,10.8
,23,2,,22.5
,23,2,,9.1
,23,1,,15.0
,23,1,,9.9
,23,1,,12.1
,23,1,,8.7
,23,1,,10.1
,23,2,,9.4
,23,1,,9.8
,23,1,,9.2
,23,2,,8.6
,23,1,,10.0
,23,2,,9.9
,23,1,,12.0
,23,1,,12.6
,23,1,,8.8
,23,2,,11.5
,23,2,,10.1
,23,1,,9.5
