wheelbase,num_axles,wt5,month
8.6,2,,4
9.5,2,,12
8.8,2,,8
9.3,2,,4
8.8,2,,7
4.0,2,,8
8.6,2,,3
8.7,2,,6
10.3,2,,7
59.6,5,10420.0,2
8.8,2,,1
12.4,2,,6
9.8,2,,10
9.1,2,,4
9.3,2,,11
8.7,2,,12
9.7,2,,11
9.2,2,,11
8.8,2,,4
12.1,2,,6
9.4,2,,7
12.3,2,,1
9.1,2,,3
9.0,2,,12
11.6,2,,9
13.2,2,,1
43.7,5,12280.0,9
11.5,2,,7
8.7,2,,12
9.1,2,,10
8.8,2,,4
9.8,2,,8
43.0,5,13560.0,6
9.2,2,,5
9.1,2,,10
9.3,2,,4
11.7,2,,3
9.3,2,,2
9.3,2,,6
9.4,2,,12
8.8,2,,8
9.3,2,,1
11.3,2,,3
14.2,2,,12
54.3,4,,5
8.4,2,,11
8.8,2,,7
8.3,2,,1
9.2,2,,10
10.1,2,,4
9.6,2,,2
14.1,2,,3
9.2,2,,8
9.0,2,,5
11.5,2,,11
11.4,2,,3
30.1,3,,8
9.3,2,,12
9.1,2,,7
8.6,2,,9
8.8,2,,1
9.9,2,,1
22.6,2,,11
8.7,2,,8
9.3,2,,4
8.8,2,,12
9.2,2,,2
8.7,2,,2
9.5,2,,2
12.1,2,,1
10.8,2,,4
45.6,7,21740.0,7
10.0,2,,6
9.8,2,,6
18.3,2,,4
24.5,3,,7
14.2,2,,9
10.5,2,,6
62.2,5,14200.0,7
9.8,2,,4
8.8,2,,7
9.1,2,,7
9.9,2,,4
9.3,2,,2
8.9,2,,7
21.0,2,,6
8.6,2,,1
9.5,2,,5
8.8,2,,7
57.5,5,11100.0,12
9.3,2,,1
8.8,2,,7
9.9,2,,3
12.0,2,,11
14.7,2,,4
9.5,2,,8
9.2,2,,6
9.1,2,,8
8.6,2,,9
9.3,2,,9
9.1,2,,1
9.3,2,,4
10.1,2,,2
9.3,2,,11
9.3,2,,2
9.4,2,,7
8.8,2,,9
10.0,2,,6
8.6,2,,8
9.6,2,,4
9.8,2,,7
12.5,2,,7
9.3,2,,12
9.0,2,,9
9.7,2,,8
9.2,2,,12
8.7,2,,6
9.1,2,,12
9.2,2,,12
9.7,2,,12
9.9,2,,2
9.3,2,,11
8.8,2,,5
9.1,2,,9
9.3,2,,4
9.2,2,,7
8.9,2,,11
8.6,2,,8
9.0,2,,3
10.8,2,,12
10.2,2,,12
9.2,2,,4
8.9,2,,9
9.0,2,,1
9.4,2,,7
9.2,2,,4
9.5,2,,9
9.2,2,,8
9.8,2,,1
9.3,2,,3
11.6,2,,6
9.7,2,,2
9.5,2,,9
9.1,2,,7
9.9,2,,5
15.7,2,,10
11.1,2,,1
10.9,2,,3
10.1,2,,10
11.3,2,,11
8.9,2,,5
8.9,2,,3
8.8,2,,1
8.9,2,,7
22.6,2,,1
9.0,2,,7
9.1,2,,2
10.1,2,,12
9.2,2,,8
8.6,2,,3
8.9,2,,5
9.3,2,,11
11.7,2,,9
9.1,2,,7
17.6,3,,10
10.4,2,,8
12.3,2,,10
8.9,2,,5
9.3,2,,2
9.3,2,,3
8.8,2,,4
9.3,2,,6
8.7,2,,2
9.4,2,,1
10.1,2,,12
9.4,2,,3
9.6,2,,9
8.8,2,,2
9.1,2,,8
12.3,2,,2
10.8,2,,8
22.5,2,,9
9.1,2,,7
15.0,2,,2
9.9,2,,12
12.1,2,,4
8.7,2,,11
10.1,2,,12
9.4,2,,6
9.8,2,,10
9.2,2,,9
8.6,2,,8
10.0,2,,5
9.9,2,,4
12.0,2,,8
12.6,2,,8
8.8,2,,7
11.5,2,,9
10.1,2,,2
9.5,2,,1
