spc4,day,speed,wt7
,20,49,
,2,48,
,19,50,
,1,56,
,26,43,
,15,46,
,18,37,
,10,45,
,24,47,
4.1,16,40,
,23,41,
,22,41,
,26,18,
,5,47,
,19,54,
,17,38,
,13,48,
,24,51,
,4,51,
,29,49,
,7,49,
,26,50,
,23,42,
,16,50,
,5,46,
,4,46,
4.1,22,42,
,5,48,
,1,45,
,9,42,
,15,42,
,21,49,
4.1,14,41,
,25,43,
,13,43,
,4,38,
,7,50,
,8,44,
,23,49,
,6,29,
,17,53,
,16,49,
,10,50,
,26,34,
,2,45,
,12,47,
,24,54,
,13,45,
,26,47,
,23,45,
,3,64,
,30,42,
,26,50,
,11,43,
,28,59,
,11,52,
,26,47,
,6,43,
,6,39,
,20,35,
,21,49,
,16,43,
,1,49,
,20,48,
,2,51,
,2,46,
,17,40,
,19,65,
,19,40,
,30,42,
,26,35,
4.4,20,34,22560.0
,3,46,
,27,29,
,25,40,
,11,44,
,25,53,
,5,49,
10.2,29,35,
,21,59,
,23,47,
,16,49,
,9,46,
,15,41,
,31,37,
,28,48,
,31,49,
,8,49,
,31,51,
4.0,20,38,
,25,39,
,21,54,
,8,43,
,24,43,
,14,39,
,25,43,
,7,44,
,21,41,
,1,50,
,1,50,
,28,42,
,11,58,
,21,50,
,7,44,
,14,39,
,14,44,
,21,43,
,7,52,
,24,49,
,30,40,
,19,48,
,14,39,
,21,53,
,19,50,
,14,46,
,11,40,
,3,47,
,10,46,
,16,40,
,5,12,
,6,48,
,22,42,
,6,48,
,4,50,
,23,48,
,8,46,
,11,60,
,6,49,
,15,44,
,28,48,
,13,49,
,16,53,
,24,40,
,14,37,
,20,48,
,5,46,
,12,6,
,5,52,
,27,48,
,6,43,
,1,49,
,11,52,
,25,38,
,23,37,
,3,41,
,6,32,
,1,53,
,23,50,
,2,41,
,6,51,
,12,48,
,18,52,
,25,45,
,2,49,
,4,38,
,5,34,
,11,46,
,17,45,
,22,55,
,8,48,
,29,44,
,27,45,
,29,44,
,30,61,
,16,37,
,9,44,
,9,44,
,1,48,
,15,45,
,13,35,
,26,48,
,4,51,
,8,51,
,12,47,
,10,49,
,21,54,
,13,46,
,5,56,
,14,51,
,16,51,
,23,11,
,28,56,
,17,53,
,15,45,
,14,53,
,8,44,
,18,36,
,14,36,
,3,81,
,1,53,
,28,52,
,1,50,
,17,9,
,14,52,
,15,38,
,31,11,
,18,47,
,29,5,
,19,49,
,12,42,
