yearmonth,direction,gvw
202304,QB,3340
202312,QB,5140
202308,QB,4040
202304,QB,4260
202307,QB,3820
202308,QB,14800
202303,QB,2780
202306,QB,2080
202307,QB,5680
202302,QB,52620
202301,QB,2140
202306,QB,5280
202310,QB,4560
202304,QB,5380
202311,QB,5380
202312,QB,4280
202311,QB,3040
202311,QB,5340
202304,QB,3060
202306,QB,5540
202307,QB,2060
202301,QB,6000
202303,QB,3720
202312,QB,4700
202309,QB,6060
202301,QB,10600
202309,QB,63560
202307,QB,8440
202312,QB,3920
202310,QB,4340
202304,QB,2940
202308,QB,5140
202306,QB,68120
202305,QB,3220
202310,QB,4160
202304,QB,3780
202303,QB,13780
202302,QB,3520
202306,QB,4040
202312,QB,5260
202308,QB,3560
202301,QB,2660
202303,QB,7720
202312,QB,5820
202305,QB,37620
202311,QB,3400
202307,QB,4460
202301,QB,1580
202310,QB,4840
202304,QB,4760
202302,QB,4820
202303,QB,15760
202308,QB,5160
202305,QB,4100
202311,QB,7120
202303,QB,5320
202308,QB,21060
202312,QB,3900
202307,QB,3460
202309,QB,3640
202301,QB,3700
202301,QB,4540
202311,QB,20080
202308,QB,3040
202304,QB,4040
202312,QB,1220
202302,QB,4200
202302,QB,4180
202302,QB,2760
202301,QB,3880
202304,QB,6100
202307,QB,138960
202306,QB,5720
202306,QB,2280
202304,QB,15460
202307,QB,31040
202309,QB,7580
202306,QB,4400
202307,QB,63480
202304,QB,4760
202307,QB,3300
202307,QB,3540
202304,QB,4920
202302,QB,4920
202307,QB,2060
202306,QB,20160
202301,QB,3000
202305,QB,4880
202307,QB,4420
202312,QB,50820
202301,QB,4660
202307,QB,4060
202303,QB,4500
202311,QB,6780
202304,QB,17440
202308,QB,4680
202306,QB,4660
202308,QB,2180
202309,QB,4440
202309,QB,4380
202301,QB,4300
202304,QB,4640
202302,QB,5920
202311,QB,5480
202302,QB,3600
202307,QB,1340
202309,QB,4620
202306,QB,5140
202308,QB,3280
202304,QB,4180
202307,QB,5300
202307,QB,11520
202312,QB,3780
202309,QB,4760
202308,QB,4660
202312,QB,4940
202306,QB,3900
202312,QB,4460
202312,QB,5580
202312,QB,3780
202302,QB,5060
202311,QB,4880
202305,QB,4520
202309,QB,10840
202304,QB,4340
202307,QB,5520
202311,QB,3780
202308,QB,3760
202303,QB,2540
202312,QB,7760
202312,QB,3960
202304,QB,5760
202309,QB,4340
202301,QB,4940
202307,QB,5180
202304,QB,3740
202309,QB,4160
202308,QB,4880
202301,QB,5220
202303,QB,4420
202306,QB,7060
202302,QB,6080
202309,QB,4720
202307,QB,2660
202305,QB,4420
202310,QB,25480
202301,QB,6620
202303,QB,6820
202310,QB,6040
202311,QB,6260
202305,QB,3520
202303,QB,3580
202301,QB,3980
202307,QB,4120
202301,QB,19960
202307,QB,4840
202302,QB,3580
202312,QB,5140
202308,QB,5840
202303,QB,3180
202305,QB,4800
202311,QB,3760
202309,QB,5220
202307,QB,3920
202310,QB,47860
202308,QB,5640
202310,QB,5820
202305,QB,3600
202302,QB,3640
202303,QB,3400
202304,QB,3820
202306,QB,4320
202302,QB,3480
202301,QB,6560
202312,QB,5520
202303,QB,4040
202309,QB,5760
202302,QB,3620
202308,QB,3700
202302,QB,11100
202308,QB,6080
202309,QB,19200
202307,QB,3820
202302,QB,20100
202312,QB,4620
202304,QB,10160
202311,QB,2900
202312,QB,5200
202306,QB,2380
202310,QB,5840
202309,QB,3440
202308,QB,3600
202305,QB,4580
202304,QB,4240
202308,QB,7740
202308,QB,5820
202307,QB,3680
202309,QB,3560
202302,QB,2600
202301,QB,4520
