hour,minute,wt6,spc3
23,28,,
14,41,,
10,55,,
17,12,,
11,2,,
1,59,,
16,49,,
5,32,,
10,5,,
5,44,,28.7
0,44,,
12,7,,
14,3,,
12,49,,
13,7,,
21,10,,
3,11,,
6,11,,
17,17,,
6,24,,
22,30,,
13,50,,
19,21,,
8,1,,
15,55,,
9,8,,
8,13,,22.4
8,7,,
0,28,,
15,36,,
12,11,,
13,3,,
8,29,,22.1
20,20,,
18,18,,
23,14,,
12,59,,
17,44,,
23,44,,
9,25,,
17,13,,
10,52,,
8,36,,
14,55,,
4,25,,4.1
9,19,,
21,47,,
14,18,,
22,42,,
21,19,,
5,15,,
9,54,,
2,23,,
7,49,,
8,0,,
19,50,,
8,1,,
5,11,,
16,58,,
16,8,,
17,55,,
19,17,,
15,54,,
18,8,,
17,25,,
23,16,,
17,53,,
0,48,,
9,22,,
13,0,,
21,48,,
7,56,22140.0,10.5
11,52,,
18,17,,
16,21,,
14,17,,
15,28,,
22,35,,
6,4,,30.3
9,31,,
15,50,,
23,14,,
17,34,,
17,18,,
3,5,,
4,42,,
17,44,,
17,53,,
10,57,,
18,39,,33.0
21,37,,
1,28,,
14,48,,
14,10,,
9,32,,
12,3,,
19,16,,
7,44,,
12,37,,
19,53,,
12,33,,
18,3,,
17,59,,
10,56,,
12,29,,
8,32,,
9,4,,
14,56,,
7,0,,
15,9,,
8,57,,
13,5,,
16,50,,
9,31,,
10,27,,
18,39,,
12,47,,
5,47,,
20,54,,
14,38,,
21,16,,
12,56,,
16,40,,
9,26,,
19,17,,
16,13,,
12,53,,
14,17,,
4,33,,
13,56,,
12,40,,
8,59,,
8,52,,
20,25,,
20,48,,
15,30,,
16,32,,
15,15,,
9,10,,
13,53,,
7,57,,
14,10,,
7,29,,
6,15,,
11,19,,
17,39,,
18,44,,
8,29,,
1,14,,
13,1,,
17,16,,
21,56,,
12,24,,
0,4,,
5,27,,
10,29,,
22,11,,
19,19,,
16,6,,
22,24,,
13,48,,
1,27,,
7,33,,
13,42,,
19,27,,
19,31,,
19,20,,
3,4,,
20,26,,
0,53,,
21,35,,
17,28,,
22,4,,
2,15,,
14,10,,
13,32,,
22,6,,
9,0,,
14,30,,
8,0,,
10,22,,
15,48,,
5,12,,
10,46,,
12,36,,
9,12,,
9,22,,
21,0,,
23,38,,
22,56,,
7,12,,
16,21,,
18,23,,
11,7,,
11,1,,
17,38,,
9,18,,
12,4,,
10,1,,
8,3,,
