attendance_sum,park_location,week_start_date
13,Sunset Park,2017-07-20T00:00:00.000
2600,Playground for All Children,2017-07-02T00:00:00.000
14,Sunset Park,2017-08-04T00:00:00.000
19,Sunset Park,2017-08-11T00:00:00.000
23,Sunset Park,2017-07-21T00:00:00.000
14,Sunset Park,2017-07-18T00:00:00.000
22,Sunset Park,2017-08-24T00:00:00.000
260,Playground for All Children,2017-04-23T00:00:00.000
16,Sunset Park,2017-08-28T00:00:00.000
20,Sunset Park,2017-08-22T00:00:00.000
14,Sunset Park,2017-07-26T00:00:00.000
1530,Playground for All Children,2017-05-28T00:00:00.000
13,Sunset Park,2017-08-07T00:00:00.000
26,Sunset Park,2017-07-27T00:00:00.000
1000,Thomas Jefferson Park,2017-08-15T00:00:00.000
19,Sunset Park,2017-07-25T00:00:00.000
17,Sunset Park,2017-08-03T00:00:00.000
795,Playground for All Children,2017-08-06T00:00:00.000
257,Williamsbridge Oval,2017-07-30T00:00:00.000
21,Sunset Park,2017-07-31T00:00:00.000
1202,Thomas Jefferson Park,2017-07-25T00:00:00.000
2215,Playground for All Children,2017-06-11T00:00:00.000
14,Sunset Park,2017-07-12T00:00:00.000
17,Sunset Park,2017-08-23T00:00:00.000
21,Sunset Park,2017-08-28T00:00:00.000
6,Sunset Park,2017-08-23T00:00:00.000
19,Sunset Park,2017-07-31T00:00:00.000
17,Sunset Park,2017-07-26T00:00:00.000
14,Sunset Park,2017-08-22T00:00:00.000
16,Sunset Park,2017-08-28T00:00:00.000
24,Sunset Park,2017-07-27T00:00:00.000
23,Sunset Park,2017-08-10T00:00:00.000
27,Sunset Park,2017-08-10T00:00:00.000
17,Sunset Park,2017-07-25T00:00:00.000
7,Sunset Park,2017-07-24T00:00:00.000
2125,Playground for All Children,2017-07-16T00:00:00.000
15,Sunset Park,2017-08-11T00:00:00.000
18,Sunset Park,2017-07-10T00:00:00.000
33,Sunset Park,2017-08-03T00:00:00.000
29,Sunset Park,2017-07-19T00:00:00.000
21,Sunset Park,2017-07-21T00:00:00.000
20,Sunset Park,2017-07-12T00:00:00.000
16,Sunset Park,2017-07-18T00:00:00.000
17,Sunset Park,2017-07-12T00:00:00.000
127,Williamsbridge Oval,2017-05-21T00:00:00.000
7,Sunset Park,2017-08-21T00:00:00.000
25,Sunset Park,2017-07-19T00:00:00.000
342,Schmul Park,2017-07-11T00:00:00.000
24,Midland Beach,2017-07-11T00:00:00.000
90,Williamsbridge Oval,2017-06-11T00:00:00.000
23,Sunset Park,2017-07-26T00:00:00.000
20,Sunset Park,2017-08-22T00:00:00.000
20,Sunset Park,2017-07-13T00:00:00.000
