week_end_date,tuesday_s_attendance,borough_location
2017-07-20T00:00:00.000,0,Brooklyn
2017-07-08T00:00:00.000,450,Queens
2017-08-04T00:00:00.000,0,Brooklyn
2017-08-11T00:00:00.000,0,Brooklyn
2017-07-21T00:00:00.000,0,Brooklyn
2017-07-18T00:00:00.000,14,Brooklyn
2017-08-24T00:00:00.000,0,Brooklyn
2017-04-22T00:00:00.000,30,Queens
2017-08-28T00:00:00.000,0,Brooklyn
2017-08-22T00:00:00.000,20,Brooklyn
2017-07-26T00:00:00.000,0,Brooklyn
2017-06-03T00:00:00.000,320,Queens
2017-08-07T00:00:00.000,0,Brooklyn
2017-07-27T00:00:00.000,0,Brooklyn
2017-08-19T00:00:00.000,150,Manhattan
2017-07-25T00:00:00.000,19,Brooklyn
2017-08-03T00:00:00.000,0,Brooklyn
2017-08-12T00:00:00.000,150,Queens
2017-08-05T00:00:00.000,66,Bronx
2017-07-31T00:00:00.000,0,Brooklyn
2017-07-29T00:00:00.000,300,Manhattan
2017-06-17T00:00:00.000,775,Queens
2017-07-12T00:00:00.000,0,Brooklyn
2017-08-23T00:00:00.000,0,Brooklyn
2017-08-28T00:00:00.000,0,Brooklyn
2017-08-23T00:00:00.000,0,Brooklyn
2017-07-31T00:00:00.000,0,Brooklyn
2017-07-26T00:00:00.000,0,Brooklyn
2017-08-22T00:00:00.000,14,Brooklyn
2017-08-28T00:00:00.000,0,Brooklyn
2017-07-27T00:00:00.000,0,Brooklyn
2017-08-10T00:00:00.000,0,Brooklyn
2017-08-10T00:00:00.000,0,Brooklyn
2017-07-25T00:00:00.000,17,Brooklyn
2017-07-24T00:00:00.000,0,Brooklyn
2017-07-22T00:00:00.000,450,Queens
2017-08-11T00:00:00.000,0,Brooklyn
2017-07-10T00:00:00.000,0,Brooklyn
2017-08-03T00:00:00.000,0,Brooklyn
2017-07-19T00:00:00.000,0,Brooklyn
2017-07-21T00:00:00.000,0,Brooklyn
2017-07-12T00:00:00.000,0,Brooklyn
2017-07-18T00:00:00.000,16,Brooklyn
2017-07-12T00:00:00.000,0,Brooklyn
2017-05-27T00:00:00.000,23,Bronx
2017-08-21T00:00:00.000,0,Brooklyn
2017-07-19T00:00:00.000,0,Brooklyn
2017-07-15T00:00:00.000,48,Staten Island
2017-07-15T00:00:00.000,0,Staten Island
2017-06-17T00:00:00.000,13,Bronx
2017-07-26T00:00:00.000,0,Brooklyn
2017-08-22T00:00:00.000,20,Brooklyn
2017-07-13T00:00:00.000,0,Brooklyn
2017-07-19T00:00:00.000,0,Brooklyn
2017-08-11T00:00:00.000,0,Brooklyn
2017-07-26T00:00:00.000,0,Brooklyn
2017-08-22T00:00:00.000,9,Brooklyn
2017-07-29T00:00:00.000,41,Bronx
2017-07-12T00:00:00.000,0,Brooklyn
2017-07-07T00:00:00.000,0,Brooklyn
2017-08-05T00:00:00.000,275,Queens
2017-07-24T00:00:00.000,0,Brooklyn
2017-07-15T00:00:00.000,17,Staten Island
2017-07-24T00:00:00.000,0,Brooklyn
2017-08-23T00:00:00.000,0,Brooklyn
2017-08-25T00:00:00.000,0,Brooklyn
2017-07-15T00:00:00.000,54,Bronx
2017-08-25T00:00:00.000,0,Brooklyn
2017-07-25T00:00:00.000,22,Brooklyn
2017-06-24T00:00:00.000,41,Bronx
2017-07-07T00:00:00.000,0,Brooklyn
2017-07-11T00:00:00.000,22,Brooklyn
2017-08-01T00:00:00.000,34,Brooklyn
2017-07-17T00:00:00.000,0,Brooklyn
2017-04-29T00:00:00.000,320,Queens
2017-05-06T00:00:00.000,120,Queens
2017-08-10T00:00:00.000,0,Brooklyn
2017-08-02T00:00:00.000,0,Brooklyn
2017-08-18T00:00:00.000,0,Brooklyn
2017-05-20T00:00:00.000,58,Queens
2017-08-24T00:00:00.000,0,Brooklyn
2017-07-14T00:00:00.000,0,Brooklyn
2017-08-09T00:00:00.000,0,Brooklyn
2017-08-04T00:00:00.000,0,Brooklyn
2017-07-26T00:00:00.000,0,Brooklyn
2017-08-25T00:00:00.000,0,Brooklyn
2017-08-14T00:00:00.000,0,Brooklyn
2017-07-17T00:00:00.000,0,Brooklyn
2017-07-07T00:00:00.000,0,Brooklyn
2017-08-11T00:00:00.000,0,Brooklyn
2017-08-01T00:00:00.000,28,Brooklyn
2017-06-10T00:00:00.000,0,Queens
2017-08-21T00:00:00.000,0,Brooklyn
2017-08-15T00:00:00.000,20,Brooklyn
2017-08-22T00:00:00.000,22,Brooklyn
2017-08-03T00:00:00.000,0,Brooklyn
2017-07-14T00:00:00.000,0,Brooklyn
2017-07-14T00:00:00.000,0,Brooklyn
2017-07-07T00:00:00.000,0,Brooklyn
2017-07-19T00:00:00.000,0,Brooklyn
2017-08-01T00:00:00.000,22,Brooklyn
2017-08-28T00:00:00.000,0,Brooklyn
2017-08-18T00:00:00.000,0,Brooklyn
2017-08-07T00:00:00.000,0,Brooklyn
2017-08-02T00:00:00.000,0,Brooklyn
2017-06-10T00:00:00.000,25,Bronx
2017-07-17T00:00:00.000,0,Brooklyn
2017-08-15T00:00:00.000,10,Brooklyn
2017-07-12T00:00:00.000,0,Brooklyn
2017-07-13T00:00:00.000,0,Brooklyn
2017-07-15T00:00:00.000,0,Staten Island
2017-07-22T00:00:00.000,47,Bronx
2017-07-27T00:00:00.000,0,Brooklyn
2017-08-14T00:00:00.000,0,Brooklyn
2017-07-18T00:00:00.000,13,Brooklyn
2017-07-01T00:00:00.000,450,Queens
2017-06-03T00:00:00.000,810,Queens
2017-07-27T00:00:00.000,0,Brooklyn
2017-08-09T00:00:00.000,0,Brooklyn
2017-07-10T00:00:00.000,0,Brooklyn
2017-07-07T00:00:00.000,0,Brooklyn
2017-08-17T00:00:00.000,0,Brooklyn
2017-05-13T00:00:00.000,250,Queens
2017-07-20T00:00:00.000,0,Brooklyn
2017-08-02T00:00:00.000,0,Brooklyn
2017-08-07T00:00:00.000,0,Brooklyn
2017-08-19T00:00:00.000,22,Bronx
2017-07-11T00:00:00.000,15,Brooklyn
2017-07-17T00:00:00.000,0,Brooklyn
2017-07-29T00:00:00.000,330,Queens
2017-08-17T00:00:00.000,0,Brooklyn
2017-07-14T00:00:00.000,0,Brooklyn
2017-07-11T00:00:00.000,27,Brooklyn
2017-07-07T00:00:00.000,0,Brooklyn
2017-07-18T00:00:00.000,22,Brooklyn
2017-07-01T00:00:00.000,45,Bronx
2017-08-15T00:00:00.000,11,Brooklyn
2017-08-21T00:00:00.000,0,Brooklyn
2017-07-17T00:00:00.000,0,Brooklyn
2017-08-24T00:00:00.000,0,Brooklyn
2017-08-17T00:00:00.000,0,Brooklyn
2017-07-27T00:00:00.000,0,Brooklyn
2017-08-07T00:00:00.000,0,Brooklyn
2017-06-03T00:00:00.000,10,Bronx
2017-08-09T00:00:00.000,0,Brooklyn
2017-07-15T00:00:00.000,650,Queens
2017-07-19T00:00:00.000,0,Brooklyn
2017-08-09T00:00:00.000,0,Brooklyn
2017-08-22T00:00:00.000,13,Brooklyn
2017-08-05T00:00:00.000,300,Manhattan
2017-07-13T00:00:00.000,0,Brooklyn
2017-08-17T00:00:00.000,0,Brooklyn
2017-07-31T00:00:00.000,0,Brooklyn
2017-08-12T00:00:00.000,62,Bronx
2017-07-20T00:00:00.000,0,Brooklyn
2017-07-14T00:00:00.000,0,Brooklyn
2017-06-24T00:00:00.000,500,Queens
2017-07-25T00:00:00.000,31,Brooklyn
2017-07-15T00:00:00.000,14,Staten Island
2017-07-31T00:00:00.000,0,Brooklyn
2017-08-11T00:00:00.000,0,Brooklyn
2017-08-14T00:00:00.000,0,Brooklyn
2017-08-10T00:00:00.000,0,Brooklyn
2017-08-21T00:00:00.000,0,Brooklyn
2017-08-23T00:00:00.000,0,Brooklyn
2017-05-20T00:00:00.000,20,Bronx
2017-08-03T00:00:00.000,0,Brooklyn
2017-07-21T00:00:00.000,0,Brooklyn
2017-07-21T00:00:00.000,0,Brooklyn
2017-08-14T00:00:00.000,0,Brooklyn
2017-07-10T00:00:00.000,0,Brooklyn
2017-08-04T00:00:00.000,0,Brooklyn
2017-05-27T00:00:00.000,280,Queens
2017-08-14T00:00:00.000,0,Brooklyn
2017-08-21T00:00:00.000,0,Brooklyn
2017-07-13T00:00:00.000,0,Brooklyn
2017-08-09T00:00:00.000,0,Brooklyn
2017-08-10T00:00:00.000,0,Brooklyn
2017-07-08T00:00:00.000,0,Bronx
2017-08-17T00:00:00.000,0,Brooklyn
2017-07-22T00:00:00.000,200,Manhattan
2017-07-18T00:00:00.000,20,Brooklyn
2017-07-10T00:00:00.000,0,Brooklyn
2017-08-28T00:00:00.000,0,Brooklyn
2017-07-07T00:00:00.000,0,Brooklyn
2017-07-25T00:00:00.000,25,Brooklyn
2017-08-02T00:00:00.000,0,Brooklyn
2017-07-11T00:00:00.000,24,Brooklyn
2017-08-03T00:00:00.000,0,Brooklyn
2017-08-25T00:00:00.000,0,Brooklyn
2017-08-01T00:00:00.000,17,Brooklyn
2017-07-24T00:00:00.000,0,Brooklyn
2017-05-13T00:00:00.000,25,Bronx
2017-07-20T00:00:00.000,0,Brooklyn
2017-07-31T00:00:00.000,0,Brooklyn
2017-07-10T00:00:00.000,0,Brooklyn
2017-08-09T00:00:00.000,0,Brooklyn
2017-07-11T00:00:00.000,24,Brooklyn
2017-08-02T00:00:00.000,0,Brooklyn
2017-08-12T00:00:00.000,0,Manhattan
