qtyreturn,issuedate,returndate
0.0,2015-02-24T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2016-01-20T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
1.0,2013-01-07T00:00:00.000,2013-01-29T00:00:00.000
0.0,2014-12-29T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2016-01-20T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2018-01-16T00:00:00.000,
0.0,2017-12-29T00:00:00.000,
0.0,2017-12-29T00:00:00.000,
0.0,2015-02-24T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2018-01-16T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2014-12-30T00:00:00.000,
0.0,2014-12-29T00:00:00.000,
0.0,2014-04-01T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2015-02-24T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2013-01-07T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2017-12-29T00:00:00.000,
0.0,2017-12-29T00:00:00.000,
0.0,2013-01-07T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2017-01-11T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2017-12-29T00:00:00.000,
0.0,2015-12-30T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2013-01-07T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2018-01-16T00:00:00.000,
0.0,2018-01-16T00:00:00.000,
0.0,2014-12-29T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2016-01-20T00:00:00.000,
0.0,2013-01-07T00:00:00.000,
0.0,2016-01-20T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2013-01-16T00:00:00.000,
0.0,2017-12-29T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2017-12-29T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2013-01-07T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2019-01-17T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2018-01-16T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2014-12-29T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2017-12-19T00:00:00.000,
0.0,2019-01-17T00:00:00.000,
0.0,2013-12-23T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2015-05-13T00:00:00.000,
0.0,2017-12-29T00:00:00.000,
0.0,2013-01-30T00:00:00.000,
0.0,2019-01-17T00:00:00.000,
0.0,2018-12-24T00:00:00.000,
0.0,2013-01-07T00:00:00.000,
0.0,2016-01-20T00:00:00.000,
0.0,2016-01-19T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2014-04-01T00:00:00.000,
0.0,2015-05-13T00:00:00.000,
0.0,2016-01-20T00:00:00.000,
0.0,2019-01-17T00:00:00.000,
0.0,2016-01-20T00:00:00.000,
0.0,2017-12-29T00:00:00.000,
0.0,2016-01-20T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2014-12-26T00:00:00.000,
0.0,2019-01-17T00:00:00.000,
0.0,2017-01-18T00:00:00.000,
0.0,2014-01-14T00:00:00.000,
0.0,2013-12-27T00:00:00.000,
0.0,2019-01-17T00:00:00.000,
