month,program_type
November 2017,Gen Ed
November 2017,ICT
November 2017,ICT
November 2017,G&T
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,ICT
November 2017,SC 15:1
November 2017,Gen Ed
November 2017,ICT
November 2017,ICT
November 2017,Gen Ed
November 2017,ICT
November 2017,G&T
November 2017,ICT
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,ICT & G&T
November 2017,Gen Ed
November 2017,G&T
November 2017,ICT
November 2017,ICT
November 2017,SC 6:1:1
November 2017,Gen Ed
November 2017,ICT & G&T
November 2017,G&T
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,ICT & G&T
November 2017,ICT
November 2017,Gen Ed
November 2017,SC 8:1:1
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,G&T
November 2017,ICT & G&T
November 2017,G&T
November 2017,G&T
November 2017,Gen Ed
November 2017,SC 8:1:1
November 2017,ICT
November 2017,G&T
November 2017,SC 15:1
November 2017,SC 12:1:1
November 2017,ICT
November 2017,G&T
November 2017,ICT
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,G&T
November 2017,ICT & G&T
November 2017,ICT & G&T
November 2017,ICT
November 2017,Gen Ed
November 2017,SC 8:1:1
November 2017,Gen Ed
November 2017,G&T
November 2017,ICT
November 2017,Gen Ed
November 2017,ICT
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,ICT
November 2017,ICT
November 2017,Gen Ed
November 2017,ICT
November 2017,Gen Ed
November 2017,G&T
November 2017,ICT
November 2017,ICT
November 2017,ICT
November 2017,ICT
November 2017,G&T
November 2017,G&T
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,ICT & G&T
November 2017,ICT
November 2017,ICT
November 2017,G&T
November 2017,Gen Ed
November 2017,ICT
November 2017,ICT & G&T
November 2017,Gen Ed
November 2017,SC 12:1
November 2017,SC 12:1:1
November 2017,ICT
November 2017,SC 8:1:1
November 2017,Gen Ed
November 2017,SC 8:1:1
November 2017,ICT & G&T
November 2017,Gen Ed
November 2017,ICT & G&T
November 2017,Gen Ed
November 2017,ICT
November 2017,G&T
November 2017,Gen Ed
November 2017,ICT
November 2017,ICT
November 2017,G&T
November 2017,ICT
November 2017,G&T
November 2017,ICT
November 2017,SC 12:1
November 2017,Gen Ed
November 2017,ICT
November 2017,ICT
November 2017,G&T
November 2017,Gen Ed
November 2017,SC 6:1:1
November 2017,Gen Ed
November 2017,ICT
November 2017,SC 12:1
November 2017,ICT
November 2017,ICT
November 2017,SC 12:1
November 2017,SC 12:1
November 2017,Gen Ed
November 2017,ICT
November 2017,Gen Ed
November 2017,ICT
November 2017,ICT & G&T
November 2017,G&T
November 2017,Gen Ed
November 2017,G&T
November 2017,G&T
November 2017,ICT
November 2017,G&T
November 2017,Gen Ed
November 2017,ICT
November 2017,ICT & G&T
November 2017,ICT
November 2017,Gen Ed
November 2017,ICT
November 2017,SC 6:1:1
November 2017,ICT
November 2017,ICT & G&T
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,SC 15:1
November 2017,G&T
November 2017,ICT
November 2017,G&T
November 2017,ICT & G&T
November 2017,ICT
November 2017,ICT
November 2017,ICT
November 2017,ICT
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,ICT
November 2017,SC 12:1:1
November 2017,G&T
November 2017,ICT
November 2017,ICT & G&T
November 2017,ICT
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,ICT
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,ICT
November 2017,Gen Ed
November 2017,SC 12:1:1
November 2017,Gen Ed
November 2017,ICT
November 2017,Gen Ed
November 2017,G&T
November 2017,ICT
November 2017,Gen Ed
November 2017,ICT
November 2017,ICT & G&T
November 2017,ICT
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,G&T
November 2017,Gen Ed
November 2017,ICT
November 2017,Gen Ed
November 2017,ICT
November 2017,Gen Ed
November 2017,G&T
November 2017,Gen Ed
November 2017,ICT
November 2017,Gen Ed
November 2017,ICT
November 2017,ICT
November 2017,Gen Ed
November 2017,G&T
November 2017,ICT
November 2017,Gen Ed
November 2017,SC 12:1:1
November 2017,ICT
November 2017,Gen Ed
November 2017,Gen Ed
November 2017,G&T
November 2017,Gen Ed
November 2017,Gen Ed
