grade_level,number_of_classes,borough
7,504,Queens
6,160,Manhattan
2,125,Manhattan
1,30,Queens
1,219,Manhattan
HS Core,264,Bronx
HS Core,31,Bronx
K-8 SC,1,Brooklyn
7,70,Staten Is
3,159,Bronx
3,252,Brooklyn
4,180,Manhattan
HS Core,3,Bronx
4,7,Bronx
5,168,Bronx
HS Core,215,Bronx
HS Core,306,Bronx
5,2,Brooklyn
7,431,Brooklyn
K,27,Manhattan
HS Core,28,Bronx
6,189,Bronx
K-8 SC,1,Manhattan
HS Core,394,Bronx
5,5,Manhattan
K,25,Brooklyn
8,498,Queens
HS Core,843,Bronx
K,1,Brooklyn
1,111,Manhattan
HS Core,334,Bronx
K-8 SC,28,Staten Is
1,104,Staten Is
4,83,Staten Is
4,28,Brooklyn
3,5,Manhattan
5,25,Queens
3,22,Manhattan
5,509,Queens
K-8 SC,12,Bronx
5,265,Brooklyn
1,4,Bronx
K-8 SC,5,Bronx
K-8 SC,809,Queens
K,110,Manhattan
K,5,Staten Is
8,64,Staten Is
HS Core,484,Bronx
K,672,Brooklyn
2,23,Manhattan
2,2,Brooklyn
3,2,Staten Is
5,73,Staten Is
5,78,Staten Is
K-8 SC,6,Manhattan
1,447,Bronx
5,19,Manhattan
K,202,Queens
K,262,Manhattan
HS Core,27,Bronx
K,129,Staten Is
2,534,Queens
HS Core,266,Bronx
HS Core,52,Bronx
HS Core,78,Bronx
8,189,Queens
K,666,Queens
4,34,Queens
1,61,Staten Is
2,67,Staten Is
2,218,Queens
2,155,Bronx
4,18,Manhattan
3,4,Staten Is
6,458,Brooklyn
HS Core,353,Bronx
1,2,Bronx
HS Core,26,Bronx
HS Core,168,Bronx
5,25,Brooklyn
8,427,Brooklyn
8,147,Manhattan
3,2,Brooklyn
3,512,Queens
K-8 SC,370,Bronx
K-8 SC,782,Brooklyn
HS Core,327,Bronx
K-8 SC,16,Brooklyn
6,151,Manhattan
K-8 SC,12,Queens
2,2,Manhattan
2,432,Bronx
3,2,Bronx
K,479,Bronx
HS Core,386,Bronx
1,23,Manhattan
HS Core,86,Bronx
3,61,Staten Is
HS Core,200,Bronx
3,29,Queens
1,206,Queens
2,27,Brooklyn
6,68,Staten Is
K-8 SC,221,Queens
3,419,Bronx
7,199,Bronx
3,133,Manhattan
5,4,Bronx
HS Core,302,Bronx
K-8 SC,3,Queens
2,529,Brooklyn
7,198,Queens
K-8 SC,114,Staten Is
1,143,Bronx
5,225,Queens
K-8 SC,185,Brooklyn
K-8 SC,59,Manhattan
HS Core,372,Bronx
7,254,Brooklyn
HS Core,236,Bronx
HS Core,31,Bronx
5,1,Bronx
1,25,Brooklyn
8,157,Manhattan
2,28,Queens
4,6,Staten Is
4,222,Queens
K,3,Bronx
7,287,Bronx
4,71,Staten Is
2,1,Staten Is
4,159,Bronx
HS Core,53,Bronx
5,129,Manhattan
K-8 SC,1,Staten Is
6,205,Queens
1,4,Manhattan
1,556,Queens
2,90,Staten Is
K-8 SC,1,Queens
2,6,Bronx
HS Core,85,Bronx
K,26,Queens
4,1,Staten Is
4,248,Brooklyn
7,147,Manhattan
7,63,Staten Is
HS Core,96,Bronx
3,94,Staten Is
HS Core,398,Bronx
HS Core,12,Bronx
K-8 SC,215,Manhattan
1,4,Staten Is
6,250,Brooklyn
1,1,Staten Is
4,129,Manhattan
HS Core,724,Bronx
6,318,Bronx
HS Core,145,Bronx
8,293,Bronx
4,504,Queens
5,168,Manhattan
8,243,Brooklyn
5,474,Brooklyn
K-8 SC,583,Bronx
6,509,Queens
HS Core,6,Bronx
5,384,Bronx
3,29,Brooklyn
K,57,Staten Is
2,196,Manhattan
HS Core,119,Bronx
4,7,Manhattan
K,142,Bronx
7,152,Manhattan
4,499,Brooklyn
HS Core,326,Bronx
4,6,
6,68,Staten Is
HS Core,202,Bronx
HS Core,244,Bronx
HS Core,144,Bronx
3,513,Brooklyn
2,4,Staten Is
1,590,Brooklyn
1,213,Brooklyn
8,71,Staten Is
3,221,Queens
K,211,Brooklyn
3,185,Manhattan
3,7,Bronx
8,181,Bronx
HS Core,159,Bronx
K-8 SC,166,Staten Is
2,241,Brooklyn
4,390,Bronx
HS Core,366,Bronx
5,5,Staten Is
HS Core,342,Bronx
HS Core,327,Bronx
