geography,subject,school_year
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Chemistry,2017-2018
Borough,HS English Other,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Technology,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Other Science,2017-2018
Borough,HS Geometry,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Other Life Science,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS US History,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS English Other,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Math Other,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Algebra I,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Physics,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Living Environment,2017-2018
Borough,HS Chemistry,2017-2018
Borough,HS Pre-calculus,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS English 09,2017-2018
Borough,,2017-2018
Borough,HS Math Other,2017-2018
Borough,HS English 11,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Algebra I,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Global History,2017-2018
Borough,,2017-2018
Borough,HS Statistics,2017-2018
Borough,,2017-2018
Borough,HS English 10,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Social Studies Other,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Algebra II,2017-2018
Borough,,2017-2018
Borough,HS Other Life Science,2017-2018
Borough,HS Other Science,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Technology,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Government & Econ,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Algebra II,2017-2018
Borough,,2017-2018
Borough,HS Government & Econ,2017-2018
Borough,HS Statistics,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Global History,2017-2018
Borough,,2017-2018
Borough,HS Earth Science,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Pre-calculus,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS English 12,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS English 11,2017-2018
District,,2017-2018
Borough,,2017-2018
Borough,HS English 09,2017-2018
Borough,HS Earth Science,2017-2018
Borough,HS Geometry,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Physics,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,,2017-2018
Borough,HS Living Environment,2017-2018
Borough,,2017-2018
Borough,HS English 12,2017-2018
Borough,HS English 10,2017-2018
